player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Joel Bitonio,8670,G,CLV,4,0,8,65.8,100.0,74,52.1,74,72.7,0,100.0,142,142,72.1,100.0,49,34.5,49
Ethan Pocic,11813,C,CLV,4,0,8,64.3,100.0,74,52.1,74,68.0,0,100.0,142,142,69.0,100.0,49,34.5,49
Wyatt Teller,46131,G,CLV,4,0,8,80.7,100.0,74,52.1,74,83.8,2,100.0,142,142,82.4,100.0,49,34.5,49
Jedrick Wills Jr.,58467,T,CLV,4,0,8,60.4,100.0,74,52.9,74,59.9,0,100.0,140,140,68.4,100.0,48,34.3,48
Lane Johnson,7786,T,PHI,4,0,24,63.0,100.0,36,26.3,36,68.7,0,100.0,137,137,72.2,100.0,81,59.1,81
Jason Kelce,6343,C,PHI,4,0,24,54.9,100.0,36,26.3,36,72.9,0,100.0,137,137,81.8,100.0,81,59.1,81
Jacoby Brissett,10725,QB,CLV,4,0,8,60.0,100.0,74,55.6,74,60.0,0,93.7,133,142,60.0,100.0,49,36.8,49
Landon Dickerson,41712,G,PHI,4,0,24,47.0,100.0,31,23.7,31,56.6,0,100.0,131,131,64.5,100.0,80,61.1,80
Kaleb McGary,46912,T,ATL,4,0,2,63.6,100.0,40,31.7,40,74.7,1,100.0,126,126,64.5,100.0,77,61.1,77
Drew Dalman,52270,C,ATL,4,0,2,57.3,100.0,40,31.7,40,64.4,1,100.0,126,126,68.7,100.0,77,61.1,77
Jake Matthews,8641,T,ATL,4,0,2,58.8,100.0,40,31.7,40,61.1,1,100.0,126,126,62.2,100.0,77,61.1,77
Chris Lindstrom,46692,G,ATL,4,0,2,73.4,100.0,40,31.7,40,91.5,0,100.0,126,126,93.6,100.0,77,61.1,77
David Njoku,11784,TE,CLV,4,0,8,64.3,100.0,67,53.6,67,65.0,0,99.2,125,126,70.4,100.0,42,33.6,42
Larry Borom,59879,T,CHI,4,0,6,59.3,100.0,41,33.9,41,71.8,0,100.0,121,121,77.0,100.0,71,58.7,71
Isaac Seumalo,10713,G,PHI,4,1,24,43.5,100.0,35,28.9,35,62.0,1,100.0,121,121,73.0,100.0,69,57.0,69
Braxton Jones,60092,T,CHI,4,0,6,79.3,100.0,41,33.9,41,63.0,0,100.0,121,121,52.0,100.0,71,58.7,71
Sam Mustipher,13026,C,CHI,4,0,6,65.7,100.0,41,33.9,41,63.3,0,100.0,121,121,62.7,100.0,71,58.7,71
DeVonta Smith,61100,WR,PHI,4,0,24,72.2,100.0,35,29.4,35,62.1,0,100.0,119,119,55.6,100.0,70,58.8,70
Royce Newman,41746,G,GB,4,0,12,55.0,100.0,40,34.5,40,64.1,1,100.0,116,116,68.7,100.0,68,58.6,68
Josh Myers,59992,C,GB,4,0,12,60.0,100.0,40,34.8,40,64.2,0,100.0,115,115,62.8,100.0,68,59.1,68
