player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Royce Newman,41746,G,GB,6,0,12,57.1,100.0,50,32.1,50,61.6,1,100.0,156,156,62.2,100.0,97,62.2,97
Alijah Vera-Tucker,57107,G,NYJ,7,0,22,67.9,100.0,56,35.9,56,76.5,0,100.0,156,156,77.2,100.0,78,50.0,78
John Bates,42275,TE,WAS,10,0,32,53.2,100.0,69,44.2,69,63.3,0,100.0,156,156,71.8,100.0,69,44.2,69
Evan Neal,99063,T,NYG,7,0,21,47.4,100.0,77,49.4,77,47.9,0,100.0,156,156,50.3,100.0,53,34.0,53
Jonnu Smith,11855,TE,NE,9,0,19,36.6,100.0,78,50.3,78,36.2,0,99.4,155,156,50.5,100.0,51,32.9,51
Eric Tomlinson,9786,TE,DEN,10,0,10,62.6,100.0,59,38.1,59,63.0,1,100.0,155,155,59.9,100.0,82,52.9,82
Josh Palmer,62979,WR,LAC,9,0,27,53.3,100.0,64,41.3,64,50.1,0,99.4,155,156,61.1,100.0,76,49.0,76
Quez Watkins,61664,WR,PHI,10,0,24,55.9,100.0,40,25.8,40,46.0,0,100.0,155,155,62.2,100.0,88,56.8,88
Chris Myarick,47358,TE,NYG,10,0,21,70.7,100.0,81,52.3,81,62.7,0,100.0,155,155,45.2,100.0,54,34.8,54
C.J. Uzomah,9590,TE,NYJ,9,0,22,65.6,100.0,57,37.0,57,60.7,0,100.0,154,154,55.0,100.0,79,51.3,79
Rondale Moore,62890,WR,ARZ,8,0,1,68.1,98.7,77,50.3,78,56.9,0,97.5,153,157,61.4,100.0,59,38.6,59
Tyler Lockett,9502,WR,SEA,10,0,29,72.0,100.0,37,24.2,37,59.0,0,100.0,153,153,55.4,100.0,95,62.1,95
Ronnie Stanley,10640,T,BLT,6,0,3,62.3,100.0,106,69.3,106,59.6,1,100.0,153,153,53.6,100.0,34,22.2,34
Noah Gray,60878,TE,KC,10,0,16,63.1,100.0,46,30.1,46,61.1,1,98.7,153,155,61.3,100.0,87,56.9,87
Ben Bredeson,27305,G,NYG,7,0,21,60.1,100.0,73,48.0,73,62.0,0,100.0,152,152,63.8,100.0,53,34.9,53
Tua Tagovailoa,60326,QB,MIA,8,0,17,60.0,97.9,47,31.1,48,60.2,0,91.5,151,165,60.0,100.0,90,59.6,90
Tre' McKitty,60896,TE,LAC,10,0,27,40.0,100.0,62,41.1,62,35.1,2,100.0,151,151,35.7,100.0,67,44.4,67
Marquez Callaway,42295,WR,NO,10,0,20,61.4,100.0,55,36.4,55,58.1,0,100.0,151,151,56.5,100.0,80,53.0,80
Deebo Samuel,48274,WR,SF,9,0,28,45.3,75.8,50,33.3,66,43.5,1,82.0,150,183,57.9,87.4,83,55.3,95
Alaric Jackson,40972,G,LA,7,0,26,66.2,100.0,55,36.7,55,58.2,0,100.0,150,150,53.2,100.0,72,48.0,72
D.K. Metcalf,47864,WR,SEA,10,0,29,64.8,100.0,40,26.8,40,59.4,0,100.0,149,149,56.9,100.0,89,59.7,89
Kalif Raymond,11028,WR,DET,10,0,11,64.5,100.0,72,48.3,72,51.8,0,97.4,149,153,62.5,100.0,73,49.0,73
Brandon Shell,10792,T,MIA,6,0,17,69.4,100.0,46,31.3,46,70.7,0,100.0,147,147,63.7,100.0,81,55.1,81
Tyreek Hill,10799,WR,MIA,10,0,17,54.4,100.0,46,31.5,46,61.4,2,97.3,146,150,57.9,100.0,87,59.6,87
Johnny Mundt,12206,TE,MIN,10,1,18,36.9,100.0,43,29.5,43,47.4,2,100.0,146,146,65.0,100.0,82,56.2,82
Foster Moreau,47043,TE,LV,8,0,23,42.5,100.0,81,55.5,81,40.8,0,100.0,146,146,44.1,100.0,26,17.8,26
Tyler Shatley,9257,G,JAX,7,0,15,55.3,100.0,69,47.3,69,50.3,0,100.0,146,146,52.3,100.0,60,41.1,60
Darius Slayton,25578,WR,NYG,9,0,21,54.1,100.0,73,50.3,73,53.1,0,100.0,145,145,55.8,100.0,57,39.3,57
Luke Goedeke,77548,G,TB,7,0,30,49.6,100.0,91,63.2,91,49.1,0,100.0,144,144,52.1,100.0,36,25.0,36
Logan Thomas,8755,TE,WAS,8,0,32,47.7,100.0,52,36.1,52,57.0,0,100.0,144,144,65.0,100.0,77,53.5,77
