player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ihmir Smith-Marsette,61324,WR,CHI,4,8.7,1,33.3,,0,0,0,50.0,1,0,6,1,28.8,14.4,43.5,70.2,42.0,2.9,1,0,15,2.9,1,34,1,1,88.2,30,29.4,10,50.7,3,0,67.6,23,15,5,5.0,15.0,0.5
Michael Burton,9601,FB,KC,7,-0.7,0,66.7,,0,0,0,0.0,0,0,16,0,68.3,71.2,79.6,79.0,79.1,9.1,1,0,9,63.6,7,11,0,2,36.4,4,0.0,0,72.9,3,0,0.0,0,11,8,4.0,5.5,2.75
Chris Evans,27303,HB,CIN,6,17.7,0,66.7,100.0,2,2,0,0.0,0,1,7,0,68.3,76.0,75.2,77.5,72.1,0.0,0,0,26,16.7,2,12,0,2,83.3,10,50.0,6,99.3,3,0,33.3,4,30,2,1.0,15.0,3.0
Ben Ellefson,27766,TE,MIN,4,5.3,0,100.0,,0,0,0,0.0,0,2,18,0,70.5,65.8,79.1,72.2,89.5,90.0,18,0,12,65.0,13,20,0,3,30.0,6,0.0,0,102.8,3,0,5.0,1,26,10,3.3,8.7,4.33
Drew Sample,47259,TE,CIN,2,-1.0,0,100.0,,0,0,0,0.0,0,0,7,0,68.3,64.0,52.3,56.4,53.9,66.7,14,0,2,42.9,9,21,0,2,57.1,12,0.0,0,79.2,2,0,19.0,4,-2,0,0.0,-1.0,-0.17
Kendall Blanton,47311,TE,LA,4,6.0,0,100.0,,0,0,0,0.0,0,1,26,0,68.3,64.0,70.1,75.5,83.4,76.9,10,0,28,30.8,4,13,0,2,69.2,9,7.7,1,118.8,2,0,15.4,2,35,23,11.5,17.5,3.89
Ke'Shawn Vaughn,45866,HB,TB,2,-1.0,0,50.0,,0,0,0,0.0,0,1,30,0,64.7,69.4,65.6,,75.9,0.0,0,0,11,0.0,0,4,0,1,100.0,4,0.0,0,66.7,2,0,0.0,0,11,11,11.0,11.0,2.75
Luke Farrell,42353,TE,JAX,7,0.0,0,100.0,,0,0,0,0.0,0,2,15,0,68.3,64.0,63.4,76.0,78.3,68.8,11,0,15,31.3,5,16,0,2,62.5,10,18.8,3,118.8,2,0,12.5,2,26,26,13.0,13.0,2.6
Sean McKeon,42266,TE,DAL,4,2.0,0,100.0,,0,0,0,0.0,0,1,9,0,68.3,64.0,68.4,75.0,72.5,83.3,10,0,10,33.3,4,12,0,2,66.7,8,0.0,0,89.6,2,0,8.3,1,11,7,3.5,5.5,1.38
Charlie Woerner,42257,TE,SF,9,21.5,0,0.0,,0,0,0,100.0,1,0,28,0,27.9,,35.5,65.7,37.2,67.3,33,0,0,28.6,14,49,1,0,65.3,32,22.4,11,39.6,2,0,10.2,5,0,0,,,0.0
Keith Kirkwood,48017,WR,NO,2,7.5,0,100.0,100.0,1,1,0,0.0,0,1,20,0,68.3,64.0,59.4,,55.9,3.0,1,0,14,0.0,0,33,1,2,93.9,31,66.7,22,104.2,2,0,30.3,10,18,3,1.5,9.0,0.58
Trevon Wesco,42018,TE,CHI,7,7.0,1,50.0,,0,0,0,50.0,1,1,6,0,29.9,64.0,70.4,75.6,54.6,81.0,34,0,23,31.0,13,42,1,1,64.3,27,14.3,6,91.7,2,0,2.4,1,23,11,11.0,23.0,0.85
Miles Boykin,48209,WR,PIT,6,22.0,0,50.0,100.0,1,1,0,0.0,0,1,25,0,64.7,61.2,65.5,,61.1,5.9,1,0,11,0.0,0,17,1,1,94.1,16,11.8,2,66.7,2,0,82.4,14,11,0,0.0,11.0,0.69
