player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Kentavius Street,48404,DI,NO,12,5,2.3,0,0,20,58.5,50.9,68.6,59.9,46.8,65.5,5.3,1,1,166,171,4.8,8,13
Anthony Nelson,48405,ED,TB,11,5,1.8,0,0,30,42.4,53.7,66.4,55.3,64.8,29.2,16.7,3,1,121,123,8.3,10,10
Jonathan Greenard,48407,ED,HST,4,1,-0.3,0,0,13,60.0,60.9,58.2,57.7,64.9,34.9,22.2,2,1,67,69,9.0,6,6
Michael Danna,48415,ED,KC,7,3,2.6,0,0,16,63.9,68.3,86.3,67.9,57.3,37.5,15.4,2,0,85,86,7.1,6,8
Demone Harris,48452,ED,HST,2,2,4.5,0,0,13,60.0,49.5,81.5,56.4,52.0,44.2,0.0,0,0,35,35,2.9,1,2
James Smith-Williams,48455,ED,WAS,11,5,2.1,0,0,32,63.1,60.5,74.6,57.4,61.2,46.0,16.7,3,1,149,155,5.4,8,10
Sam Hubbard,48457,ED,CIN,11,14,2.7,1,0,7,79.1,75.0,67.3,62.2,77.0,42.8,14.6,6,2,220,224,7.3,16,21
Tyquan Lewis,48475,ED,IND,7,4,0.9,0,0,14,60.3,56.3,86.3,63.0,46.3,36.2,13.3,2,0,114,116,7.9,9,9
Justin Hollins,48498,ED,GB,11,2,2.1,0,0,12,59.1,53.8,40.7,52.0,61.1,49.9,11.1,2,2,139,142,7.9,11,14
Carl Granderson,48500,ED,NO,11,5,2.4,0,0,20,53.3,76.9,86.9,65.2,79.2,76.2,3.8,1,0,118,123,11.9,14,20
Chase Winovich,48523,ED,CLV,2,0,10.0,0,0,8,60.0,50.8,80.2,53.9,66.6,69.6,0.0,0,0,8,9,0.0,0,1
Bradley Chubb,48526,ED,MIA,11,9,2.9,0,0,17,29.9,75.1,44.6,79.6,75.3,44.4,14.8,4,3,173,187,6.4,11,14
Oshane Ximines,48538,ED,NYG,9,4,5.4,0,0,21,68.1,65.7,43.1,63.7,64.6,55.3,8.3,1,2,115,120,4.3,5,7
Dorance Armstrong,48557,ED,DAL,11,2,5.1,0,0,9,68.3,58.2,67.2,66.2,43.7,57.9,10.0,1,1,121,129,3.3,4,7
Malik Reed,48567,ED,PIT,11,10,3.1,0,0,25,78.2,64.5,68.2,51.3,74.3,64.3,9.1,2,1,119,121,5.9,7,10
Carlos Davis,48662,DI,PIT,1,0,,0,0,25,,45.3,73.0,62.0,44.0,67.3,,0,0,5,5,0.0,0,0
Roy Lopez,48676,DI,HST,11,7,1.4,0,0,13,60.0,56.9,66.4,54.9,58.5,75.1,0.0,0,1,188,190,3.7,7,9
Harrison Phillips,48690,DI,MIN,11,14,4.1,0,0,18,65.0,74.2,85.7,60.8,74.5,64.8,7.9,3,0,197,200,6.6,13,21
Daron Payne,48698,DI,WAS,12,10,1.8,1,0,32,58.8,57.4,76.8,70.3,43.0,33.5,14.0,6,1,230,237,10.0,23,27
Greg Gaines,48706,DI,LA,10,7,1.9,0,0,26,60.0,54.8,87.2,57.1,52.5,43.8,5.9,1,0,173,182,3.5,6,9
Rasheem Green,48731,ED,HST,10,3,3.3,0,0,13,53.4,62.1,89.1,59.7,62.7,56.8,11.1,3,0,198,203,6.1,12,21
Taven Bryan,48753,DI,CLV,10,5,2.2,0,0,8,57.6,46.7,70.9,52.2,46.8,47.4,15.4,2,2,161,163,2.5,4,6
Deadrin Senat,48815,DI,TB,7,1,2.1,0,0,30,,73.0,80.6,65.7,69.6,28.3,21.4,3,0,65,65,12.3,8,10
L.J. Collier,48822,DI,SEA,3,0,11.0,0,0,29,,47.8,76.9,62.2,38.7,69.9,0.0,0,0,20,20,0.0,0,1
Michael Dogbe,48850,DI,ARZ,10,2,3.5,0,0,1,65.9,31.1,50.0,51.7,29.9,28.7,23.1,3,1,95,97,3.2,3,8
Daniel Ekuale,48874,DI,NE,10,1,3.0,0,0,19,66.3,58.1,29.9,59.2,56.3,27.4,40.0,2,2,62,63,1.6,1,2
Poona Ford,48875,DI,SEA,11,6,3.2,0,0,29,58.9,58.1,86.0,63.4,53.6,68.6,4.2,1,0,221,225,5.4,12,17
Henry Mondeaux,48889,DI,NYG,5,3,2.0,0,0,21,,30.5,81.0,49.2,29.9,74.7,0.0,0,0,72,74,5.6,4,4
Daniel Wise,48922,DI,WAS,10,1,1.0,0,0,32,59.7,46.8,80.0,56.7,44.9,70.9,0.0,0,0,38,42,2.6,1,1
Taylor Stallworth,48935,DI,KC,5,2,1.0,0,0,16,,30.3,0.0,55.0,34.9,69.9,0.0,0,1,17,17,0.0,0,1
Justin Jones,48940,DI,CHI,12,11,1.6,1,0,6,52.3,38.2,31.7,59.9,35.6,53.5,5.7,2,4,234,238,7.7,18,22
Vita Vea,48956,DI,TB,11,7,2.5,0,0,30,58.4,59.4,70.4,68.3,49.3,61.0,5.0,1,1,158,165,5.7,9,12
Tim Settle,48966,DI,BUF,11,2,1.0,0,0,4,64.1,52.7,38.1,57.4,51.3,28.5,27.3,3,2,95,97,5.3,5,6
Kevin Strong Jr.,48981,DI,TEN,10,5,2.4,0,0,31,60.0,63.4,83.2,54.5,65.8,74.3,0.0,0,0,87,89,6.9,6,10
Kendal Vickers,48993,DI,LV,8,2,3.2,0,0,23,56.2,47.6,83.2,63.3,36.7,35.3,12.5,1,0,69,70,4.3,3,5
Nick Scott,49012,S,LA,11,8,6.1,0,1,26,57.5,62.9,84.6,60.0,74.2,53.7,16.7,5,0,251,263,2.8,7,17
Josh Woods,49023,LB,DET,1,0,,0,0,11,,60.0,66.5,,60.0,,,0,0,2,2,0.0,0,0
Justin Reid,49048,S,KC,11,6,8.1,0,0,16,60.0,61.9,86.7,54.0,65.5,44.6,14.8,4,0,232,240,3.0,7,17
Tre Flowers,49059,CB,CIN,4,1,10.0,1,0,7,47.5,48.7,78.0,57.7,56.4,84.8,0.0,0,2,16,16,0.0,0,2
Khaleke Hudson,49073,LB,WAS,2,0,,0,0,32,,60.0,65.6,,60.0,,,0,0,1,2,0.0,0,0
Jake Gervase,49103,LB,LA,1,0,,0,0,26,,60.0,67.6,,60.0,,,0,0,0,1,,0,0
Jalen Thompson,49116,S,ARZ,12,3,8.7,0,0,1,62.0,63.3,57.4,53.9,67.5,87.0,6.5,2,2,269,277,2.6,7,26
Dallin Leavitt,49120,S,GB,1,0,,0,0,12,,59.9,60.4,,60.0,,,0,0,1,1,0.0,0,0
Ryan Neal,49132,S,SEA,9,3,7.3,0,0,29,82.0,80.9,84.1,53.5,71.4,69.3,13.0,3,0,216,219,3.7,8,17
Myles Hartsfield,49159,S,CAR,10,4,16.3,0,0,5,58.3,55.5,85.7,72.6,41.8,58.7,16.7,3,0,251,256,0.8,2,11
Jessie Bates III,49162,S,CIN,11,11,9.1,0,0,7,59.4,65.9,86.5,56.2,78.3,73.6,12.1,4,0,267,272,2.2,6,18
Ezekiel Turner,49167,LB,ARZ,3,0,-6.5,0,1,1,35.4,69.1,73.9,55.1,95.9,61.9,0.0,0,0,5,6,40.0,2,2
Tarvarius Moore,49178,S,SF,5,0,6.0,0,0,28,64.5,70.0,72.0,,68.1,80.8,0.0,0,0,10,10,0.0,0,3
Elijah Campbell,49190,S,MIA,2,1,3.0,0,0,17,48.1,52.6,83.1,68.1,59.4,77.1,0.0,0,0,9,9,0.0,0,1
Jordan Whitehead,49196,S,NYJ,11,10,5.3,0,0,22,75.0,68.5,55.9,52.8,52.8,49.8,21.6,8,1,279,289,3.6,10,19
Ronnie Harrison,49206,S,CLV,7,1,6.6,0,0,8,47.5,45.3,79.5,63.3,40.7,29.5,10.0,1,0,61,61,3.3,2,8
Demetrius Flannigan-Fowles,49231,LB,SF,3,2,3.0,0,0,28,36.2,41.8,73.3,73.3,52.7,57.7,0.0,0,0,37,38,2.7,1,2
Tony Brown,49255,CB,IND,1,0,,0,0,14,43.8,52.5,68.7,74.2,60.0,73.3,,0,0,5,5,0.0,0,0
Andrew Wingard,49268,S,JAX,2,1,4.0,0,1,15,63.6,85.0,75.6,90.5,90.9,78.6,0.0,0,0,14,14,7.1,1,1
Myles Dorn,49299,S,MIN,1,0,,0,0,18,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Rashad Fenton,49329,CB,ATL,6,3,11.8,2,0,2,56.2,56.6,84.4,50.6,59.1,56.2,12.5,1,4,134,141,0.0,0,4
Carlton Davis,49335,CB,TB,9,1,4.5,0,0,30,63.2,63.6,84.8,63.2,60.3,63.3,21.4,3,1,188,193,2.1,4,10
Kindle Vildor,49346,CB,CHI,10,4,6.0,1,0,6,58.8,59.4,49.6,,63.5,40.9,23.1,3,5,229,235,1.3,3,6
