player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,5,19,19,4.12,38.89,48.26,9.9,0,0,0,1,1,69.8,5,62,2,0,73.7,138,14,19,78.31,739,2,917
Kevin Huber,5066,P,CIN,5,19,19,4.33,39.74,44.68,12.3,0,0,2,8,7,60.1,6,63,2,0,31.6,74,6,19,82.34,755,1,849
Thomas Morstead,5088,P,MIA,5,16,16,4.37,43.25,47.75,10.3,0,0,5,4,17,63.5,8,66,0,0,43.8,72,7,17,69.89,692,0,764
Bryan Anger,7072,P,DAL,5,26,26,4.52,40.5,45.69,7.5,0,0,3,9,9,67.5,12,63,1,0,38.5,75,10,26,117.39,1053,3,1188
Johnny Hekker,7252,P,CAR,5,23,23,4.24,44.7,47.83,6.0,0,0,4,6,5,65.7,11,63,1,0,52.2,72,12,23,97.59,1028,0,1100
Sam Martin,7947,P,BUF,4,9,9,4.25,42.33,46.78,0.0,0,0,0,3,4,71.9,4,61,2,0,22.2,0,2,9,38.29,381,2,421
Tress Way,8358,P,WAS,6,35,35,4.4,44.77,47.86,5.2,0,0,7,10,32,64.1,15,62,3,0,37.1,68,13,35,154.16,1567,2,1675
Pat O'Donnell,8826,P,GB,5,21,21,4.16,41.52,46.38,13.7,0,0,4,7,12,64.6,12,72,3,0,28.6,82,6,21,87.44,872,1,974
Bradley Pinion,9598,P,ATL,5,15,15,4.81,44.13,49.33,9.7,0,0,2,6,2,88.4,6,73,0,0,40.0,58,6,15,72.22,662,1,740
Riley Dixon,10862,P,LA,5,16,16,4.33,43.06,48.0,11.3,2,0,1,6,26,75.0,4,60,2,0,43.8,79,7,18,69.3,689,0,768
Matt Haack,12212,P,IND,5,21,21,4.57,42.48,44.62,4.2,0,0,4,6,14,65.6,12,70,4,0,28.6,25,6,21,95.96,892,1,937
Cameron Johnston,12255,P,HST,5,26,26,4.34,43.04,49.12,9.2,0,0,2,6,13,68.4,16,64,2,0,57.7,138,15,26,112.79,1119,1,1277
Corey Bojorquez,27626,P,CLV,5,17,17,4.38,41.94,47.59,14.0,0,0,4,1,8,81.4,10,63,6,0,23.5,56,4,17,74.47,713,2,809
Logan Cooke,29214,P,JAX,5,15,15,4.42,45.0,50.47,6.9,0,0,2,2,15,79.6,4,62,1,0,60.0,62,9,15,66.29,675,1,757
Tommy Townsend,33007,P,KC,5,15,15,4.97,48.67,53.27,5.8,0,0,3,5,16,82.1,6,74,0,0,33.3,29,5,15,74.6,730,2,799
Jake Bailey,33963,P,NE,5,18,18,4.35,35.33,44.33,11.7,0,0,2,4,19,72.0,7,62,1,0,38.9,82,7,18,78.25,636,4,798
Jack Fox,34735,P,DET,5,16,16,4.59,43.25,48.56,9.4,0,0,2,4,11,66.1,6,63,1,0,56.3,85,9,16,73.51,692,0,777
Michael Dickson,35381,P,SEA,4,14,14,4.26,44.86,48.93,8.1,0,0,1,4,29,60.3,6,55,2,0,50.0,57,7,14,59.67,628,0,685
A.J. Cole III,36038,P,LV,5,14,14,4.33,43.93,52.14,16.4,0,0,4,2,23,73.0,4,66,1,0,50.0,115,7,14,60.59,615,0,730
J.K. Scott,38809,P,LAC,5,19,19,4.92,42.11,44.0,4.0,0,0,2,8,27,74.6,8,53,0,0,47.4,36,9,19,93.56,800,0,836
Corliss Waitman,39620,P,DEN,5,26,26,4.48,40.77,46.0,6.3,0,0,4,7,10,70.2,11,57,0,0,46.2,76,12,26,116.39,1060,3,1196
Mitch Wishnowsky,44663,P,SF,5,20,20,4.42,41.0,44.3,2.0,0,0,6,4,28,70.1,11,74,4,0,15.0,6,3,20,88.46,820,3,886
Braden Mann,44664,P,NYJ,5,22,22,4.28,42.77,45.82,6.7,0,0,4,5,22,65.5,9,59,3,0,45.5,67,10,22,94.1,941,0,1008
Blake Gillikin,45045,P,NO,5,24,24,4.48,41.42,48.25,10.4,0,0,0,9,20,66.3,6,63,2,0,41.7,104,10,24,107.59,994,3,1158
Ryan Stonehouse,52045,P,TEN,5,27,27,4.42,47.33,54.89,9.6,0,0,3,4,31,73.5,12,70,1,0,63.0,164,17,27,119.29,1278,2,1482
Jordan Stout,57649,P,BLT,5,16,16,4.34,39.88,46.0,9.7,0,0,1,5,3,57.9,6,64,2,0,37.5,58,6,16,69.39,638,2,736
Trenton Gill,60295,P,CHI,6,25,25,4.26,42.56,48.72,9.5,0,0,2,8,6,67.6,7,60,1,0,48.0,114,12,25,106.46,1064,2,1218
Pressley Harvin III,62973,P,PIT,5,25,25,4.31,40.96,45.12,6.4,0,0,4,8,25,63.4,6,69,1,0,40.0,64,10,25,107.66,1024,2,1128
Jamie Gillan,63303,P,NYG,5,21,21,4.55,41.57,50.95,13.7,0,0,0,4,21,75.1,6,69,4,0,47.6,137,10,21,95.47,873,3,1070
Ryan Wright,77591,P,MIN,5,17,17,4.47,42.59,45.59,7.3,0,0,2,6,18,62.8,10,58,2,0,41.2,51,7,17,75.98,724,0,775
Arryn Siposs,82019,P,PHI,5,20,20,4.22,40.65,45.55,4.8,0,0,5,4,24,63.0,11,55,0,0,40.0,38,8,20,84.3,813,3,911
Jake Camarda,82636,P,TB,5,22,22,4.66,41.0,45.45,9.7,0,0,1,10,30,71.4,8,65,3,0,27.3,58,6,22,102.53,902,2,1000
