player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,13,50,50,4.25,39.8,46.96,9.3,0,0,4,9,1,63.3,13,65,3,0,60.0,278,30,50,212.66,1990,4,2348
Kevin Huber,5066,P,CIN,9,31,31,4.27,37.42,43.23,14.5,0,0,3,13,7,54.4,10,63,3,0,35.5,160,11,31,132.43,1160,1,1340
Thomas Morstead,5088,P,MIA,12,47,47,4.35,41.17,47.79,11.3,0,0,9,12,17,69.5,20,66,0,0,51.1,271,24,48,204.58,1935,2,2246
Bryan Anger,7072,P,DAL,13,50,50,4.52,42.4,49.0,8.3,0,0,4,15,9,75.1,18,83,1,0,46.0,190,23,50,225.75,2120,7,2450
Johnny Hekker,7252,P,CAR,13,63,63,4.36,44.03,48.89,8.7,0,0,8,21,5,76.4,29,67,4,0,41.3,226,26,63,274.72,2774,4,3080
Sam Martin,7947,P,BUF,12,34,34,4.23,42.29,48.41,9.0,1,0,4,10,4,64.7,13,67,3,0,35.3,108,12,35,143.67,1438,5,1646
Tress Way,8358,P,WAS,13,66,66,4.38,43.48,46.97,6.0,0,0,10,22,32,61.5,34,68,5,0,37.9,150,25,66,288.75,2870,4,3100
Pat O'Donnell,8826,P,GB,13,47,47,4.11,40.64,44.94,10.1,1,0,8,16,12,60.2,24,72,4,0,38.3,182,18,48,193.01,1910,1,2112
Michael Palardy,9277,P,NE,4,22,22,4.16,38.32,42.91,5.9,0,0,3,7,19,52.6,7,56,2,0,31.8,41,7,22,91.61,843,3,944
Bradley Pinion,9598,P,ATL,13,48,48,4.53,41.1,46.29,11.0,0,0,7,16,2,78.1,20,73,4,0,39.6,209,19,48,217.56,1973,2,2222
Riley Dixon,10862,P,LA,13,56,56,4.3,43.64,49.46,9.9,2,0,4,12,26,83.5,14,65,9,0,51.8,286,29,58,240.58,2444,2,2770
Jake Elliott,11908,K,PHI,1,1,1,4.26,35.0,35.0,,0,0,1,0,24,60.0,0,35,0,0,0.0,0,0,1,4.26,35,0,35
Matt Haack,12212,P,IND,13,54,54,4.44,41.11,44.78,7.3,1,0,7,17,14,66.1,24,70,8,0,35.2,138,19,55,239.85,2220,3,2418
Cameron Johnston,12255,P,HST,13,68,68,4.22,42.75,48.96,9.8,0,0,7,17,13,63.9,31,67,5,0,51.5,342,35,68,286.91,2907,4,3329
Corey Bojorquez,27626,P,CLV,13,45,45,4.38,40.6,49.09,14.1,0,0,7,6,8,78.5,20,76,7,0,44.4,282,20,45,196.98,1827,5,2209
Logan Cooke,29214,P,JAX,13,44,44,4.29,43.57,50.14,6.5,0,0,5,5,15,74.4,14,70,2,0,59.1,169,26,44,188.63,1917,6,2206
Tommy Townsend,33007,P,KC,13,34,34,4.77,47.0,52.18,8.0,0,0,5,11,16,84.1,13,76,2,0,35.3,96,12,34,162.2,1598,4,1774
Jake Bailey,33963,P,NE,9,37,37,4.14,35.27,42.11,9.6,0,0,3,8,19,57.5,13,62,5,0,43.2,153,16,37,153.15,1305,5,1558
Jack Fox,34735,P,DET,12,37,37,4.32,40.95,48.73,12.4,0,0,6,6,11,60.1,11,66,3,0,54.1,248,20,37,159.8,1515,2,1803
Michael Dickson,35381,P,SEA,12,45,45,4.27,44.98,49.0,5.6,0,0,5,9,29,63.1,18,68,4,0,55.6,141,25,45,191.94,2024,2,2205
A.J. Cole III,36038,P,LV,13,43,43,4.38,44.05,49.98,11.8,0,0,8,12,23,84.1,23,67,2,0,46.5,235,20,43,188.21,1894,1,2149
J.K. Scott,38809,P,LAC,13,53,53,4.77,41.89,43.36,3.9,0,0,8,25,27,70.0,22,55,4,0,28.3,58,15,53,252.64,2220,1,2298
