player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Patrick Mahomes,11765,QB,KC,8,114,9.6,0,16,4,16,11.4,26.3,78.1,5.3,0,21,11,13,30,114,89,6,21,28,21,3,18.4,24.6,1,18.4,2.6
Justin Fields,82118,QB,CHI,9,101,12.9,0,6,4,10,18.8,27.7,73.3,5.0,0,24,13,19,28,101,74,5,14,12,24,4,13.9,11.9,10,23.8,4.0
Kyler Murray,38334,QB,ARZ,9,100,15.0,0,1,2,3,31.0,18.0,89.0,3.0,0,12,15,31,18,100,89,3,16,28,12,3,16.0,28.0,7,12.0,3.0
Davis Mills,52269,QB,HST,8,96,19.8,0,13,2,5,33.3,6.3,87.5,2.1,0,10,19,32,6,96,84,2,16,19,10,4,16.7,19.8,3,10.4,4.2
Daniel Jones,39395,QB,NYG,8,95,13.7,0,21,3,8,17.9,9.5,77.9,6.3,0,15,13,17,9,95,74,6,19,22,15,3,20.0,23.2,4,15.8,3.2
Kirk Cousins,7102,QB,MIN,8,94,14.9,0,18,1,3,26.6,10.6,86.2,9.6,0,5,14,25,10,94,81,9,31,10,5,8,33.0,10.6,1,5.3,8.5
Justin Herbert,28237,QB,LAC,8,93,8.6,0,27,0,7,21.5,25.8,80.6,7.5,0,12,8,20,24,93,75,7,18,19,12,3,19.4,20.4,5,12.9,3.2
Derek Carr,8671,QB,LV,8,92,17.4,0,23,2,4,22.8,20.7,84.8,5.4,0,10,16,21,19,92,78,5,19,17,9,2,20.7,18.5,4,9.8,2.2
Matt Ryan,4317,QB,IND,7,91,14.3,0,14,2,6,8.8,26.4,80.2,8.8,0,10,13,8,24,91,73,8,19,19,10,2,20.9,20.9,2,11.0,2.2
Matthew Stafford,4924,QB,LA,8,90,21.1,0,26,0,1,32.2,27.8,94.4,-1.1,0,4,19,29,25,90,85,-1,16,20,4,3,17.8,22.2,3,4.4,3.3
Josh Allen,46601,QB,BUF,8,89,16.9,0,4,2,8,15.7,15.7,77.5,7.9,0,15,15,14,14,89,69,7,15,25,15,0,16.9,28.1,5,16.9,0.0
Geno Smith,7820,QB,SEA,9,88,12.5,0,29,3,2,15.9,28.4,81.8,8.0,0,8,11,14,25,88,72,7,24,15,8,6,27.3,17.0,3,9.1,6.8
