"","G","G","G","G","G","G"
"1",22969165,22969166,22969187,22969205,22969242,22969255
"2",22969165,22969166,22969203,22969205,22969209,22969255
"3",22969165,22969166,22969187,22969205,22969227,22969262
"4",22969165,22969166,22969191,22969205,22969221,22969255
"5",22969165,22969166,22969203,22969205,22969207,22969255
"6",22969165,22969166,22969194,22969205,22969221,22969255
"7",22969164,22969165,22969205,22969209,22969221,22969267
"8",22969165,22969166,22969182,22969205,22969262,22969278
"9",22969165,22969166,22969203,22969205,22969221,22969227
"10",22969164,22969165,22969205,22969207,22969221,22969267
"11",22969165,22969166,22969187,22969205,22969255,22969262
"12",22969165,22969166,22969205,22969207,22969221,22969227
"13",22969165,22969166,22969182,22969221,22969242,22969267
"14",22969165,22969166,22969187,22969209,22969221,22969267
"15",22969165,22969166,22969182,22969221,22969255,22969261
"16",22969165,22969166,22969187,22969209,22969242,22969255
"17",22969165,22969166,22969187,22969207,22969242,22969255
"18",22969165,22969166,22969191,22969209,22969221,22969255
"19",22969165,22969166,22969187,22969221,22969227,22969242
"20",22969165,22969166,22969194,22969207,22969221,22969242
"21",22969165,22969166,22969203,22969209,22969221,22969227
"22",22969165,22969166,22969207,22969209,22969221,22969227
"23",22969165,22969166,22969187,22969209,22969242,22969243
"24",22969165,22969166,22969182,22969229,22969242,22969261
"25",22969165,22969166,22969187,22969207,22969242,22969243
"26",22969164,22969166,22969187,22969207,22969242,22969263
"27",22969164,22969182,22969187,22969191,22969200,22969207
"28",22969164,22969182,22969187,22969194,22969200,22969203
"29",22969166,22969175,22969182,22969187,22969207,22969261
"30",22969166,22969178,22969182,22969187,22969194,22969261
"31",22969166,22969182,22969187,22969191,22969193,22969194
"32",22969164,22969166,22969182,22969216,22969263,22969278
"33",22969166,22969178,22969182,22969200,22969203,22969216
"34",22969164,22969166,22969182,22969223,22969252,22969278
"35",22969164,22969166,22969182,22969231,22969243,22969278
"36",22969164,22969166,22969182,22969240,22969252,22969263
"37",22969166,22969178,22969182,22969191,22969203,22969229
"38",22969164,22969178,22969182,22969200,22969203,22969263
"39",22969164,22969178,22969191,22969193,22969200,22969224
"40",22969164,22969178,22969191,22969193,22969200,22969229
"41",22969164,22969175,22969191,22969193,22969216,22969218
"42",22969164,22969175,22969191,22969193,22969200,22969243
"43",22969164,22969175,22969188,22969200,22969216,22969218
"44",22969164,22969177,22969191,22969193,22969200,22969229
"45",22969164,22969178,22969188,22969193,22969200,22969240
"46",22969164,22969175,22969188,22969193,22969223,22969224
"47",22969164,22969175,22969188,22969193,22969216,22969229
"48",22969164,22969175,22969178,22969229,22969231,22969240
"49",22969164,22969175,22969178,22969223,22969224,22969252
"50",22969164,22969175,22969178,22969223,22969231,22969243
"51",22969164,22969178,22969188,22969193,22969211,22969218
"52",22969164,22969175,22969178,22969223,22969224,22969249
"53",22969164,22969175,22969178,22969218,22969240,22969243
"54",22969164,22969175,22969178,22969222,22969223,22969252
"55",22969175,22969177,22969178,22969188,22969193,22969223
"56",22969175,22969177,22969180,22969188,22969193,22969211
"57",22969175,22969177,22969180,22969188,22969193,22969224
"58",22969175,22969177,22969180,22969188,22969193,22969213
"59",22969175,22969177,22969180,22969188,22969192,22969211
"60",22969176,22969177,22969180,22969184,22969197,22969219
"61",22969171,22969177,22969180,22969192,22969197,22969211
"62",22969176,22969177,22969180,22969184,22969197,22969222
"63",22969176,22969177,22969180,22969184,22969208,22969211
"64",22969176,22969177,22969180,22969192,22969196,22969197
"65",22969171,22969177,22969180,22969192,22969197,22969213
"66",22969171,22969177,22969180,22969192,22969197,22969219
"67",22969176,22969177,22969180,22969184,22969201,22969213
"68",22969176,22969177,22969180,22969184,22969201,22969219
"69",22969171,22969176,22969177,22969192,22969208,22969222
"70",22969171,22969176,22969177,22969192,22969213,22969219
"71",22969171,22969176,22969177,22969192,22969212,22969219
"72",22969171,22969176,22969177,22969197,22969201,22969219
"73",22969171,22969176,22969184,22969192,22969196,22969197
"74",22969169,22969176,22969184,22969192,22969197,22969208
"75",22969171,22969176,22969184,22969192,22969197,22969208
"76",22969169,22969176,22969184,22969192,22969197,22969213
"77",22969169,22969171,22969184,22969192,22969213,22969219
"78",22969169,22969171,22969174,22969197,22969246,22969247
"79",22969169,22969171,22969174,22969213,22969222,22969247
"80",22969169,22969171,22969174,22969212,22969222,22969246
"81",22969168,22969169,22969185,22969197,22969213,22969222
"82",22969168,22969169,22969174,22969219,22969246,22969247
"83",22969168,22969169,22969185,22969204,22969213,22969219
"84",22969168,22969169,22969185,22969201,22969212,22969219
"85",22969169,22969172,22969174,22969212,22969219,22969246
"86",22969168,22969169,22969189,22969190,22969212,22969219
"87",22969168,22969169,22969190,22969196,22969201,22969219
"88",22969168,22969169,22969174,22969219,22969241,22969247
"89",22969169,22969173,22969174,22969201,22969219,22969249
"90",22969168,22969173,22969174,22969212,22969219,22969246
"91",22969169,22969172,22969174,22969212,22969219,22969241
"92",22969168,22969169,22969174,22969212,22969246,22969252
"93",22969168,22969174,22969185,22969201,22969202,22969204
"94",22969172,22969173,22969174,22969201,22969202,22969246
"95",22969168,22969173,22969189,22969190,22969202,22969204
"96",22969168,22969174,22969185,22969189,22969206,22969212
"97",22969168,22969173,22969185,22969196,22969204,22969212
"98",22969172,22969173,22969174,22969196,22969212,22969247
"99",22969168,22969173,22969189,22969190,22969196,22969212
"100",22969172,22969173,22969174,22969202,22969204,22969241
