#,Name,ID,Salary,ceil,fpts,total_pts,odds_open,odds_close,odds_delta_per,odds_rank,win,residuals,proj_own,own_change,own
3,Rory McIlroy,22969166,10500,110,89.91,97.43,0.0808,0.0942,0.1658,2,0.0927,1.97,23.6,9.47,0.33
1,Scottie Scheffler,22969164,11100,106.5,87.45,102.68,0.0904,0.1005,0.1117,1,0.104,-0.67,18.3,7.7,0.26
2,Justin Thomas,22969165,10900,118.35,91.54,102.68,0.0795,0.0876,0.1019,3,0.0907,-0.72,15.9,9.34,0.25
13,Chris Kirk,22969177,9100,93.5,73.72,71.62,0.0184,0.0205,0.1141,12,0.0189,-0.34,13.9,4.87,0.19
6,Sam Burns,22969169,10000,97,76.76,72.31,0.0549,0.0524,-0.0455,5,0.0466,0.14,11,6.34,0.17
11,Adam Hadwin,22969175,9300,88.5,66.01,75.82,0.0192,0.0232,0.2083,11,0.0126,-0.56,12.8,4.37,0.17
51,Adam Svensson,22969219,7100,80.5,56.82,48.79,0.0078,0.0069,-0.1154,32,0.0041,0.28,14.2,2.99,0.17
17,Jhonattan Vegas,22969182,8500,90,66.99,71.87,0.0134,0.0132,-0.0149,17,0.0117,-0.01,11.6,4.71,0.16
10,Tony Finau,22969174,9400,95.5,75.25,66.37,0.0303,0.0341,0.1254,9,0.029,0.33,16.4,5.6,0.15
14,Keith Mitchell,22969178,9000,87.85,65.17,72.62,0.0179,0.0176,-0.0168,14,0.0166,-0.42,10.7,4.32,0.15
21,Aaron Rai,22969187,7900,85.5,62.48,63.26,0.009,0.0084,-0.0667,24,0.0066,-0.01,11.6,3.67,0.15
5,Shane Lowry,22969168,10100,99.5,80.96,71.62,0.0432,0.0517,0.1968,6,0.0549,-0.33,12.3,6.06,0.14
12,Sebastian Munoz,22969176,9200,90,67.26,69.47,0.0191,0.0181,-0.0524,13,0.0184,-0.84,10,4.28,0.14
27,Nick Taylor,22969193,7700,82.5,57.95,57.49,0.0066,0.0072,0.0909,30,0.0052,-0.04,10.3,3.22,0.14
52,Doug Ghim,22969221,7000,82.5,57.77,52.75,0.0103,0.0086,-0.165,23,0.0076,0.59,10.3,3.3,0.14
7,Harold Varner III,22969171,9700,93,72.33,71.62,0.0263,0.0282,0.0722,10,0.0266,-1.23,8.7,4.41,0.13
15,Justin Rose,22969180,8800,85.5,61.91,67.2,0.014,0.0143,0.0214,16,0.0101,-0.38,9.4,3.8,0.13
26,J.J. Spaun,22969192,7700,82.5,56.37,54.91,0.0117,0.01,-0.1453,20,0.0076,0.32,8.9,3.62,0.13
30,Austin Smotherman,22969197,7500,81,55.26,52.76,0.0043,0.0044,0.0233,56,0.0036,-0.3,9.8,3.04,0.13
