"","G","G","G","G","G","G"
"1",22969166,22969178,22969182,22969191,22969205,22969221
"2",22969166,22969178,22969182,22969194,22969205,22969221
"3",22969166,22969178,22969182,22969203,22969205,22969209
"4",22969166,22969177,22969182,22969194,22969205,22969221
"5",22969165,22969178,22969182,22969205,22969207,22969221
"6",22969165,22969178,22969182,22969191,22969205,22969255
"7",22969165,22969178,22969182,22969187,22969221,22969255
"8",22969165,22969166,22969187,22969194,22969255,22969262
"9",22969165,22969166,22969187,22969203,22969242,22969255
"10",22969165,22969166,22969187,22969209,22969227,22969262
"11",22969165,22969177,22969191,22969194,22969203,22969209
"12",22969165,22969166,22969185,22969209,22969242,22969267
"13",22969164,22969185,22969187,22969191,22969193,22969203
"14",22969164,22969177,22969187,22969191,22969193,22969267
"15",22969164,22969177,22969185,22969193,22969223,22969227
"16",22969164,22969175,22969185,22969193,22969223,22969242
"17",22969164,22969177,22969185,22969193,22969200,22969268
"18",22969164,22969175,22969177,22969227,22969229,22969242
"19",22969164,22969177,22969185,22969192,22969200,22969268
"20",22969164,22969175,22969177,22969200,22969256,22969257
