tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,RBC Canadian Open,32,"McIlroy, Rory",10091,1,1,St. George's G&CC,772,66,3.542,0.591,1.458,-0.04,2.01,5.6,306.4,0.462,0.722,0.9,29.447,27.793
pga,2022,2022,RBC Canadian Open,32,"McIlroy, Rory",10091,1,2,St. George's G&CC,772,68,1.815,0.123,-0.522,2.163,1.764,3.579,316.6,0.769,0.667,0.889,54.763,35.308
pga,2022,2022,RBC Canadian Open,32,"McIlroy, Rory",10091,1,3,St. George's G&CC,772,65,0.789,0.851,1.593,1.166,3.611,4.4,317.5,0.615,0.722,0.75,41.508,24.675
pga,2022,2022,RBC Canadian Open,32,"McIlroy, Rory",10091,1,4,St. George's G&CC,772,62,-0.218,1.923,3.964,0.932,6.818,6.6,310.1,0.692,0.778,0.8,,22.01
pga,2022,2022,RBC Canadian Open,32,"Finau, Tony",11676,2,1,St. George's G&CC,772,66,0.549,1.033,2.994,0.975,5.003,5.6,295.0,0.692,0.778,0.833,47.963,23.528
pga,2022,2022,RBC Canadian Open,32,"Finau, Tony",11676,2,2,St. George's G&CC,772,71,0.679,-0.381,-0.676,0.957,-0.1,0.579,304.5,0.692,0.611,0.545,54.933,36.66
pga,2022,2022,RBC Canadian Open,32,"Finau, Tony",11676,2,3,St. George's G&CC,772,62,3.028,1.954,1.051,1.366,4.372,7.4,305.6,0.769,0.778,0.857,18.728,24.833
pga,2022,2022,RBC Canadian Open,32,"Finau, Tony",11676,2,4,St. George's G&CC,772,64,2.114,0.885,-0.062,1.664,2.486,4.6,307.0,0.769,0.833,0.75,34.781,32.544
pga,2022,2022,RBC Canadian Open,32,"Thomas, Justin",14139,3,1,St. George's G&CC,772,69,0.199,0.664,0.459,1.229,2.353,2.6,292.5,0.769,0.778,0.625,32.374,29.523
pga,2022,2022,RBC Canadian Open,32,"Thomas, Justin",14139,3,2,St. George's G&CC,772,69,-0.086,-0.058,1.353,1.37,2.665,2.579,304.4,0.692,0.722,0.8,48.063,20.207
pga,2022,2022,RBC Canadian Open,32,"Thomas, Justin",14139,3,3,St. George's G&CC,772,63,1.823,1.439,1.929,1.208,4.577,6.4,302.8,0.769,0.889,1.0,68.042,24.428
pga,2022,2022,RBC Canadian Open,32,"Thomas, Justin",14139,3,4,St. George's G&CC,772,64,1.068,-0.554,2.792,1.295,3.532,4.6,301.8,0.846,0.889,0.6,,24.857
pga,2022,2022,RBC Canadian Open,32,"Burns, Sam",19483,T4,1,St. George's G&CC,772,67,0.503,1.522,2.314,0.212,4.049,4.6,292.8,0.615,0.722,0.6,48.497,24.074
pga,2022,2022,RBC Canadian Open,32,"Burns, Sam",19483,T4,2,St. George's G&CC,772,69,0.524,1.425,1.616,-0.986,2.055,2.579,288.0,0.385,0.778,0.667,32.862,27.29
pga,2022,2022,RBC Canadian Open,32,"Burns, Sam",19483,T4,3,St. George's G&CC,772,65,2.582,-0.222,2.151,-0.112,1.818,4.4,295.4,0.692,0.833,0.667,52.497,27.533
pga,2022,2022,RBC Canadian Open,32,"Burns, Sam",19483,T4,4,St. George's G&CC,772,65,0.083,-0.235,3.32,0.433,3.517,3.6,290.4,0.769,0.889,0.75,50.526,21.009
pga,2022,2022,RBC Canadian Open,32,"Rose, Justin",6093,T4,1,St. George's G&CC,772,69,3.262,0.281,-2.597,1.605,-0.71,2.6,295.0,0.846,0.722,0.6,46.775,30.561
pga,2022,2022,RBC Canadian Open,32,"Rose, Justin",6093,T4,2,St. George's G&CC,772,70,1.016,-0.309,0.269,0.603,0.563,1.579,292.9,0.615,0.556,0.667,45.269,33.692
pga,2022,2022,RBC Canadian Open,32,"Rose, Justin",6093,T4,3,St. George's G&CC,772,67,2.713,-1.261,0.3,0.647,-0.313,2.4,296.4,0.769,0.667,0.636,76.375,27.341
pga,2022,2022,RBC Canadian Open,32,"Rose, Justin",6093,T4,4,St. George's G&CC,772,60,1.725,0.348,5.432,1.096,6.875,8.6,296.3,0.846,0.833,0.25,22.98,24.834
