"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"91","Aaron Cockerill",22969265,6400,61.19,41.22,2.2,69,22,0.3513,0.0013,0.0715,0.0356,0.0113,0.0043,0.0018,4e-04,48,0.0282,57,0.06,-0.07,-0.01,2,2022-06-12,"RBC Canadian Open"
"92","Sung Kang",22969266,6400,48.84,36.07,2.6,63.5,20.5,0.3916,0.0028,0.0988,0.0523,0.0184,0.0066,0.0031,6e-04,100,0.0031,18,0.09,-0.04,-0.01,3,2022-06-12,"RBC Canadian Open"
"93","Henrik Norlander",22969267,6400,48.32,49.36,2,75.5,24,0.4803,0.0048,0.1592,0.0913,0.034,0.0128,0.0064,0.0015,100,0.0136,17,0.23,0.1,0.01,2,2022-06-12,"RBC Canadian Open"
"94","Roger Sloan",22969268,6400,42.72,48.26,0.7,76,23.65,0.478,0.0027,0.1582,0.0912,0.0344,0.0123,0.0062,0.0013,100,0.0069,27,0.2,0.07,0.01,1,2022-06-12,"RBC Canadian Open"
"95","David Skinns",22969269,6400,47.94,44.74,0.51,73,22.5,0.4218,0.004,0.1163,0.063,0.0221,0.0076,0.0036,6e-04,64,0.002,51,0.09,-0.04,-0.01,0,2022-06-12,"RBC Canadian Open"
"96","Jason Dufner",22969270,6400,33.87,46.21,0.82,73.5,23.5,0.3628,0.0022,0.077,0.0387,0.0128,0.0041,0.0018,2e-04,100,0.0019,23.5,0.03,-0.1,-0.01,1,2022-06-12,"RBC Canadian Open"
"97","Robert Garrigus",22969271,6400,61.42,47.77,1.3,75.35,23.5,0.3397,0.0015,0.0706,0.036,0.0121,0.004,0.0018,5e-04,100,0.0168,15.5,0.08,-0.05,-0.01,1,2022-06-12,"RBC Canadian Open"
"98","Jim Knous",22969272,6300,46.43,42.06,0.42,70,22.5,0.3464,0.0022,0.0707,0.0367,0.0112,0.0033,0.0019,4e-04,25,0.001,73.5,0.06,-0.04,-0.01,0,2022-06-12,"RBC Canadian Open"
"99","Yi Cao",22969273,6300,0,25.34,0.02,53.21,13.94,0.2284,0.001,0.0268,0.0121,0.0032,7e-04,3e-04,0,100,7e-04,27,0,-0.1,-0.01,0,2022-06-12,"RBC Canadian Open"
"100","Tommy Gainey",22969274,6300,39.92,33.75,0.04,59.5,19.65,0.304,0.0013,0.0515,0.025,0.0079,0.0025,8e-04,0,100,6e-04,17,0,-0.1,-0.01,0,2022-06-12,"RBC Canadian Open"
"101","Mark Hensby",22969276,6300,56.5,31.09,0.53,54.5,18.5,0.2586,7e-04,0.0375,0.0168,0.0047,0.0013,5e-04,1e-04,100,0.0079,16.5,0.02,-0.08,-0.01,1,2022-06-12,"RBC Canadian Open"
"102","Max McGreevy",22969277,6300,46.81,41.44,1.1,70,22,0.4285,0.0036,0.121,0.0661,0.0236,0.0077,0.0036,7e-04,100,0.006,17,0.11,0.01,0,1,2022-06-12,"RBC Canadian Open"
"103","Scott Brown",22969278,6300,57.04,46.35,1.7,75,23.5,0.446,0.0039,0.1326,0.0738,0.0259,0.0092,0.0042,0.001,100,0.0099,16,0.16,0.06,0.01,2,2022-06-12,"RBC Canadian Open"
"104","Austin Cook",22969279,6300,41,35.22,0.19,62,20,0.3701,0.0021,0.0835,0.0429,0.014,0.0047,0.002,3e-04,13,0.001,87.5,0.05,-0.05,-0.01,0,2022-06-12,"RBC Canadian Open"
"105","David Hearn",22969283,6200,42.75,35.76,0.07,62.5,20.5,0.2434,6e-04,0.0287,0.0119,0.0032,7e-04,4e-04,1e-04,100,0.0021,24.5,0.02,-0.04,-0.01,0,2022-06-12,"RBC Canadian Open"
"106","Joshua Creel",22969284,6200,36.03,34.39,0.04,61,20,0.3062,0.0023,0.0517,0.0247,0.0076,0.0022,8e-04,1e-04,100,3e-04,22.5,0.02,-0.04,-0.01,0,2022-06-12,"RBC Canadian Open"
"107","Bo Van Pelt",22969285,6200,34.67,34.43,0.16,61,20,0.2464,0.0012,0.0312,0.0132,0.0034,0.001,3e-04,0,53,9e-04,65.5,0,-0.06,-0.01,0,2022-06-12,"RBC Canadian Open"
"108","Brett Drewitt",22969286,6200,45.4,40.67,0.03,69.5,22,0.3513,0.0013,0.0722,0.0362,0.011,0.0034,0.0015,3e-04,53,6e-04,51.5,0.05,-0.01,0,0,2022-06-12,"RBC Canadian Open"
"109","D.A. Points",22969287,6200,54.5,31.55,0.07,55,19,0.2198,4e-04,0.0253,0.0106,0.0027,6e-04,3e-04,0,100,0.0036,21,0,-0.06,-0.01,0,2022-06-12,"RBC Canadian Open"
"110","Jonas Blixt",22969288,6200,31.04,32.99,0.26,58.5,19.5,0.273,7e-04,0.0411,0.0193,0.0058,0.0019,9e-04,2e-04,28,0.0016,80.5,0.03,-0.03,0,0,2022-06-12,"RBC Canadian Open"
"111","Albin Choi",22969291,6200,58.56,25.3,0.08,53.13,13.91,0.3547,0.0019,0.0761,0.0393,0.013,0.0041,0.0018,5e-04,100,0.0082,13,0.08,0.02,0,0,2022-06-12,"RBC Canadian Open"
"112","Callum Davison",22969292,6100,0,25.61,0.01,53.77,14.08,0.0307,1e-04,3e-04,1e-04,0,0,0,0,100,0.001,12.5,0,-0.03,0,0,2022-06-12,"RBC Canadian Open"
"113","Max Sekulic",22969293,6100,0,25.44,0.01,53.42,13.99,0.0667,1e-04,0.0014,4e-04,1e-04,0,0,0,100,5e-04,15.5,0,-0.03,0,0,2022-06-12,"RBC Canadian Open"
"114","William Buhl",22969294,6100,0,25.48,0.01,53.51,14.01,0.134,3e-04,0.0098,0.0039,8e-04,2e-04,1e-04,0,100,2e-04,8.5,0,-0.03,0,0,2022-06-12,"RBC Canadian Open"
"115","Jim Herman",22969295,6100,44.07,43.44,0.18,71,22.5,0.4251,0.0023,0.1191,0.0642,0.0227,0.0083,0.0036,8e-04,100,0.0064,20,0.13,0.1,0.01,0,2022-06-12,"RBC Canadian Open"
"116","Brendan Leonard",22969296,6100,0,25.56,0.01,53.68,14.06,0.0358,0,4e-04,2e-04,0,0,0,0,100,5e-04,13,0,-0.03,0,0,2022-06-12,"RBC Canadian Open"
"117","Wes Heffernan",22969297,6100,0,25.21,0.01,52.95,13.87,0.2304,6e-04,0.0259,0.011,0.0026,7e-04,4e-04,1e-04,100,6e-04,24.5,0.02,-0.01,0,0,2022-06-12,"RBC Canadian Open"
"118","Seth Reeves",22969298,6100,46.24,40.46,0.35,69.5,22,0.4132,0.0025,0.115,0.061,0.0211,0.0072,0.0035,7e-04,100,0.0029,26,0.11,0.08,0.01,0,2022-06-12,"RBC Canadian Open"
"119","Martin Trainer",22969299,6100,44.59,32.17,0.51,57,19,0.4086,0.0025,0.1075,0.058,0.0213,0.0071,0.0031,6e-04,100,0.0101,22,0.1,0.07,0.01,1,2022-06-12,"RBC Canadian Open"
"120","Bo Hoag",22969301,6100,42.97,47.34,0.22,74,23,0.4039,0.0029,0.1026,0.0529,0.0169,0.0058,0.0026,7e-04,100,0.0025,16.5,0.11,0.08,0.01,0,2022-06-12,"RBC Canadian Open"
"121","Seung-Yul Noh",22969302,6100,45.75,39.99,0.13,68.5,22,0.4263,0.0037,0.1185,0.0639,0.0233,0.0086,0.0046,0.001,35,0.0042,68.5,0.16,0.13,0.02,0,2022-06-12,"RBC Canadian Open"
