Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3785202125,torjul (2/2),0,652.5,G Tyrrell Hatton G Tommy Fleetwood G Nick Taylor G Mark Hubbard G Doug Ghim G C.T. Pan,,Tyrrell Hatton,G,29.38%,114
2,3786726698,Tonyc0218 (7/20),0,651,G Tyrrell Hatton G Tommy Fleetwood G Nick Taylor G Aaron Rai G Brandon Wu G Dylan Wu,,Justin Rose,G,24.73%,96
3,3786337615,kcfan3305,0,646.5,G Justin Rose G Tommy Fleetwood G Nick Taylor G Aaron Rai G Brandon Wu G Mark Hubbard,,Rory McIlroy,G,20.19%,92
4,3784552394,Gwostbusters (2/20),0,641,G Tyrrell Hatton G Tommy Fleetwood G Nick Taylor G Eric Cole G C.T. Pan G Carson Young,,Sahith Theegala,G,20.18%,70
4,3786726699,Tonyc0218 (8/20),0,641,G Tyrrell Hatton G Tommy Fleetwood G Nick Taylor G Eric Cole G C.T. Pan G Carson Young,,Mark Hubbard,G,18.81%,96
6,3784342828,ttillie (20/20),0,636.5,G Tyrrell Hatton G Justin Rose G Nick Taylor G Eric Cole G C.T. Pan G Dylan Wu,,Eric Cole,G,17.60%,105
7,3786390640,19texan55 (5/5),0,632.5,G Tyrrell Hatton G Justin Rose G Nick Taylor G Will Gordon G Mark Hubbard G C.T. Pan,,Matt Fitzpatrick,G,17.50%,74.5
8,3786628219,fire13yates (2/2),0,632,G Tyrrell Hatton G Shane Lowry G Nick Taylor G Eric Cole G Mark Hubbard G C.T. Pan,,Cameron Young,G,17.49%,57
9,3785585709,DeepSeaMike (5/20),0,631.5,G Tyrrell Hatton G Tommy Fleetwood G Eric Cole G Aaron Rai G Will Gordon G Mark Hubbard,,Shane Lowry,G,16.51%,78
9,3785842589,kaysizzle (5/20),0,631.5,G Tyrrell Hatton G Tommy Fleetwood G Eric Cole G Aaron Rai G Will Gordon G Mark Hubbard,,Tommy Fleetwood,G,16.39%,112
11,3786531322,Wood334 (3/20),0,626,G Tyrrell Hatton G Tommy Fleetwood G Nick Taylor G Eric Cole G Mark Hubbard G MJ Daffue,,Adrian Meronk,G,15.71%,28.5
12,3784552399,Gwostbusters (7/20),0,623,G Tyrrell Hatton G Tommy Fleetwood G Nick Taylor G Michael Kim G C.T. Pan G Andrew Novak,,Carson Young,G,14.18%,71
13,3785084181,ozzieowen (1/20),0,622.5,G Justin Rose G Matt Kuchar G Nick Taylor G Eric Cole G Aaron Rai G Brandon Wu,,Corey Conners,G,13.70%,76.5
14,3785148552,jmilkie (5/20),0,621,G Tyrrell Hatton G Shane Lowry G Nick Taylor G Aaron Rai G Will Gordon G Mark Hubbard,,Sam Burns,G,12.84%,27.5
15,3784342825,ttillie (17/20),0,619,G Tyrrell Hatton G Justin Rose G Nick Taylor G Brandon Wu G C.T. Pan G Austin Smotherman,,Michael Kim,G,12.65%,70.5
15,3786531321,Wood334 (2/20),0,619,G Tyrrell Hatton G Tommy Fleetwood G Nick Taylor G Brandon Wu G Mark Hubbard G Seonghyeon Kim,,Akshay Bhatia,G,12.35%,57.5
17,3785993870,dpoehr07 (6/20),0,616.5,G Tommy Fleetwood G Cameron Young G Nick Taylor G Eric Cole G Aaron Rai G Brandon Wu,,Nick Taylor,G,12.10%,128.5
18,3784352030,IAMDMS (17/20),0,616,G Tyrrell Hatton G Tommy Fleetwood G Eric Cole G Aaron Rai G Brandon Wu G Carson Young,,Nicolai Hojgaard,G,11.90%,24
19,3784816675,TDBrennan5 (3/5),0,615.5,G Justin Rose G Tommy Fleetwood G Nick Taylor G Harry Hall G Aaron Rai G Will Gordon,,Ben Martin,G,11.58%,22.5
