"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"1","Rory McIlroy",28225668,11500,78.96,86.62,29.3,122,68,90.1,10.5,100.5,0.62,35.78,0.227,61,0.291,9,0.766,8,0.927,3,2.21,5,23.943,2,-0.039,321,2.159,34,-0.005,-0.085,-0.039,0.18,-0.04,0,0,0,0,2.17,0.8879,0.6815,0.5192,0.3704,0.1318,11.46,0.46,32.54,93.56,2.78,12.74,0,40,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"2","Sam Burns",28225669,10500,63.94,70.52,15.7,88,50.15,79.4,6.5,85.9,0.21,23.96,0.52,7,0.124,71,0.285,62,0.465,32,1.394,18,11.356,36,-0.02,267,1.21,26,0.021,0.077,-0.021,0.108,-0.04,0,0,0,0,1.354,0.8051,0.4902,0.3226,0.1992,0.0512,4.88,-1.95,19.83,78.21,1.98,7.93,0,30,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"3","Tyrrell Hatton",28225670,10200,80.07,81.79,25.1,99.5,64.5,84.2,8.2,92.4,0.73,26.2,0.462,13,0.23,29,0.553,24,0.555,17,1.8,7,6.995,81,0.021,120,1.778,31,0.004,0.004,-0.044,0.059,-0.04,0,0,0,0,1.76,0.8487,0.5851,0.4098,0.2674,0.0778,7.63,1.81,25.65,87.1,2.59,12.56,0,40,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"4","Matt Fitzpatrick",28225671,9900,64.54,76.03,16.5,92.5,60,80.2,7,87.2,0.55,21.41,0.415,19,0.263,18,0.401,42,0.444,36,1.522,12,8.383,68,0,188,1.46,28,0.014,-0.008,-0.012,0.069,-0.04,0,0,0,0,1.482,0.8192,0.5146,0.3378,0.2079,0.0534,5.39,0.49,18.95,81.62,2.32,10.69,0,40,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"5","Corey Conners",28225672,9800,66.12,73.28,17.9,89.5,57,74.5,5.3,79.8,0.16,15.83,-0.029,207,-0.05,220,0.576,21,0.599,9,1.097,29,1.283,181,0.057,43,1.088,31,0.004,-0.053,-0.001,0.058,-0.04,0,0,0,0,1.057,0.7561,0.4016,0.2387,0.1326,0.0284,2.9,-1.72,16.86,76.54,1.21,4.58,0,20,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"6","Justin Rose",28225673,9700,71.32,73.92,23.2,90,58.5,74.7,5.3,80.1,0.22,22.46,0.335,28,0.136,65,0.551,25,0.05,130,1.072,30,0.132,202,0.029,99,1.313,42,-0.037,-0.071,0.086,-0.22,-0.04,0,0,0,0,1.032,0.7549,0.4,0.2427,0.1391,0.0302,3.11,-1.24,22.83,77.01,1.93,8.06,0,30,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"7","Tommy Fleetwood",28225674,9600,68.41,79.98,18.7,97,63.5,75.8,5.6,81.4,0.35,19.22,0.228,60,0.285,11,0.438,36,0.25,71,1.202,26,3.086,149,0.017,137,1.19,32,0.001,-0.031,-0.032,0.073,-0.04,0,0,0,0,1.162,0.7748,0.4219,0.2584,0.1464,0.0324,3.38,-0.71,18.96,80.69,2.03,8.78,0,30,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"8","Shane Lowry",28225675,9400,62.13,69.05,19.3,86,34.65,75.4,5.5,80.8,0.41,19.68,-0.109,260,0.081,105,0.699,10,0.456,34,1.128,28,4.094,128,0.035,86,0.979,36,-0.013,-0.002,-0.014,0.177,-0.04,0,0,0,0,1.088,0.7738,0.4184,0.2538,0.1462,0.0328,3.49,-0.11,19.49,74.92,1.45,6.47,0,25,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"9","Cameron Young",28225676,9300,70.5,68.23,26.6,85.85,29.5,82.4,7.6,90,1,25.22,-0.034,213,0.068,113,0.683,14,0.915,4,1.632,9,20.862,6,-0.023,278,1.209,26,0.024,0.095,0.025,0.28,-0.04,0,0,0,0,1.592,0.8347,0.5495,0.3788,0.2415,0.071,7.63,4.26,25.91,79.12,1.73,9.91,0,40,1,2023-06-07,"2023-06-07 RBC Canadian Open"
"10","Sahith Theegala",28225677,9200,75.39,66.58,8.2,85.5,29,73.2,4.9,78,0.33,16.24,0.414,20,0.222,31,0.374,45,-0.06,167,0.951,38,6.623,90,-0.045,334,0.96,25,0.026,0.064,-0.006,-0.094,-0.04,0,0,0,0,0.911,0.7429,0.3745,0.2183,0.1196,0.0265,2.88,-0.27,12.22,72.29,1.71,7.56,0,20,1,2023-06-07,"2023-06-07 RBC Canadian Open"
