player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Finau, Tony",150,1.518,33,-0.004,-0.039,0.028,0.128,0.017,-0.022,0.002,-0.069,-0.088,1.561,2.578,"Rocket Mortgage Classic","Detroit Golf Club"
"Fowler, Rickie",150,1.649,34,-0.007,0.021,0.034,-0.064,0.012,-0.021,0.002,-0.094,-0.113,1.533,2.604,"Rocket Mortgage Classic","Detroit Golf Club"
"Morikawa, Collin",150,1.542,26,0.023,-0.038,-0.004,0.003,-0.049,-0.002,0.008,-0.053,-0.047,1.429,2.636,"Rocket Mortgage Classic","Detroit Golf Club"
"Im, Sungjae",150,1.256,25,0.027,0.008,0.047,0.067,0.022,-0.001,0.005,-0.073,-0.069,1.358,2.629,"Rocket Mortgage Classic","Detroit Golf Club"
"Matsuyama, Hideki",150,1.343,31,0.005,-0.034,-0.013,0.064,-0.005,-0.000,0.003,-0.069,-0.066,1.294,2.622,"Rocket Mortgage Classic","Detroit Golf Club"
"Homa, Max",150,1.265,32,0.000,0.062,0.012,-0.072,0.017,-0.013,0.002,-0.076,-0.088,1.196,2.602,"Rocket Mortgage Classic","Detroit Golf Club"
"Thomas, Justin",150,1.101,30,0.009,0.067,0.022,0.081,-0.049,-0.022,-0.002,-0.064,-0.088,1.143,2.620,"Rocket Mortgage Classic","Detroit Golf Club"
"Kim, Tom",150,0.976,21,0.042,-0.018,-0.006,0.078,0.016,0.003,0.007,-0.041,-0.031,1.056,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Bradley, Keegan",150,1.314,37,-0.016,-0.058,0.006,-0.132,0.012,-0.012,0.002,-0.061,-0.072,1.055,2.642,"Rocket Mortgage Classic","Detroit Golf Club"
"An, Byeong Hun",150,0.625,31,0.003,0.043,-0.017,0.338,-0.013,-0.045,-0.005,-0.021,-0.071,0.909,2.626,"Rocket Mortgage Classic","Detroit Golf Club"
"Jaeger, Stephan",150,0.562,34,-0.005,0.059,0.007,0.222,0.033,-0.013,-0.001,-0.033,-0.047,0.831,2.600,"Rocket Mortgage Classic","Detroit Golf Club"
