player_name,sample_size,school,dg_rank,dg_change,wagr_rank,wagr_change,dg_index
"Jonsson, Tobias",115,"mercer",53,1,54,4,0.5746185385460539
"Gough, John",150,"—",54,4,12,0,0.55250682520806
"Fioroni, Caden",132,"unlv",55,7,43,4,0.5276822162708771
"Forrester, Bartley",150,"georgia tech",56,5,37,6,0.52212497055113
"Lyerly, Nicholas",150,"uncg",57,7,81,5,0.49841886758787995
"Lewis, Riley",150,"loyola marymount univ.",58,25,126,30,0.492179161463841
"Kennedy, Max",150,"louisville",59,7,97,7,0.475610160049491
"Van Paris, Jackson",150,"vanderbilt",60,34,60,63,0.46938231419007004
"Lee, Eric",56,"—",61,-2,99,-4,0.45672565393783704
"Goff, Alex",150,"kentucky",62,5,129,8,0.453712143214256
"Summy, Jase",89,"oklahoma",63,42,138,21,0.422051849634714
"Williams, Mason",150,"georgia southern",64,5,63,5,0.421976210986147
"Costanza, Mark",64,"—",65,5,130,4,0.417282962686446
"Lorenz, Ben",117,"oklahoma",66,2,40,-2,0.405612020525427
"Sugiura, Yuta",148,"—",67,4,19,1,0.39196135869196996
"Scott, Calum",150,"texas tech",68,4,38,7,0.37829009518152795
"Okada, Kohei",78,"—",69,4,23,1,0.376736793165529
"Isley, Walker",59,"uncw",70,7,167,33,0.374905755109469
"Bale, Jonathan",21,"—",71,0,798,0,0.359560668889695
"Johnston, Ryggs",150,"arizona state",72,2,98,7,0.3562545077296261
"Bigham, Jack",75,"florida state",73,3,139,8,0.341034475293054
"Cho, Wooyoung",131,"—",74,6,103,8,0.330433902733251
"Guan, Henry",76,"—",75,32,435,33,0.308601093092911
"Song, Minhyuk",68,"—",76,2,181,10,0.308070782169084
"Valdes, Brendan",150,"auburn",77,-17,84,-5,0.30728410667180894
"Alexander Mjaaseth, Michael",145,"arizona state",78,3,45,5,0.30541542028725605
"Bleier, Christoph",150,"colorado state",79,6,113,8,0.299797325461908
"Kim, Bryan",59,"—",80,-5,478,0,0.291197592272867
"Rodrigues, Daniel",150,"texas a&m",81,6,83,6,0.287527014623711
"Leng, Jay",36,"—",82,11,436,-15,0.286673041683815
"Vogelsong, Alexander",150,"auburn",83,3,119,7,0.28199359411657104
"Chantananuwat, Ratchanon TK",130,"—",84,0,29,1,0.274585526306328
"Perico, Julian",150,"arkansas",85,3,125,7,0.273249439892953
"Higgins, Robbie",114,"north florida",86,15,96,7,0.27280622710180896
"Kobori, Kazuma",150,"—",87,-5,58,-1,0.269593083660118
"Gray, Bret",75,"sam houston",88,45,271,68,0.25670941746444503
"Lague, Shea",87,"san diego state",89,-10,143,-3,0.24429583708486602
"Bryant, Davis",150,"colorado state",90,30,124,22,0.24410933347656302
"Stout, Preston",51,"—",91,9,178,11,0.23384333034329802
"Kim, Carson",34,"—",92,11,702,13,0.23135189121071
"Hansson, Albert",54,"—",93,-1,35,-2,0.223677573088779
"Siebers, Ian",150,"duke",94,-4,122,5,0.22309972665750302
"Paysse, William",137,"texas a&m",95,0,101,7,0.205622505353087
"Wiedemeyer, Tim",54,"—",96,0,149,11,0.204780425686142
"Pounds, Aaron",54,"—",97,7,353,16,0.19924621765915698
"Houk, John",67,"chattanooga",98,0,242,9,0.193997344056797
"Bovari, Pietro",150,"virginia",99,-2,72,4,0.19121122541766
"Jones, Connor",150,"colorado state",100,-1,78,2,0.18297368173287998
"Hruby, Petr",150,"washington",101,9,95,7,0.16986397335234998
"Logan, Hunter",150,"mississippi state",102,4,112,4,0.154839123524759
"Fountain, Peter",150,"north carolina",103,5,85,5,0.136529564252051
"Ponder, Thomas",150,"alabama",104,-13,105,-4,0.119745960522895
"Kennedy, Frank",62,"—",105,4,65,7,0.114855544482853
"Barber, Garrett",150,"lsu",106,5,127,4,0.10902503627686
"Chinn, Kelly",150,"duke",107,5,77,5,0.0843248938721279
"Chuan-tai, Lin",150,"washington",108,38,118,18,0.0729864117686732
"Gifford, Luke",150,"pepperdine",109,6,177,5,0.0708337642397696
"Shipley, Neal",150,"ohio state university",110,82,247,119,0.0282751129250083
"Maybank III, PJ",58,"—",111,16,673,23,0.0246984012956597
"Barcos Garbayo, Javier",150,"utah",112,5,117,8,0.0227526363839265
"Endicott, Garrett",83,"mississippi state",113,-11,213,-14,0.0220118318804756
"Yanagi, Pono",36,"washington state",114,2,453,9,0.0166840062556117
"Van Wyk, Ben",145,"georgia",115,3,76,5,0.0119970468508392
"DuBois, John",150,"florida",116,5,111,7,-0.0028955359069051697
"Tilley, Bradford",69,"—",117,5,160,9,-0.00531111999758815
"De la Fuente, Santiago",143,"houston",118,11,191,12,-0.0117174050576088
"Ideriha, Taichiro",101,"—",119,-5,74,-7,-0.0128673978339275
"Frimodt, Gustav",150,"tcu",120,6,61,5,-0.0201220588951849
"Wyk, Kieron Van",150,"college of charleston",121,37,88,6,-0.0205785814635258
"Leach, Greyson",87,"oregon",122,3,226,10,-0.0220033225189549
"Skogen, Bard Bjornevik",150,"—",123,1,75,3,-0.0239064247012637
"Moss, Sebastian",150,"louisville",124,71,221,106,-0.0278026687164985
"Stamper, Owen",30,"middle tennessee st.",125,3,144,8,-0.0349583778121896
"Masaveu, Luis",130,"—",126,6,59,5,-0.0406890300121865
"Varman, Khavish",150,"uab",127,9,344,11,-0.052566365197722
"Stember, Nate",150,"oregon",128,9,218,14,-0.0530646791517682
"Doyle, Drew",150,"lsu",129,22,121,7,-0.0579873591711455
"Crockett, Charlie",130,"missouri",130,8,176,8,-0.064822164197615
"Creasy, Connor",150,"georgia",131,4,210,10,-0.06629176327883401
"Mcclear, Mac",143,"iowa",132,-1,107,2,-0.067503954556138
"McDermott, Dylan",128,"colorado",133,1,195,13,-0.0698028951750214
"Cassidy, Nicolas",150,"georgia",134,6,152,9,-0.0742771602036285
"Brumlow, Buck",70,"georgia",135,6,197,9,-0.0777838741594166
"Islas, Jose Cristobal",85,"—",136,9,104,9,-0.0785930297826996
"Van Der Vight, Lars",85,"—",137,7,92,5,-0.0803485485180762
"Tai, Hiroshi",135,"georgia tech",138,5,69,4,-0.0872596865462549
"Snyders, Tyran",106,"texas tech",139,8,94,4,-0.0907721410470401
"Morrison, Tommy",150,"—",140,9,192,12,-0.0922131453814043
"Clegg, Ford",150,"mississippi state",141,9,187,9,-0.10295048668454901
"Claridge, James",45,"—",142,12,254,4,-0.11209599448667401
"Campbell Jr, Stephen",150,"oklahoma",143,-20,147,-5,-0.11332700281651101
"Ayora, Angel",84,"—",144,11,106,9,-0.116930529762346
"Deraney, Joe",150,"—",145,12,268,6,-0.119581619387783
"Mays, Michael",51,"florida state",146,7,391,19,-0.121272866072377
"Fang, Ethan",108,"—",147,20,540,59,-0.126873957129384
"Rank, Garrett",150,"—",148,0,348,-7,-0.130202789133747
"Guan, Jeffrey",138,"—",149,3,57,6,-0.13053938286502498
"Goecke, Tyler",150,"wright state",150,55,220,41,-0.135425559833724
"Jakubcik, Filip",110,"arizona",151,-9,164,-20,-0.13745762290802302
"Love, William",142,"duke",152,35,161,22,-0.138167555801866
"Jones, Zac",79,"brigham young",153,49,228,34,-0.14358872072480702
"Lundin, Jack",122,"missouri",154,12,225,14,-0.14472894276652698
"Power, Mark",150,"wake forest",155,4,102,5,-0.14505157753252804
"Smith, Garrison",85,"new mexico state",156,7,573,13,-0.14601968299428197
"Warian, Ben",113,"minnesota",157,4,407,23,-0.15080787331167
"Petronzio, Nathan",143,"smu",158,4,93,3,-0.15899893657529
"Gao, Ethan",95,"—",159,10,564,17,-0.16032821893857502
"Williams, Wells",87,"—",160,-47,115,-15,-0.16983929743815698
"Vongchaisit, Sarut",150,"ole miss",161,3,145,8,-0.172909776742022
"McCoy, Nate",39,"—",162,44,273,53,-0.17382723890021698
"Ruiter, Nevill",60,"college of charleston",163,-3,89,4,-0.1771307023522
"Jackson, Palmer",150,"notre dame",164,-25,66,-1,-0.180908302408255
"Maguire, Alex",128,"florida atlantic",165,3,246,7,-0.186594106788097
"Hunt, Piercen",150,"illinois",166,20,207,16,-0.191786016881397
"Hastings, Justin",110,"san diego state",167,13,214,14,-0.191980890864882
"Botha, Barend",113,"toledo",168,5,241,11,-0.197642012072095
"Gross, Nicholas",124,"—",169,-4,375,3,-0.20176183039711199
"Claxton, Parker",28,"—",170,2,292,9,-0.21515931253833603
"Ford, Ryan",24,"—",171,-1,134,7,-0.21837079549347402
"Sato, Kaito",29,"—",172,-1,157,11,-0.223658240008815
"Ng, Ethan",150,"stanford",173,5,217,13,-0.234365723366825
"Ford, Jayden",150,"—",174,2,180,12,-0.236063443584392
"Wilkes, Tyler",150,"florida",175,4,238,12,-0.23791384792541898
"Patel, Deven",144,"virginia",176,23,204,21,-0.243391473265124
"Holbrook, Jake",75,"oklahoma",177,31,190,24,-0.244705472147893
"Manganello, Matthew",48,"fresno state",178,4,604,13,-0.249349290068754
"Lee, Bryan",102,"—",179,2,265,8,-0.253570945363421
"Xu, Andi",150,"san diego",180,9,279,6,-0.25880035710541
"Dull, Marc",112,"—",181,10,568,-17,-0.26123515938854797
"Hopkins, Will",150,"kansas state",182,3,305,11,-0.262260730534918
"Bo, Jin",150,"oklahoma state",183,1,79,5,-0.26585909428888
"Swanson, Andrew",61,"clemson",184,-1,227,11,-0.266010024427382
"Travale, Johnny",150,"ucf",185,5,148,6,-0.26998949998547894
"Griz, Jonathan",150,"alabama",186,2,202,13,-0.27092166972114606
"Bennett, Daniel",90,"—",187,7,438,16,-0.299653394040722
