player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Molinari, Francesco",-0.085,241,-0.026,199,-0.065,170,-0.254,253,-0.429,196,-6.524,327,0.020,124
"Jamieson, Scott",0.354,28,-0.003,177,-0.737,373,-0.043,160,-0.430,197,1.148,181,-0.033,304
"Guerrier, Julien",0.219,66,-0.202,345,-0.397,292,-0.053,164,-0.433,198,3.394,140,-0.040,330
"Cink, Stewart",-0.109,258,0.004,168,-0.136,198,-0.196,222,-0.437,199,4.132,125,-0.034,311
"Chappell, Kevin",-0.169,304,-0.056,221,-0.234,237,0.020,139,-0.439,200,5.011,106,-0.043,338
"Larrazabal, Pablo",0.087,115,0.058,117,-0.204,228,-0.379,294,-0.439,201,-5.782,315,-0.044,340
"Jones, Matt",-0.365,394,0.129,68,-0.166,213,-0.039,157,-0.441,202,2.305,168,-0.027,292
"Ferguson, Ewen",-0.148,289,-0.314,402,0.138,103,-0.117,188,-0.441,203,-3.844,274,0.033,90
"Siem, Marcel",-0.202,322,-0.151,303,-0.057,166,-0.050,161,-0.459,204,0.338,198,-0.012,242
"Dahmen, Joel",-0.372,398,-0.020,196,-0.013,152,-0.059,167,-0.464,205,-4.651,298,0.042,69
"Molinari, Edoardo",-0.507,419,-0.099,255,0.085,116,0.057,126,-0.464,206,-7.932,340,0.066,29
"Zanotti, Fabrizio",-0.405,408,0.010,160,-0.181,219,0.107,109,-0.468,207,-4.579,297,0.070,24
"Johnson, Zach",-0.080,235,0.033,137,-0.157,208,-0.265,256,-0.469,208,-9.578,357,0.058,41
"Schwartzel, Charl",-0.125,276,0.083,97,-0.085,177,-0.348,277,-0.475,209,1.916,173,-0.040,329
"Canter, Laurie",-0.204,324,-0.295,394,-0.047,161,0.070,119,-0.477,210,4.959,109,0.002,187
"Wiesberger, Bernd",-0.547,423,0.061,115,0.206,76,-0.216,230,-0.496,211,-0.812,216,0.011,160
"Goya, Estanislao",-0.121,271,0.028,144,-0.323,264,-0.087,179,-0.503,212,2.543,161,-0.006,216
"Forrest, Grant",0.057,142,-0.152,306,-0.180,218,-0.233,243,-0.508,213,11.022,36,-0.077,402
"Lawrence, Thriston",-0.033,197,-0.172,323,-0.148,200,-0.163,208,-0.516,214,-2.438,252,0.007,169
"Hahn, James",-0.309,377,-0.159,309,-0.188,220,0.128,103,-0.527,215,-2.018,241,0.035,86
"Mansell, Richard",-0.185,314,-0.265,381,0.058,123,-0.136,196,-0.527,216,9.454,54,-0.046,345
"Byrd, Jonathan",-0.121,270,0.232,27,-0.203,227,-0.439,314,-0.530,217,-9.336,351,-0.002,203
"Valimaki, Sami",0.099,109,-0.255,375,-0.264,246,-0.116,186,-0.536,218,1.816,174,-0.012,240
"Whaley, Vince",0.056,144,0.054,122,-0.429,312,-0.226,236,-0.546,219,5.968,94,-0.072,395
"Syme, Connor",0.068,130,-0.311,399,-0.299,257,-0.006,149,-0.549,220,-2.216,246,0.010,163
"Jordan, Matthew",-0.055,214,0.095,85,-0.371,283,-0.218,233,-0.549,221,4.396,120,-0.013,249
"Noh, Seung-Yul",0.277,46,0.079,101,-0.228,233,-0.678,363,-0.549,222,4.061,127,-0.082,409
"Yuan, Yechun",-0.168,303,-0.138,292,-0.309,261,0.062,124,-0.553,223,10.299,45,-0.051,358
"Nienaber, Wilco",-0.370,395,-0.264,380,-0.219,232,0.299,64,-0.554,224,25.848,2,-0.105,421
"Grant, Brent",-0.559,425,-0.349,405,-0.193,222,0.547,15,-0.555,225,13.288,25,0.021,122
"Du Plessis, Hennie",-0.222,340,-0.228,358,-0.331,270,0.220,84,-0.561,226,8.889,58,-0.032,303
"Ramsay, Richie",-0.063,220,-0.171,321,-0.151,204,-0.182,217,-0.568,227,-10.264,365,0.041,71
"Griffin, Lanto",-0.082,237,-0.211,352,-0.209,230,-0.067,171,-0.570,228,2.500,162,0.008,168
"Waring, Paul",-0.336,388,-0.218,353,-0.079,174,0.060,125,-0.573,229,3.101,148,-0.016,257
"Korhonen, Mikko",-0.233,344,-0.095,248,-0.040,158,-0.206,226,-0.574,230,-7.151,332,0.067,27
"O'Hair, Sean",-0.124,273,0.069,110,-0.257,243,-0.265,257,-0.577,231,-3.224,261,0.016,143
"Crocker, Sean",-0.139,281,-0.521,427,-0.036,157,0.119,105,-0.578,232,11.010,37,-0.036,318
"Endycott, Harrison",0.031,160,0.032,138,-0.393,291,-0.257,254,-0.587,233,-5.111,309,0.019,128
"Long, Adam",0.192,74,0.077,104,-0.390,290,-0.484,326,-0.605,234,-10.665,371,0.066,28
"Helligkilde, Marcus",-0.061,219,-0.013,184,-0.361,280,-0.174,215,-0.610,235,5.901,95,-0.050,353
"Echavarria, Nicolas",0.018,169,-0.125,281,-0.411,304,-0.093,181,-0.612,236,0.310,199,-0.006,217
"Donald, Luke",0.078,124,0.118,74,-0.102,181,-0.710,372,-0.615,237,-14.502,397,0.002,186
"Gerard, Ryan",-0.218,337,-0.116,269,-0.166,212,-0.119,189,-0.619,238,-2.244,249,0.004,182
"Seiffert, Chase",-0.263,357,-0.081,238,-0.154,207,-0.136,195,-0.634,239,-9.548,355,0.032,94
"Malnati, Peter",0.311,38,0.199,39,-0.379,286,-0.771,383,-0.641,240,-2.993,256,-0.070,390
"Norlander, Henrik",-0.326,385,0.045,132,-0.076,173,-0.286,260,-0.644,241,-9.212,350,0.026,108
"Streb, Robert",-0.321,383,0.055,120,-0.269,250,-0.115,184,-0.648,242,-1.955,240,-0.034,308
"Laird, Martin",-0.291,372,0.006,164,-0.063,168,-0.302,263,-0.650,243,-6.339,325,0.050,53
"Westwood, Lee",-0.204,325,-0.118,271,-0.271,251,-0.068,172,-0.661,244,-4.244,286,0.002,188
"Samooja, Kalle",-0.105,255,-0.124,275,-0.233,236,-0.205,225,-0.667,245,0.168,201,-0.006,214
"Garnett, Brice",0.083,117,0.054,121,-0.413,305,-0.392,300,-0.668,246,-10.211,364,0.051,50
"Shinkwin, Callum",-0.114,264,-0.438,418,-0.448,316,0.332,56,-0.668,247,10.490,42,-0.057,366
"Green, Gavin",0.531,9,-0.141,295,-0.359,277,-0.702,369,-0.671,248,4.061,128,-0.081,406
"Stroud, Chris",-0.198,319,-0.097,252,-0.159,209,-0.251,252,-0.705,249,-7.505,335,0.019,130
"Higgs, Harry",0.229,59,0.139,62,-0.582,346,-0.497,328,-0.710,250,1.102,182,-0.074,398
"Sloan, Roger",-0.015,188,-0.024,198,-0.334,271,-0.360,284,-0.733,251,-6.943,331,-0.021,275
"Huh, John",-0.124,274,0.048,130,-0.309,260,-0.355,280,-0.740,252,-9.473,354,0.023,116
"Aphibarnrat, Kiradech",0.053,146,-0.160,310,-0.407,301,-0.232,242,-0.746,253,-4.329,289,0.005,181
"Long, Hurly",-0.101,253,-0.051,216,-0.129,194,-0.483,325,-0.765,254,-2.110,243,-0.060,373
"Janewattananond, Jazz",0.216,68,-0.094,247,-0.513,330,-0.374,292,-0.765,255,-6.030,321,0.025,110
"Gribble, Cody",-0.066,223,-0.150,302,-0.415,306,-0.138,198,-0.767,256,2.382,164,0.005,180
