player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Thomas Morstead,5088,P,NYJ,9,52,52,4.42,42.15,48.9,12.3,0,0,4,18,22,78.2,20,62,4,0,42.3,271,22,52,229.79,2192,4,2543
Bryan Anger,7072,P,DAL,9,25,25,4.5,44.76,49.84,8.2,0,0,2,8,9,79.0,10,57,1,0,52.0,107,13,25,112.59,1119,1,1246
Johnny Hekker,7252,P,CAR,9,41,41,4.31,43.76,47.12,6.6,0,1,6,14,5,56.2,16,69,2,1,43.9,118,18,41,176.86,1794,1,1932
Sam Martin,7947,P,BUF,10,27,27,4.2,38.67,45.89,11.9,0,0,2,7,4,71.2,9,70,3,0,48.1,155,13,27,113.44,1044,2,1239
Brad Wing,8256,P,PIT,2,11,11,4.48,38.91,45.0,6.8,0,0,0,4,25,58.9,3,52,1,0,36.4,27,4,11,49.3,428,2,495
Tress Way,8358,P,WAS,10,47,47,4.42,42.23,47.53,8.7,0,0,6,15,32,56.3,19,66,0,0,51.1,209,24,47,207.53,1985,2,2234
Bradley Pinion,9598,P,ATL,10,44,44,4.5,41.3,47.84,13.1,0,0,2,13,2,90.1,16,62,8,0,43.2,248,19,44,198.17,1817,2,2105
Riley Dixon,10862,P,DEN,9,35,35,4.29,40.46,44.46,5.9,0,0,3,10,10,61.2,11,63,3,0,48.6,100,17,35,150.0,1416,2,1556
Rigoberto Sanchez,12130,P,IND,10,45,45,4.25,41.47,47.16,10.7,0,0,8,8,14,63.5,20,69,5,0,53.3,256,24,45,191.05,1866,0,2122
Cameron Johnston,12255,P,HST,5,24,24,4.33,42.88,45.88,6.5,0,0,4,10,13,68.6,11,74,1,0,33.3,52,8,24,103.84,1029,1,1101
Corey Bojorquez,27626,P,CLV,9,44,44,4.26,43.32,50.27,10.3,0,0,3,8,8,74.7,16,73,7,0,50.0,226,22,44,187.57,1906,4,2212
Logan Cooke,29214,P,JAX,9,37,37,4.3,44.14,48.46,6.2,0,0,4,11,15,76.7,21,62,5,0,35.1,80,13,37,158.94,1633,4,1793
Tommy Townsend,33007,P,KC,9,29,29,4.55,43.21,48.14,11.4,0,0,6,11,16,67.4,11,68,1,0,31.0,103,9,29,131.98,1253,2,1396
Jake Bailey,33963,P,MIA,9,27,27,4.61,42.15,45.48,6.3,0,0,3,10,17,76.5,9,63,4,0,29.6,50,8,27,124.6,1138,2,1228
Jack Fox,34735,P,DET,9,28,28,4.58,41.93,44.93,6.4,0,0,5,11,11,68.9,18,62,1,0,35.7,64,10,28,128.24,1174,1,1258
Michael Dickson,35381,P,SEA,9,35,35,4.37,43.77,49.37,6.0,0,0,7,5,29,66.7,15,73,2,0,45.7,96,16,35,152.99,1532,5,1728
AJ Cole,36038,P,LV,10,37,37,4.36,47.05,51.78,7.3,0,0,2,13,23,90.4,20,70,5,0,35.1,95,13,37,161.21,1741,4,1916
JK Scott,38809,P,LAC,9,38,38,4.72,40.08,44.05,10.1,0,0,6,17,27,67.3,14,65,2,0,28.9,111,11,38,179.3,1523,2,1674
Mitch Wishnowsky,44663,P,SF,9,28,28,4.41,44.36,48.5,8.0,0,0,6,7,28,75.9,17,67,2,0,42.9,96,12,28,123.57,1242,1,1358
Braden Mann,44664,P,PHI,7,15,15,4.37,42.53,48.13,12.8,0,0,4,4,24,65.7,6,59,1,0,33.3,64,5,15,65.52,638,1,722
Nolan Cooney,44995,P,ARZ,4,13,13,4.56,40.31,45.54,6.9,0,0,1,3,1,58.4,2,56,1,0,53.8,48,7,13,59.26,524,1,592
Blake Gillikin,45045,P,ARZ,6,28,28,4.29,41.46,50.57,12.1,0,0,3,3,1,65.0,5,66,1,0,75.0,255,21,28,120.18,1161,0,1416
Ryan Stonehouse,52045,P,TEN,9,38,38,4.21,44.03,52.76,11.8,0,0,3,4,31,71.9,21,74,7,0,47.4,212,18,38,159.98,1673,6,2005
Daniel Whelan,57639,P,GB,9,37,37,4.53,38.7,47.54,13.7,0,0,1,14,12,70.4,10,68,0,0,48.6,247,18,37,167.54,1432,4,1759
Jordan Stout,57649,P,BLT,10,40,40,4.27,41.0,48.93,13.5,1,0,3,12,3,72.4,20,67,3,0,47.5,257,19,41,170.97,1640,3,1957
Bryce Baringer,60274,P,NE,10,50,50,4.29,41.94,48.16,9.2,0,0,2,12,19,66.8,24,79,8,0,46.0,211,23,50,214.4,2097,5,2408
Brad Robbins,60291,P,CIN,9,43,43,4.3,40.51,44.95,8.2,0,0,1,17,7,61.4,13,62,6,0,37.2,131,16,43,184.97,1742,3,1933
Trenton Gill,60295,P,CHI,10,37,37,4.35,36.68,45.7,14.7,0,0,6,6,6,63.3,12,62,3,0,54.1,294,20,37,160.94,1357,2,1691
Pressley Harvin III,62973,P,PIT,7,39,39,4.42,41.49,46.05,9.2,0,0,7,8,25,59.8,18,63,7,0,38.5,138,15,39,172.45,1618,2,1796
Jamie Gillan,63303,P,NYG,10,57,57,4.21,43.82,46.98,6.7,0,0,8,20,21,63.5,22,64,6,0,36.8,140,21,57,239.7,2498,2,2678
Ryan Wright,77591,P,MIN,10,33,33,4.39,42.15,48.42,9.1,0,0,2,9,18,64.9,10,63,4,0,42.4,127,14,33,144.99,1391,4,1598
Arryn Siposs,82019,P,PHI,2,8,8,4.32,38.38,43.38,8.0,0,0,1,2,24,59.1,2,54,0,0,62.5,40,5,8,34.59,307,0,347
Jake Camarda,82636,P,TB,9,42,42,4.38,42.14,50.36,12.6,0,0,4,5,30,68.6,19,74,8,0,50.0,265,21,42,183.96,1770,4,2115
Lou Hedley,98796,P,NO,10,49,49,4.03,39.9,43.0,5.1,0,0,6,17,20,54.1,24,62,5,0,36.7,92,18,49,197.34,1955,3,2107
Ty Zentner,99465,P,HST,4,14,14,4.26,38.64,42.14,3.0,0,0,1,5,13,50.8,2,54,3,0,21.4,9,3,14,59.59,541,2,590
Ethan Evans,112090,P,LA,9,33,33,4.37,41.42,48.42,11.2,1,0,1,8,26,68.3,14,72,5,0,51.5,191,17,34,144.35,1367,2,1598
