player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Sam Howell,97599,QB,WAS,10,468,79.7,118,132,7.7,2.64,6,9,6.5,64.4,85,68,9.6,154,32.9,9,47,,,,88.5,65.1,82.4,64.4,,,60.9,0,3,163,26.5,92.3,11.7,18,4,0,8,6,6,3.7,977,7.4,0,32,68.8,67.5,65.4,69.8,76.6,244,265,8.0,2.89,5,15,5.4,67.5,179,111,4.3,314,67.1,8,88,,,,66.5,67.8,85.2,64.7,,,76.0,1,6,331,26.1,91.2,9.2,29,18,0,15,11,10,3.0,1806,6.8,79.8,262,276,7.2,2.5,7,15,5.3,71.0,196,0,6.2,289,61.8,13,91,,,,90.7,79.7,84.8,76.5,,,76.9,0,3,299,,100.3,0.3,1,11,0,7,12,5,1.7,1927,7.0,3,72.0,100,121,10.0,3.32,4,9,6.9,56.2,68,179,5.6,179,38.2,4,44,,,,48.7,47.8,83.1,46.3,,,66.2,1,6,195,25.7,71.5,25.7,46,11,0,16,5,11,5.6,856,7.1
Josh Allen,46601,QB,BUF,10,391,78.1,105,115,7.2,2.76,1,5,4.1,67.0,77,51,6.1,131,33.5,5,50,,,,87.3,82.0,81.8,78.3,,,75.1,1,2,140,11.8,101.1,4.6,6,10,0,8,7,2,1.4,833,7.2,0,4,74.6,89.8,87.3,73.4,79.6,221,235,9.3,2.96,3,15,6.0,71.9,169,76,4.0,260,66.5,7,87,,,,90.5,89.9,84.5,86.5,,,75.3,1,9,277,9.2,94.4,2.7,7,18,1,9,12,8,2.9,1768,7.5,83.4,247,254,7.8,2.39,4,14,5.3,77.6,197,0,4.4,264,67.5,9,100,,,,90.5,94.4,84.4,93.3,,,68.7,0,5,275,,105.0,0.0,0,10,1,2,10,4,1.5,2035,8.0,5,65.8,79,96,11.4,3.93,0,6,5.7,51.0,49,127,5.8,127,32.5,3,37,,,,87.4,60.7,81.9,54.1,,,79.7,2,6,142,10.2,74.4,10.2,13,18,0,15,9,6,4.2,566,5.9
Joe Burrow,28022,QB,CIN,9,383,71.8,85,94,8.3,2.28,2,5,5.1,62.8,59,40,3.3,107,27.9,2,37,,,,85.7,80.1,81.0,78.8,,,62.2,3,0,112,20.0,92.0,7.5,8,5,0,4,3,0,0.0,609,6.5,0,7,86.1,78.0,77.1,65.9,79.4,238,254,6.5,2.54,4,11,4.1,68.5,174,76,7.9,276,72.1,15,80,,,,79.2,75.0,84.6,72.8,,,71.3,3,6,290,18.4,90.0,5.1,14,8,1,8,11,9,3.1,1598,6.3,78.0,255,264,6.4,2.13,5,8,2.9,70.5,186,0,6.5,267,69.7,13,87,,,,90.5,80.4,84.5,78.3,,,65.7,0,3,278,,91.8,0.0,0,3,1,3,7,6,2.2,1704,6.5,4,75.0,68,84,8.9,3.26,1,8,8.8,56.0,47,116,7.8,116,30.3,4,30,,,,60.1,69.3,81.3,67.1,,,67.9,6,3,124,19.0,86.6,19.0,22,10,0,9,7,3,2.4,503,6.0
Joshua Dobbs,11890,QB,MIN,10,378,70.4,81,88,8.0,2.67,1,3,3.1,62.5,55,40,3.5,98,25.9,2,44,,,,85.7,65.9,80.9,59.5,,,91.1,3,3,111,7.5,75.2,3.1,3,5,0,3,2,4,3.6,585,6.6,0,18,57.9,66.3,58.0,90.1,72.1,229,242,8.0,3.04,5,4,1.6,64.0,155,96,6.1,280,74.1,10,74,,,,65.6,62.6,84.8,57.7,58.9,,86.0,1,2,298,18.8,88.7,6.4,18,19,0,7,9,13,4.4,1410,5.8,73.3,225,231,7.5,2.56,5,4,1.7,67.5,156,0,5.5,242,64.0,9,78,,,,90.4,69.9,84.1,66.7,,,80.5,0,4,253,,90.2,0.0,0,8,0,1,9,7,2.8,1447,6.3,2,67.1,85,99,9.6,3.63,1,3,2.7,54.5,54,136,5.3,136,36.0,3,40,,,,42.9,54.4,82.2,45.3,58.9,,90.9,4,1,156,15.4,73.1,15.4,21,16,0,9,2,10,6.4,548,5.5
Patrick Mahomes,11765,QB,KC,9,375,80.9,94,97,5.9,2.44,0,3,3.0,73.2,71,34,6.6,104,27.7,5,42,,,,85.5,77.6,80.9,76.2,,,60.6,2,1,108,14.7,106.8,4.8,5,2,0,1,6,4,3.7,637,6.6,0,16,64.9,87.1,81.3,87.6,77.4,217,237,7.9,3.23,2,11,4.4,66.7,158,93,6.0,271,72.3,10,92,,,,65.3,87.5,84.7,79.4,,,91.4,6,7,291,7.5,92.6,2.6,7,25,1,11,11,9,3.1,1807,7.6,82.8,227,232,5.3,2.42,2,7,2.9,76.7,178,0,5.3,248,66.1,10,99,,,,90.4,91.2,84.2,88.4,,,82.6,0,2,254,,114.7,0.0,0,14,1,2,15,5,2.0,1708,7.4,3,66.7,84,102,12.7,4.15,0,7,6.2,50.0,51,127,8.9,127,33.9,5,35,,,,41.0,70.8,82.0,62.4,,,90.1,8,6,145,9.4,55.8,9.4,12,13,0,10,2,8,5.5,736,7.2
Justin Herbert,28237,QB,LAC,9,366,73.9,111,118,8.4,2.49,1,6,4.7,68.6,81,51,1.2,129,35.2,1,52,,,,64.0,71.1,81.8,68.5,58.4,,74.6,3,3,140,11.8,108.8,4.7,6,5,0,3,10,6,4.3,901,7.6,1,27,65.0,77.8,75.0,71.7,74.7,190,204,8.1,2.82,5,10,4.5,66.2,135,79,4.9,237,64.8,7,72,,,,61.8,78.0,84.1,75.7,,,69.3,3,2,256,17.7,94.2,5.9,14,16,0,6,7,7,2.7,1449,7.1,80.1,216,224,7.2,2.36,6,9,3.8,74.6,167,0,3.5,236,64.5,6,92,,,,90.4,82.7,84.1,80.7,58.4,,66.5,0,1,252,,113.7,0.0,0,9,0,2,13,5,2.0,1723,7.7,2,60.0,85,98,10.8,3.32,0,7,6.4,50.0,49,130,3.9,130,35.5,2,32,,,,27.8,63.7,81.9,60.2,,,74.8,6,4,144,15.4,67.0,15.4,20,12,0,7,4,8,5.6,627,6.4
Derek Carr,8671,QB,NO,10,362,69.9,93,100,9.8,2.44,1,7,6.7,63.0,63,46,3.1,115,31.8,2,33,,,,32.7,61.9,8.1,62.7,,,58.0,2,2,120,26.1,85.1,10.4,12,3,0,4,3,6,5.0,693,6.9,0,20,51.4,68.1,67.5,57.0,76.1,218,234,8.2,2.62,2,7,2.9,67.1,157,75,5.4,247,68.2,9,70,,,,61.8,68.5,84.1,68.6,,,48.3,3,2,256,12.0,91.8,3.6,9,4,0,11,7,4,1.6,1538,6.6,77.4,234,240,7.4,2.25,2,10,4.1,71.7,172,0,5.0,241,66.6,9,76,,,,90.3,77.1,43.7,76.3,,,58.3,0,2,247,,99.0,0.0,0,1,0,4,9,6,2.4,1620,6.8,2,64.9,77,94,12.6,3.19,1,4,4.0,51.1,48,121,4.0,121,33.4,2,27,,,,23.4,47.3,81.5,49.0,,,50.6,5,2,129,17.4,66.4,17.4,21,6,0,11,1,4,3.1,611,6.5
Zach Wilson,82096,QB,NYJ,9,359,71.1,90,97,7.6,2.71,1,1,1.0,61.9,60,52,6.3,107,29.8,4,34,,,,66.6,59.1,81.0,58.2,,,66.0,2,2,113,15.4,77.2,7.5,8,2,0,4,1,2,1.8,668,6.9,0,22,42.7,59.9,56.9,71.8,72.7,187,209,8.2,2.99,5,7,3.2,58.9,123,102,9.6,252,70.2,13,53,,,,47.2,60.5,84.3,56.9,58.4,,77.4,3,4,263,24.5,73.4,9.9,25,18,3,11,4,7,2.7,1195,5.7,75.8,190,199,7.6,2.38,2,5,2.4,67.8,135,0,6.3,205,57.1,9,60,,,,90.1,73.8,83.5,70.9,58.4,,77.9,0,4,216,,86.5,0.0,0,6,3,4,5,4,1.9,1330,6.7,1,64.4,87,107,9.0,3.62,4,3,2.7,44.9,48,154,14.3,154,42.9,8,27,,,,26.2,41.5,82.3,38.1,,,71.7,5,2,160,21.4,52.4,21.4,33,14,0,11,0,5,3.1,533,5.0
Mac Jones,60323,QB,NE,10,357,71.9,64,69,7.2,2.19,3,2,2.8,63.8,44,25,4.3,78,21.8,2,23,,,,83.5,52.6,79.7,50.3,,,75.2,0,1,81,28.0,79.4,9.0,7,2,0,2,1,3,3.7,421,6.1,0,19,62.7,59.0,58.7,61.3,73.3,243,255,7.6,2.51,2,9,3.4,65.9,168,89,5.6,279,78.2,10,76,,,,65.4,63.5,84.7,62.1,,,68.4,4,9,292,15.7,80.4,5.0,14,10,0,6,9,16,5.5,1610,6.3,78.8,226,235,6.6,2.17,5,8,3.3,72.3,170,0,4.5,243,68.1,8,72,,,,90.4,72.5,84.1,71.0,,,64.6,0,5,251,,91.1,0.0,0,8,0,4,7,9,3.6,1559,6.6,3,56.8,81,89,10.1,3.01,0,3,3.2,47.2,42,114,8.7,114,31.9,4,27,,,,33.5,39.6,81.3,36.9,,,77.8,4,5,122,18.4,51.3,18.4,21,4,0,4,3,10,8.2,472,5.3
Jalen Hurts,40291,QB,PHI,9,354,74.3,109,120,9.2,2.92,1,8,6.4,65.0,78,60,3.7,140,39.5,3,55,,,,87.6,78.4,81.9,73.8,,,80.1,1,5,145,15.0,91.3,6.4,9,11,0,9,7,5,3.4,948,7.9,0,24,57.8,81.3,80.5,69.4,81.8,170,185,8.7,3.29,1,12,6.2,71.4,132,74,5.0,214,60.5,7,62,,,,74.1,81.8,83.7,80.0,,,66.8,3,3,226,17.6,100.7,6.1,13,16,0,11,8,7,3.1,1399,7.6,80.1,206,209,7.6,2.57,1,14,6.4,75.1,157,0,4.8,220,62.1,8,78,,,,90.2,86.1,83.7,84.7,,,60.9,0,6,231,,99.3,0.0,0,11,0,2,9,7,3.0,1614,7.7,3,75.3,73,96,12.5,4.09,1,6,5.9,55.2,53,134,3.6,134,37.9,2,39,,,,63.2,71.7,81.8,65.5,,,82.4,4,2,140,16.4,92.1,16.4,22,16,0,18,6,5,3.6,733,7.6
