"","Name","TeamAbbrev","Salary","fpts","proj_own","status","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"240","Whit Johnson","AUB",3000,NA,0,"Healthy",NA,NA,NA,"UGA",78.2,6.1,86.2
"241","Brett Seither","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"242","Oscar Delp","UGA",3000,0.68,0,"Healthy",28,61.8,1.33,"AUB",73.9,59.1,59.4
"243","Ryland Goede","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"244","Drew Sheehan","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"245","Davis Day","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"246","Samuel Johnson","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"247","Cooper Johnson","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"248","Arian Smith","UGA",3000,1.28,0,"out for season - Ankle",5,57.4,1.4,"AUB",73.9,59.1,59.4
"249","Arian Smith","UGA",3000,1.28,0,"Prob Sat - Hamstring",5,57.4,1.4,"AUB",73.9,59.1,59.4
"250","De'Nylon Morrissette","UGA",3000,0.67,0,"Healthy",18,59.6,1.22,"AUB",73.9,59.1,59.4
"251","Jackson Meeks","UGA",3000,0.67,0,"Healthy",24,66,1.35,"AUB",73.9,59.1,59.4
"252","Cole Speer","UGA",3000,0.67,0,"Healthy",2,76.8,6,"AUB",73.9,59.1,59.4
"253","George Vining","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"254","Grant Briscoe","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"255","Luke Bennett","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"256","Miles Thornton","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"257","C.J. Smith","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"258","Mekhi Mews","UGA",3000,NA,0,"Healthy",2,59.8,3,"AUB",73.9,59.1,59.4
"259","Braxton Hicks","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"260","Collin Lark","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"261","Nathan Priestley","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"262","Parker Jones","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"263","Logan Johnson","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"264","Woody Waters","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"265","Brooks Bortle","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"266","Steven Peterson","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"267","Randon Jernigan","UGA",3000,NA,0,"Healthy",NA,NA,NA,"AUB",73.9,59.1,59.4
"268","Jack Mashburn","LSU",3000,0.67,0,"Healthy",13,59.7,0.83,"TENN",49.6,17.4,25.9
"269","MJ Frazier","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"270","Mason Taylor","LSU",3000,8.82,8,"Healthy",174,42.4,0.67,"TENN",49.6,17.4,25.9
"271","Stephen King","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"272","Caleb Bonine","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"273","Charlie Drost","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"274","Gabe Leonards","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"275","Nick Storz","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"276","GiVanni Peterson","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"277","RJ Willis","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"278","Chris Hilton Jr.","LSU",3000,0.66,0,"Healthy",35,73.8,3.21,"TENN",49.6,17.4,25.9
"279","LJ Gilyot","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"280","Javen Nicholas","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"281","Noah Nash","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"282","Cowinn Helaire","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"283","Gregory Clayton Jr.","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"284","Evan Francioni","LSU",3000,0.66,0,"Healthy",12,61.2,1.27,"TENN",49.6,17.4,25.9
"285","Landon Ibieta","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"286","Jack Rilling","LSU",3000,NA,0,"Healthy",NA,NA,NA,"TENN",49.6,17.4,25.9
"287","Jacob Warren","TENN",3000,3.91,0,"Healthy",71,65.7,1.91,"LSU",79.4,36.9,66.6
"288","Miles Campbell","TENN",3000,NA,0,"Ques Sat - Undisclosed",NA,NA,NA,"LSU",79.4,36.9,66.6
"289","Julian Nixon","TENN",3000,NA,0,"Healthy",NA,NA,NA,"LSU",79.4,36.9,66.6
"290","Hunter Salmon","TENN",3000,0.68,0,"Healthy",19,67.4,0.75,"LSU",79.4,36.9,66.6
"291","Titus Rohrer","TENN",3000,NA,0,"Healthy",NA,NA,NA,"LSU",79.4,36.9,66.6
"292","Charlie Browder","TENN",3000,NA,0,"Healthy",NA,NA,NA,"LSU",79.4,36.9,66.6
"293","Walker Merrill","TENN",3000,2.5,0,"Healthy",15,66.2,4.79,"LSU",79.4,36.9,66.6
"294","Jimmy Calloway","TENN",3000,1.89,0,"Healthy",18,50.6,1.43,"LSU",79.4,36.9,66.6
"295","Jack Jancek","TENN",3000,0.67,0,"Healthy",3,86.2,13,"LSU",79.4,36.9,66.6
"296","Chas Nimrod","TENN",3000,NA,0,"Healthy",NA,NA,NA,"LSU",79.4,36.9,66.6
"297","Kaleb Webb","TENN",3000,NA,0,"Healthy",NA,NA,NA,"LSU",79.4,36.9,66.6
"298","Michael Bittner","TENN",3000,0.67,0,"Healthy",NA,NA,NA,"LSU",79.4,36.9,66.6
"299","Nigel Lanier","TENN",3000,NA,0,"Healthy",NA,NA,NA,"LSU",79.4,36.9,66.6
"300","Grant Frerking","TENN",3000,0.67,0,"Healthy",NA,NA,NA,"LSU",79.4,36.9,66.6
"301","Hudson Henry","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"302","Nathan Bax","ARK",3000,0.97,0,"Healthy",31,58.8,0.23,"MSST",NA,NA,NA
"303","Zach Lee","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"304","Erin Outley","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"305","Collin Sutherland","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"306","Ty Washington","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"307","Nathan Johnson","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"308","Hunter Talley","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"309","Dax Courtney","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"310","Isaiah Sategna","ARK",3000,NA,0,"Ques Sat - Ankle",NA,NA,NA,"MSST",NA,NA,NA
"311","Bryce Stephens","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"312","Chase Lowery","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"313","Kalil Girault","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"314","Jaedon Wilson","ARK",3000,4.56,0,"Healthy",17,47.1,0,"MSST",NA,NA,NA
"315","Landon Rogers","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"316","Quincey McAdoo","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"317","Kamron Bibby","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"318","Sam Mbake","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"319","Chris Harris","ARK",3000,NA,0,"Ques Sat - Undisclosed",NA,NA,NA,"MSST",NA,NA,NA
"320","Harper Cole","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
"321","Jaquayln Crawford","ARK",3000,NA,0,"Healthy",NA,NA,NA,"MSST",NA,NA,NA
