"","Name","TeamAbbrev","Salary","fpts","proj_own","status","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"130","Tarique Milton","UT",3500,2.74,0,"Healthy",40,54.3,0.8,"OU",51.9,30.2,35.7
"131","Bryson Green","OKST",3500,9.16,3,"Ques Sat - Wrist",131,64,1.39,"TTU",70.1,40.6,36.8
"132","Loic Fouonji","TTU",3500,6.92,1,"Healthy",121,63.9,1.5,"OKST",66.4,16.5,41.5
"133","Emery Simmons","IU",3500,8.12,2,"Healthy",159,58.5,0.93,"MICH",87.2,17.6,68.9
"134","A.J. Henning","MICH",3500,1.1,0,"Healthy",29,66.1,1.52,"IU",51.1,50.5,33.6
"135","Deion Burks","PUR",3500,4.96,0,"Healthy",76,59.4,1.42,"UMD",52.2,27.5,54.2
"136","Germie Bernard","MSU",3500,2.14,0,"Healthy",68,63,1.59,"OSU",77.6,11.1,60.7
"137","Markus Allen","WISC",3500,3.55,0,"Healthy",54,55.9,1.1,"NW",56.3,57.1,21.7
"138","Tyler Stephens","MIZZ",3400,1.02,0,"Healthy",51,44.8,1.11,"UF",69.8,38.9,54.7
"139","Tauskie Dove","MIZZ",3400,5.53,0,"Healthy",144,50.7,0.57,"UF",69.8,38.9,54.7
"140","Trey Knox","ARK",3400,6.74,0,"Healthy",146,66.8,1.23,"MSST",NA,NA,NA
"141","Dayton Wade","MISS",3400,1.36,0,"Healthy",32,68.5,2.34,"VAND",37.8,30,43.5
"142","Ben Bresnahan","VAND",3400,4.12,0,"Healthy",114,56,0.52,"MISS",78.5,30.6,75.6
"143","Giles Jackson","UW",3400,8.82,1,"Healthy",76,69.4,2.5,"ASU",39.1,47.8,34.7
"144","Munir McClain","UTAH",3400,NA,0,"Healthy",8,65.4,1.71,"UCLA",74.3,23.1,67.2
"145","Money Parks","UTAH",3400,6.7,0,"Healthy",34,65.4,3.16,"UCLA",74.3,23.1,67.2
"146","Steven McBride","KU",3400,0.71,0,"Healthy",11,61.9,2.56,"TCU",63.2,13.5,55
"147","Jared Wiley","TCU",3400,1.57,0,"Healthy",39,74.1,1.5,"KU",66,32.7,52.9
"148","Drake Stoops","OU",3400,5.77,0,"Healthy",75,66.3,1.34,"UT",78.2,42.2,63.2
"149","Xavier White","TTU",3400,14.84,24,"Healthy",95,68.4,2.29,"OKST",66.4,16.5,41.5
"150","Luke Schoonmaker","MICH",3400,12.85,6,"Healthy",72,78.4,2.49,"IU",51.1,50.5,33.6
"151","Joel Honigford","MICH",3400,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"152","Koy Moore","AUB",3300,6.31,1,"Healthy",103,57.7,1.59,"UGA",78.2,6.1,86.2
"153","Shawn Charles","ASU",3300,NA,0,"Healthy",NA,NA,NA,"UW",NA,NA,NA
"154","Blair Conwright","TCU",3300,0.75,0,"Healthy",16,54.5,0.5,"KU",66,32.7,52.9
"155","Braden Cassity","OKST",3300,2.02,0,"Healthy",45,43.4,-0.17,"TTU",70.1,40.6,36.8
"156","Mason Tharp","TTU",3300,4.93,0,"Healthy",106,61.8,0.67,"OKST",66.4,16.5,41.5
"157","AJ Barner","IU",3300,5.33,0,"Healthy",254,57.1,0.56,"MICH",87.2,17.6,68.9
"158","Corey Dyches","UMD",3300,9.38,4,"Healthy",99,67.8,2.26,"PUR",59.6,34.7,44.2
"159","Dean Engram","WISC",3300,3.11,0,"Healthy",22,63.4,3.89,"NW",56.3,57.1,21.7
"160","Keon Zipperer","UF",3200,6.31,0,"Healthy",102,71.5,1.96,"MIZZ",63.9,34.4,55.3
"161","Daejon Reynolds","UF",3200,0.55,0,"Healthy",22,58.1,3.59,"MIZZ",63.9,34.4,55.3
