"","Name","TeamAbbrev","Salary","fpts","proj_own","status","grades_offense","grades_run","opponent","grades_defense","grades_run_defense","grades_tackle","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"20","Marcus Major","OU",6200,4.53,0,"Ques Sat - Ankle",72.4,73.2,"UT",78.2,73.9,73.9,41,36.8,0,0.1,2.3,0.3,8.2,14,1.2,9.5,4
"21","Dillon Johnson","MSST",6100,17.64,7,"Healthy",80.4,82.4,"ARK",46.5,50.6,18.4,60.4,82.6,0,0.2,3.4,0.3,10,30,5.2,15,5
"22","Kendre Miller","TCU",6000,19.18,13,"Healthy",79.6,83.7,"KU",66,75.6,93.9,96.5,126,0,0.2,3.6,0.3,12.8,8.8,1.2,13.8,4
"23","Kendall Milton","UGA",5900,9.04,0,"Healthy",77.5,77.5,"AUB",73.9,56.7,78.6,54.8,61.1,0,0.2,2.9,0.4,9,9.4,0.6,9.6,5
"24","Jalen Berger","MSU",5900,11.34,2,"Healthy",64.5,67.5,"OSU",77.6,77,59.1,59,43.3,0,0.2,3.3,0.3,11.8,15.4,2.8,13.8,5
"25","Tahj Brooks","TTU",5800,15.04,5,"Healthy",70.1,78.3,"OKST",66.4,70.1,77.7,41.4,51.5,0,0.1,2.7,0.3,9.8,20.8,4,13.4,5
"26","Jo'quavious Marks","MSST",5700,16.39,6,"Healthy",66.8,68.8,"ARK",46.5,50.6,18.4,48.8,53.2,0,0.1,3.6,0.3,9.2,14.5,3.2,12,4
"27","Shaun Shivers","IU",5700,12.46,2,"Healthy",62.8,69.2,"MICH",87.2,80.3,99.3,68,63.1,0,0.1,2.4,0.2,15.8,14,3.4,18.4,5
"28","Tank Bigsby","AUB",5500,9.3,0,"Healthy",77.3,85.4,"UGA",78.2,61.2,80.1,65.8,187.1,0,0.1,4.3,0.3,13.8,17.4,4,16.4,5
"29","Devin Neal","KU",5400,14.98,14,"Healthy",68.9,71.1,"TCU",63.2,65.5,98.1,66.8,54.6,0,0.2,2.4,0.3,9.8,6.2,0.6,10.4,5
"30","Roschon Johnson","UT",5400,11.8,2,"Healthy",76.8,81.4,"OU",51.9,52.6,35.7,33.2,197.2,0,0.1,3.9,0.3,7.2,17.4,2.8,9.2,5
"31","Chez Mellusi","WISC",5300,6.22,0,"Healthy",68.1,68.8,"NW",56.3,71,55.8,38.4,43.4,0,0.1,2.9,0.2,9.2,0.4,0.2,9.4,5
"32","Roman Hemby","UMD",5200,14.83,2,"Healthy",77,81.7,"PUR",59.6,60.6,60.6,73.6,22,0,0.1,3.1,0.2,11.2,28.6,3,14.2,5
"33","King Doerue","PUR",5100,NA,0,"Doub Sat - Calf",70.3,75.2,"UMD",52.2,50.7,76,32,171.7,0,0,3.3,0.3,9,8.5,1.5,10.5,2
"34","Nathaniel Peat","MIZZ",5000,14.11,9,"Healthy",69.9,71.9,"UF",69.8,63.3,81,53.2,150.9,0,0.1,4.1,0.2,11.4,10.2,2.2,13,5
