"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","230","24","0.4","80","2.09","79.7","-4","Quincy Williams","278","15","0.25","81","1.04","72.6"
"Kyle Pitts","251","17","0.36","71","1.71","64","12","Demario Davis","270","10","0.17","82","0.89","61.2"
"Mark Andrews","180","16","0.43","83","1.61","78.2","10","Logan Wilson","285","9","0.16","88","0.62","78.1"
"Dalton Kincaid","213","24","0.36","63","1.56","73.8","26","E.J. Speed","264","16","0.29","86","1.27","53.1"
"Ja'Tavion Sanders","176","17","0.28","80","1.39","53.6","-39","Isaiah Simmons","60","10","0.11","50","0.62","71.3"
"Cole Kmet","217","14","0.35","90","1.4","70.1","16","Jaylinn Hawkins","178","6","0.12","70","0.48","58.3"
"Mike Gesicki","177","20","0.44","83","1.99","73.9","23","Trenton Simpson","223","11","0.23","83","0.84","66.3"
"Jake Ferguson","238","21","0.3","76","1.4","58.7","-3","Zack Baun","236","14","0.18","76","0.68","80.9"
"Adam Trautman","101","10","0.25","70","1.2","63.6","-25","Nick Bolton","230","13","0.25","90","1.08","64.3"
"Sam LaPorta","186","13","0.34","92","1.61","70.4","19","Henry To'oTo'o","183","12","0.24","86","0.72","68.1"
"Dalton Schultz","287","15","0.18","59","0.85","57.5","-30","Brian Branch","225","12","0.15","61","0.73","90.2"
"Mo Alie-Cox","88","14","0.26","58","1.14","70.3","-5","Terrel Bernard","167","14","0.22","74","0.81","55.2"
"Evan Engram","126","27","0.42","74","1.77","73.4","16","Ivan Pace Jr.","114","16","0.4","89","1.5","57.4"
"Travis Kelce","275","24","0.37","80","1.58","70.9","18","Brandon Jones","304","7","0.07","70","0.26","87.5"
"Colby Parkinson","212","17","0.21","66","1.01","63.3","9","Jordyn Brooks","210","15","0.31","75","1.34","62.7"
"Will Dissly","136","26","0.38","80","1.78","65.9","-8","Jack Gibbens","94","9","0.12","75","0.53","79.5"
"Jonnu Smith","171","23","0.39","77","1.77","70.6","34","Christian Rozeboom","178","18","0.38","84","1.6","47.4"
"T.J. Hockenson","24","17","0.24","75","1.12","71.7","-6","Foyesade Oluokun","135","7","0.09","90","0.27","80.6"
"Hunter Henry","276","18","0.31","78","1.5","70.7","-7","T.J. Edwards","242","13","0.25","91","1.04","58.2"
"Juwan Johnson","191","13","0.25","80","1.18","65.4","-2","Nate Landman","157","10","0.26","94","0.86","78"
"Theo Johnson","270","10","0.16","65","0.74","49.6","-27","Josey Jewell","162","13","0.28","81","1.36","55.9"
"Tyler Conklin","292","12","0.21","75","0.81","59.2","26","Kyzir White","257","13","0.26","88","1.42","49.6"
"Grant Calcaterra","137","13","0.28","94","1.58","59.2","-21","Eric Kendricks","182","9","0.2","62","1.12","64"
"Pat Freiermuth","204","14","0.32","90","1.29","66","-13","Bobby Wagner","236","10","0.18","70","0.82","84.6"
"George Kittle","202","24","0.63","82","2.49","88.5","74","K.J. Britt","252","11","0.21","79","1","42.6"
"Cade Otton","315","19","0.35","73","1.34","63.1","30","De'Vondre Campbell","251","14","0.27","91","1.18","52.1"
"Chigoziem Okonkwo","183","14","0.23","77","0.87","46.6","-28","Denzel Perryman","125","11","0.2","100","0.9","63.3"
"Zach Ertz","245","18","0.3","73","1.43","58.9","-14","Payton Wilson","128","14","0.22","89","0.94","64.8"
