player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Geno Smith,7820,QB,SEA,9,386,79.8,94,103,7.6,2.64,4,5,4.2,69.9,72,52,4.0,118,30.6,3,51,,87.1,80.3,81.7,76.8,,75.7,0,4,135,17.3,87.6,7.6,9,6,0,5,3,4,3.0,834,8.1,1,29,70.4,80.2,79.9,62.3,75.1,225,239,8.1,2.79,3,13,5.0,67.4,161,101,4.7,268,69.4,8,85,,83.6,80.0,49.7,77.4,58.9,77.2,2,6,291,18.8,89.0,7.1,19,10,2,7,8,6,2.1,1726,7.2,84.4,218,224,6.8,2.4,3,11,4.5,78.1,175,0,4.9,233,60.4,9,95,,81.5,91.5,84.1,89.7,,82.2,0,1,255,,108.6,0.0,0,9,2,1,6,3,1.2,1876,8.4,7,59.4,101,118,10.4,3.25,4,7,5.2,49.2,58,153,3.3,153,39.6,2,41,,88.8,60.3,28.3,59.2,58.9,70.0,2,9,171,18.3,49.5,18.3,28,7,0,11,5,7,4.1,684,5.8
Baker Mayfield,46518,QB,TB,9,363,84.0,94,99,5.6,2.66,4,3,2.9,76.8,76,34,3.8,118,32.5,3,51,,86.3,86.9,81.3,81.8,,83.9,0,1,122,38.2,124.3,11.0,13,5,0,1,8,2,1.6,843,8.5,0,30,51.3,77.8,75.4,73.3,77.1,205,216,7.1,2.66,3,9,4.0,69.0,149,55,5.7,245,67.5,9,82,,46.7,69.4,45.7,68.4,,65.7,4,8,260,16.4,97.1,3.7,9,18,1,3,15,13,5.0,1546,7.2,79.6,255,265,6.4,2.34,7,9,3.2,72.5,192,0,5.4,274,75.5,11,110,,90.6,80.3,49.1,77.9,,76.0,0,8,287,,109.5,0.0,0,7,1,2,22,11,3.8,2030,7.7,3,77.3,44,50,7.9,3.65,0,3,5.9,66.0,33,89,2.9,89,24.5,1,23,,23.8,64.5,80.3,60.8,,68.8,4,1,95,24.7,85.3,24.7,22,16,0,2,1,4,4.2,359,7.2
C.J. Stroud,129759,QB,HST,9,350,70.7,82,89,5.8,2.6,1,3,3.0,62.9,56,54,3.4,110,31.4,2,40,,86.2,74.1,81.3,73.7,60.0,56.1,4,1,120,33.3,91.2,16.4,18,3,0,2,4,0,0.0,563,6.3,0,13,62.6,75.4,74.2,64.2,72.0,193,207,9.6,3.18,1,13,6.0,63.8,132,82,5.0,240,68.6,7,78,,57.8,73.9,84.1,71.4,57.4,71.9,2,3,253,14.6,92.2,5.0,12,20,1,10,7,8,3.2,1576,7.6,75.3,194,201,7.3,2.61,2,7,3.3,69.7,140,0,4.1,214,61.1,6,83,,90.2,81.0,83.7,80.0,55.7,61.8,0,4,226,,97.3,0.0,0,12,1,4,9,4,1.8,1471,7.3,2,63.0,81,95,11.1,3.59,0,9,8.6,50.5,48,136,5.9,136,38.9,3,35,,36.7,63.6,82.0,60.5,,73.1,6,0,147,22.1,80.5,22.1,30,11,0,8,2,4,2.7,668,7.0
Daniel Jones,39395,QB,NYG,9,347,74.4,90,99,6.9,2.5,3,3,2.7,58.6,58,48,13.4,111,32.0,9,26,,86.3,57.4,81.3,57.9,,54.5,1,1,123,16.7,83.7,7.2,8,2,0,5,4,3,2.4,559,5.6,0,21,77.6,71.9,67.7,78.0,80.2,187,205,7.7,2.79,2,4,1.8,66.3,136,82,9.3,236,68.0,14,70,,62.4,72.3,84.1,71.7,59.9,59.6,2,4,252,23.2,82.6,8.1,19,11,3,11,4,6,2.4,1321,6.4,84.0,200,209,6.6,2.3,3,4,1.8,71.8,150,0,10.7,217,62.5,18,78,,90.2,85.6,83.8,83.7,,61.5,0,3,234,,92.1,0.0,0,5,3,3,5,3,1.3,1415,6.8,4,63.6,77,95,9.6,3.36,2,3,2.9,46.3,44,130,10.2,130,37.5,5,18,,41.7,37.0,81.8,37.9,59.9,55.3,3,2,141,20.8,62.8,20.8,27,8,0,13,3,6,4.3,465,4.9
Bo Nix,97790,QB,DEN,9,344,67.7,99,109,9.5,3.06,6,4,3.4,56.9,62,47,7.5,120,34.9,5,32,,86.8,62.7,81.6,60.8,,69.2,1,1,131,8.5,81.3,3.3,4,7,0,3,3,3,2.3,693,6.4,0,10,91.2,66.5,62.5,75.8,75.0,172,185,8.2,3.23,3,6,3.1,65.9,122,63,5.4,224,65.1,7,61,64.7,90.3,67.9,83.9,63.1,90.3,75.6,3,5,237,17.5,78.7,4.9,11,24,1,6,5,3,1.3,1060,5.7,77.8,207,216,8.1,2.77,7,9,3.9,69.4,150,0,6.8,234,68.0,11,72,,90.3,78.6,84.0,77.7,60.0,61.1,0,4,247,,88.9,0.0,0,16,1,1,6,3,1.2,1422,6.6,6,54.7,64,78,10.3,4.02,2,1,1.2,43.6,34,110,2.9,110,32.0,1,21,64.7,86.2,42.6,81.3,31.0,90.6,84.7,4,2,121,13.6,54.0,13.6,15,15,0,8,2,3,2.5,331,4.2
Aaron Rodgers,2241,QB,NYJ,9,344,75.3,97,107,6.5,2.37,1,5,4.5,62.6,67,38,8.2,119,34.6,6,34,,60.3,72.4,81.3,70.5,,64.4,3,1,124,28.9,92.8,9.2,11,1,0,6,6,2,1.6,609,5.7,0,22,83.6,79.6,78.3,69.3,74.0,196,209,8.0,2.61,7,13,5.9,62.2,130,52,10.3,225,65.4,15,73,,90.3,80.4,83.9,78.7,,63.8,2,6,239,17.3,86.2,4.0,9,7,0,4,9,4,1.7,1498,7.2,76.3,245,251,7.0,2.22,6,13,5.0,66.9,168,0,10.2,254,73.8,19,83,,90.4,83.0,84.2,80.9,,63.1,0,7,263,,87.8,0.0,0,3,0,0,11,4,1.5,1624,6.5,5,64.6,48,65,10.1,3.37,2,5,6.8,44.6,29,90,6.5,90,26.2,2,24,,54.1,66.0,80.5,64.2,,66.9,5,0,100,22.2,90.7,22.2,20,5,0,10,4,2,2.0,483,7.4
Joe Burrow,28022,QB,CIN,9,337,79.5,73,80,7.8,2.39,1,3,3.5,71.3,57,29,1.7,93,27.6,1,43,,54.1,83.3,80.5,79.0,,78.1,1,2,99,27.6,119.1,8.6,8,5,0,5,7,1,1.0,747,9.3,0,7,60.9,91.1,90.7,66.2,79.8,208,222,7.3,2.73,3,11,4.8,69.8,155,73,6.6,244,72.4,11,84,,76.7,91.5,47.3,90.6,,69.5,3,2,255,16.4,104.1,4.9,12,8,0,8,13,3,1.2,1497,6.7,80.4,225,229,6.3,2.26,2,8,3.4,74.2,170,0,6.1,235,69.7,11,91,,90.3,92.4,84.0,91.0,,77.8,0,3,244,,107.0,0.0,0,5,0,2,13,2,0.8,1626,7.1,5,76.8,56,73,12.0,3.5,2,6,7.8,57.5,42,102,2.3,102,30.3,1,36,,29.8,78.1,7.2,76.5,,69.7,4,1,110,19.6,111.6,19.6,20,8,0,11,7,2,1.8,618,8.5
Dak Prescott,10769,QB,DAL,8,317,68.4,57,63,11.2,2.49,4,6,8.7,60.3,38,25,2.6,68,21.5,1,22,,82.9,82.1,79.5,79.0,,65.9,2,1,75,16.0,105.4,5.9,4,1,0,0,5,2,2.7,502,8.0,0,9,56.0,67.9,67.2,59.6,73.5,211,223,7.5,2.66,2,8,3.3,65.9,147,73,5.2,249,78.5,8,66,,45.0,60.5,84.3,60.8,,53.2,2,7,269,23.3,80.5,6.8,17,5,2,6,6,14,5.2,1476,6.6,74.0,204,212,8.2,2.33,6,9,4.1,68.4,145,0,4.0,219,69.1,6,66,,70.8,76.1,83.7,75.8,,48.2,0,6,227,,88.5,0.5,1,3,2,0,7,10,4.4,1535,7.2,3,67.2,64,74,8.7,3.29,0,5,5.6,54.1,40,98,7.0,98,30.9,3,22,,31.1,50.5,81.1,49.1,,71.1,4,2,117,20.4,78.8,20.4,20,3,0,6,4,6,5.1,443,6.0
Kirk Cousins,7102,QB,ATL,9,315,69.0,84,92,7.8,2.31,1,1,1.0,62.0,57,36,1.7,99,31.4,1,31,,56.8,63.0,80.8,61.6,58.9,65.9,0,1,107,13.9,91.2,5.1,5,1,0,7,3,3,2.8,688,7.5,0,2,47.5,77.3,75.5,65.2,81.5,189,203,7.5,2.62,5,5,2.3,72.4,147,73,4.5,216,68.6,7,78,,41.9,81.2,83.8,79.8,,55.7,2,6,233,15.1,106.8,5.1,11,1,3,4,14,11,4.7,1640,8.1,77.8,198,204,6.9,2.33,3,3,1.4,73.0,149,0,3.2,206,65.4,5,79,,90.1,84.1,83.6,81.9,,,0,1,223,,113.4,0.0,0,0,3,0,12,6,2.7,1610,7.9,1,77.3,75,91,9.4,2.88,3,3,3.1,60.4,55,109,5.2,109,34.6,3,30,,22.5,58.2,81.2,57.8,58.9,63.0,2,6,117,14.7,76.2,14.7,16,2,0,11,5,8,6.8,718,7.9
Caleb Williams,144622,QB,CHI,8,314,65.3,72,88,9.8,3.08,2,3,3.0,51.1,45,50,4.3,106,33.8,2,28,,59.5,61.9,81.2,60.3,,66.6,2,1,120,20.0,80.3,9.4,10,8,0,12,4,3,2.5,531,6.0,1,6,83.6,61.1,59.2,70.2,75.6,160,176,8.3,3.04,4,5,2.6,66.5,117,63,3.3,208,66.2,4,59,,90.2,61.3,83.7,58.7,,74.4,2,4,227,30.2,84.3,9.1,19,12,1,9,5,6,2.6,1134,6.4,74.5,184,192,7.7,2.42,4,5,2.4,68.2,131,0,4.4,201,64.0,6,60,,90.1,72.6,83.5,70.7,,69.2,0,2,217,,91.4,0.0,0,8,1,3,5,4,1.8,1295,6.7,6,64.6,48,72,12.9,4.17,2,3,3.5,43.1,31,113,0.0,113,36.0,0,27,,61.1,43.8,81.5,39.9,,72.4,4,3,130,25.7,60.5,25.7,29,12,0,18,4,5,3.8,370,5.1
