player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Geno Smith,7820,QB,SEA,9,2.76,2.62,3.31,4.61,384,29,81.5,168,175,4.8,1.94,3,4,2.1,76.0,133,38,2.9,177,46.1,4,59,,,,76.9,75.5,83.1,74.0,,,,0,2,194,5.3,92.7,1.1,2,0,0,4,2,1,0.5,1187,6.8,70.9,151,165,11.5,3.45,4,14,7.6,60.6,100,115,6.5,207,53.9,7,77,,,,90.2,83.9,41.0,79.8,,82.1,,2,8,230,22.6,85.2,12.6,26,16,0,8,9,9,3.9,1373,8.3
Baker Mayfield,46518,QB,TB,9,2.67,2.42,3.73,5.34,362,30,85.1,174,183,3.8,1.84,7,4,2.1,77.0,141,17,4.7,185,51.1,7,69,,,,89.6,89.2,83.0,86.8,,,,2,2,189,11.8,116.9,1.1,2,0,0,0,15,2,1.1,1221,6.7,71.2,125,131,10.5,3.6,0,8,5.7,64.1,84,71,5.6,174,48.1,5,64,,,,31.8,63.9,32.4,60.4,,75.0,,2,7,188,28.2,90.8,11.5,20,23,0,4,8,13,6.9,1168,8.9
C.J. Stroud,129759,QB,HST,9,3.0,2.82,3.14,5.34,349,13,77.5,129,134,4.2,1.92,2,1,0.7,72.4,97,30,3.0,141,40.4,3,53,,,,60.4,71.1,82.1,70.0,,,,1,1,150,23.3,101.6,5.0,7,0,0,2,6,2,1.3,881,6.6,66.4,146,161,12.2,3.76,0,15,8.7,56.5,91,106,6.2,207,59.3,6,65,,,,73.8,76.4,83.6,74.0,,69.6,,5,3,221,21.7,84.3,11.1,23,23,0,10,5,6,2.7,1258,7.8
Aaron Rodgers,2241,QB,NYJ,9,2.52,2.42,2.97,5.55,344,22,78.9,180,187,5.9,1.76,6,12,6.2,67.4,126,20,11.3,191,55.5,16,62,,,,71.4,85.2,83.1,83.0,,,,0,2,198,20.0,91.3,2.1,4,0,0,1,6,3,1.5,1202,6.4,67.3,113,129,9.9,3.47,2,6,4.3,55.0,71,70,6.6,153,44.5,5,45,,,,88.5,68.6,82.4,66.9,,67.6,,5,5,165,22.9,84.3,10.5,16,8,0,9,9,3,1.8,905,7.0
Daniel Jones,39395,QB,NYG,9,2.72,2.55,3.61,5.47,344,21,81.1,148,155,4.4,1.86,4,2,1.2,69.7,108,32,10.0,157,45.6,12,42,,,,88.8,71.5,82.5,70.4,,,,2,2,169,6.3,84.7,1.3,2,0,0,1,4,2,1.2,793,5.1,75.2,129,146,11.0,3.5,1,5,3.2,58.9,86,98,11.3,184,53.5,11,54,,,,54.8,63.9,83.2,64.0,,57.2,,1,3,200,25.5,82.8,13.6,25,13,0,15,4,7,3.5,1087,7.4
Bo Nix,97790,QB,DEN,9,3.18,2.9,4.57,5.59,343,10,81.5,108,114,3.9,1.92,5,2,1.7,72.8,83,10,5.7,114,33.2,5,26,,,,86.2,67.1,81.2,66.4,,,,0,0,120,0.0,87.1,0.0,0,0,0,1,1,1,0.8,587,5.1,66.3,163,179,11.8,3.88,4,8,4.1,56.4,101,98,6.5,225,65.6,7,67,,,,90.3,65.0,83.9,60.2,,77.1,,4,6,243,15.3,75.3,6.7,15,31,0,8,7,5,2.1,1166,6.5
Joe Burrow,28022,QB,CIN,9,2.64,2.53,3.19,4.65,337,7,81.7,169,176,5.3,1.88,3,4,2.2,73.9,130,21,5.8,180,53.4,8,67,,,,89.6,88.1,83.0,86.3,,55.7,,1,3,189,19.0,101.6,2.2,4,0,0,3,9,1,0.5,1184,6.7,76.8,112,126,10.6,3.56,1,10,7.6,65.1,82,80,4.7,155,46.0,4,60,,,,45.7,90.9,28.9,88.3,,80.8,,3,1,163,20.0,117.2,10.3,16,13,0,10,11,3,1.8,1060,8.4
Dak Prescott,10769,QB,DAL,8,2.64,2.58,3.27,5.27,315,9,80.3,132,137,4.7,1.9,5,4,2.8,74.5,102,17,3.8,139,44.1,4,42,,,,87.6,75.6,82.0,74.2,,,,0,1,146,11.8,96.8,1.4,2,0,0,0,3,2,1.4,933,6.8,64.7,136,147,11.7,3.31,1,10,6.2,56.5,83,80,5.7,172,54.6,5,46,,,,29.8,61.2,83.0,61.0,,59.4,,4,7,192,23.8,77.1,11.0,19,6,0,6,8,14,7.3,1045,7.1
Caleb Williams,144622,QB,CHI,8,3.06,2.73,3.66,6.67,313,6,77.5,120,125,5.4,1.8,3,4,2.9,72.0,90,15,3.2,127,40.6,3,36,,,,87.3,74.8,81.8,73.4,,,,0,1,139,13.3,95.1,1.6,2,0,0,2,5,3,2.2,690,5.5,67.0,112,138,12.5,3.94,3,4,2.6,52.2,72,98,4.0,185,59.1,3,51,,,,72.1,52.0,83.3,48.1,,74.5,,4,4,206,27.6,72.6,14.6,27,20,0,19,4,6,2.9,975,7.1
Kirk Cousins,7102,QB,ATL,9,2.55,2.51,3.21,4.85,312,2,79.7,138,143,5.3,1.92,1,1,0.7,74.1,106,37,3.6,148,47.4,4,52,,,,66.7,72.5,82.3,71.2,,,,0,2,158,13.5,116.7,3.4,5,0,0,4,12,5,3.2,1053,7.4,75.6,135,149,9.9,3.15,5,5,3.1,65.8,98,72,3.9,162,51.9,4,57,,,,29.8,77.4,82.7,75.7,,63.0,,2,5,177,15.3,89.8,6.8,11,2,0,7,5,9,5.1,1275,8.6
Patrick Mahomes,11765,QB,KC,8,2.76,2.57,3.71,4.94,309,16,88.9,144,146,2.5,1.74,2,0,0.0,82.2,120,10,6.3,148,47.9,8,56,,,,87.8,78.8,82.1,77.2,,,,0,4,150,20.0,97.6,1.4,2,0,0,0,7,2,1.3,924,6.3,69.0,100,122,12.1,3.79,1,7,5.2,55.7,68,84,1.4,157,50.8,1,62,,,,88.9,86.7,82.6,77.2,,91.3,,2,5,172,16.7,77.2,8.9,14,21,0,19,4,5,2.9,1018,8.3
Trevor Lawrence,77632,QB,JAX,9,2.64,2.52,3.02,5.1,305,15,77.7,139,141,4.5,1.88,1,3,2.0,70.9,100,23,7.4,144,47.2,8,44,,,,65.7,78.2,82.1,76.6,,,,0,2,151,13.0,92.5,2.1,3,0,0,1,6,2,1.3,781,5.5,63.6,121,132,15.7,3.35,1,10,7.2,51.5,68,66,11.7,159,52.1,9,58,,,,67.6,74.9,82.5,73.0,,67.0,,1,4,167,22.7,83.6,9.4,15,12,0,9,5,9,5.4,1223,9.3
Josh Allen,46601,QB,BUF,9,2.81,2.62,3.72,4.95,298,4,83.2,131,138,4.2,1.7,4,4,2.8,75.4,104,21,4.6,139,46.6,5,47,,,,87.6,75.5,82.0,74.1,,,,2,2,146,4.8,109.8,0.7,1,0,0,1,8,2,1.4,1047,7.6,65.1,106,123,12.9,3.86,2,15,10.9,52.0,64,75,7.2,156,52.3,5,56,,,,20.9,72.7,82.7,65.5,,86.2,,2,0,175,13.3,102.2,6.4,10,23,0,13,9,10,5.7,954,7.8
Matthew Stafford,4924,QB,LA,8,2.65,2.62,3.15,,293,26,77.2,123,128,4.9,1.96,4,2,1.5,71.9,92,24,3.2,130,44.4,3,40,,,,87.3,69.6,81.8,68.6,,,,1,2,139,8.3,97.0,1.5,2,0,0,0,6,2,1.4,795,6.2,67.6,139,148,11.1,3.2,1,6,3.8,60.8,90,69,4.3,163,55.6,4,50,,,,68.6,55.8,82.7,55.9,,,,1,4,175,21.7,81.3,9.2,15,0,0,7,3,12,6.9,1174,7.9
