player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,8,5,3,,0,1,17,0,0,62.0,83.4,86.2,72.5,79.4,36.8,3,13,0,0,,15.6,5,0,0,0.0,0,2,0,2,0,7,287,285,9,128,95,53,0,2,173,107,0,17,22,5,0,18,0,0,0,
Brandon Graham,5538,ED,PHI,8,3,0,100.0,0,1,24,0,0,62.7,78.0,56.3,67.5,81.4,60.0,1,10,0,0,5,8.3,1,0,1,87.5,1,1,0,1,0,13,228,226,0,5,200,21,0,2,120,95,1,7,8,1,1,12,0,5,8,5.0
Jerry Hughes,5556,ED,HST,4,1,0,,0,0,13,0,0,60.1,42.5,80.3,50.0,43.4,69.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,40,40,0,0,38,2,0,0,18,20,0,0,0,0,0,1,0,0,0,
Linval Joseph,5571,DI,DAL,8,4,0,,0,1,9,0,0,69.1,46.7,48.4,87.1,30.1,52.2,0,2,0,0,,10.0,1,0,1,0.0,0,1,0,0,0,0,156,156,114,42,0,0,0,0,65,91,0,2,5,0,0,3,0,0,0,
Von Miller,6154,ED,BUF,5,1,0,,0,0,4,0,0,63.2,71.4,34.5,71.6,63.1,75.6,1,9,0,0,,0.0,0,0,1,0.0,0,3,0,0,0,3,114,114,0,0,114,0,0,0,86,25,0,4,2,0,0,13,0,0,0,
Cameron Jordan,6176,ED,NO,9,5,1,,0,0,20,0,0,64.5,49.0,86.2,49.3,47.5,47.7,1,10,0,1,,16.7,2,0,0,0.0,0,0,0,1,0,2,248,247,3,7,161,76,0,1,153,93,0,3,5,0,0,11,0,0,0,
Cameron Heyward,6183,DI,PIT,8,3,1,,0,0,25,0,0,60.0,91.0,83.6,87.9,84.4,78.1,7,17,0,0,,0.0,0,0,0,0.0,0,5,0,0,0,0,342,342,8,192,13,129,0,0,209,133,0,21,25,2,0,29,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,4,2,0,,0,0,7,0,0,,51.1,80.2,52.5,52.7,25.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,90,90,1,73,3,13,0,0,41,49,0,0,0,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,2,0,0,100.0,0,0,32,0,0,79.4,90.2,68.9,,63.2,73.2,0,0,0,0,2,0.0,0,0,0,79.2,2,0,0,6,0,3,6,0,0,0,0,0,0,6,0,3,0,1,1,1,2,0,0,-4,3,-2.0
Stephon Gilmore,7016,CB,MIN,8,5,0,69.8,0,1,18,0,0,58.2,61.8,85.1,,77.4,70.5,0,0,0,1,27,10.5,4,4,3,94.6,37,0,0,54,393,320,468,3,0,0,3,0,1,465,0,148,17,12,29,1,53,0,2,377,145,10.2
Bobby Wagner,7050,LB,WAS,9,18,0,70.8,0,1,32,1,0,57.9,85.6,83.2,85.8,91.8,82.8,2,9,0,0,32,5.1,4,1,0,109.9,17,3,0,495,2,257,530,8,0,0,8,0,1,522,48,225,24,32,56,6,24,14,1,201,134,11.8
Lavonte David,7060,LB,TB,9,13,1,86.0,0,2,30,0,0,58.9,66.0,83.2,74.7,67.1,40.3,1,10,0,1,49,18.6,13,2,1,105.3,43,3,0,506,3,340,612,45,0,0,45,0,1,567,56,216,57,28,44,2,50,14,2,404,258,9.4
Demario Davis,7079,LB,NO,8,19,0,82.1,0,0,20,0,0,59.2,61.1,48.9,51.3,67.0,51.2,0,3,0,0,23,14.1,9,1,2,102.4,23,1,0,464,0,288,514,28,0,0,28,0,1,486,30,196,21,23,36,0,28,4,0,240,169,10.4
Rodney McLeod,7271,S,CLV,9,5,0,47.4,0,0,8,1,1,52.4,54.1,81.6,53.0,60.7,63.9,0,0,0,0,17,12.9,4,4,0,73.6,9,0,0,110,0,174,318,13,0,0,13,0,127,305,5,139,68,6,22,2,19,0,1,66,48,7.3
Harrison Smith,7641,S,MIN,8,9,1,70.4,0,0,18,1,0,56.6,61.2,87.3,60.9,71.0,64.3,0,3,0,1,42,12.2,6,2,0,123.5,19,1,0,136,3,324,514,64,0,0,64,0,272,450,27,163,39,7,34,1,27,4,3,267,110,14.1
Darius Slay,7817,CB,PHI,7,4,0,63.0,1,1,24,0,0,72.2,70.3,34.1,,62.7,67.3,0,0,0,0,41,9.7,3,5,1,107.0,17,0,0,32,325,229,361,3,0,0,3,0,0,358,0,132,1,9,24,1,27,0,2,180,42,10.6
Johnathan Hankins,7830,DI,SEA,9,5,0,,1,0,29,0,0,60.0,33.6,18.9,53.1,36.4,29.8,1,3,0,0,,16.0,4,0,3,0.0,0,0,0,0,0,0,269,269,83,186,0,0,0,0,104,165,0,10,16,3,0,4,0,0,0,
Tyrann Mathieu,7850,S,NO,9,6,0,84.6,0,1,20,1,0,58.0,57.9,84.8,51.2,58.1,40.4,0,3,0,2,50,22.9,11,1,0,79.2,11,0,0,145,0,295,477,13,0,0,13,0,292,464,9,173,27,7,31,1,13,3,0,252,119,22.9
John Jenkins,7863,DI,LV,9,9,1,,0,0,23,0,0,60.0,54.3,85.1,56.7,52.5,50.0,0,3,0,0,,10.7,3,0,0,0.0,0,2,0,0,0,1,331,331,171,157,0,3,0,0,143,187,0,12,16,0,0,5,0,0,0,
William Gholston,7908,DI,TB,9,3,0,,0,0,30,0,0,66.6,64.7,41.2,70.1,54.0,73.3,1,5,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,139,139,3,71,26,39,0,0,68,71,0,4,5,0,0,7,0,0,0,
Jordan Poyer,8000,S,MIA,7,9,0,73.3,0,0,17,0,0,52.9,50.8,0.0,61.0,60.4,63.3,0,0,0,0,33,9.5,4,1,3,130.4,11,0,0,113,3,218,389,17,0,0,17,0,223,372,5,166,33,7,29,0,15,0,1,162,57,14.7
Tony Jefferson,8361,S,LAC,1,0,0,,0,0,27,0,0,60.5,60.8,67.9,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,6,7,0,0,1,0,0,0,0,0,0,0,0,
Jadeveon Clowney,8636,ED,CAR,7,8,0,100.0,0,0,5,0,0,51.5,63.4,67.4,56.1,72.8,52.9,1,16,0,0,15,14.8,4,0,1,118.8,2,1,0,2,0,22,324,320,0,0,319,1,0,4,157,145,2,13,15,3,2,18,0,30,19,15.0
Khalil Mack,8640,ED,LAC,8,2,4,100.0,0,2,27,1,0,82.5,91.8,70.5,82.4,92.1,45.8,3,21,0,0,11,22.7,5,0,1,112.5,1,5,0,1,0,11,355,354,0,0,353,1,0,1,224,120,0,15,15,1,1,29,0,11,6,11.0
C.J. Mosley,8652,LB,NYJ,4,3,0,100.0,0,0,22,0,0,61.0,74.7,78.7,38.7,81.6,57.0,0,1,0,0,15,15.8,3,0,0,103.1,4,0,0,108,0,44,110,2,0,0,2,0,0,108,3,63,0,6,13,0,4,1,0,35,14,8.8
Jimmie Ward,8665,S,HST,4,4,0,61.5,0,0,13,0,0,58.6,64.0,80.1,56.5,75.3,89.9,0,0,0,0,60,0.0,0,1,0,139.7,8,0,0,54,3,116,190,3,0,0,3,0,94,187,2,72,36,2,12,1,13,0,2,146,32,18.3
DeMarcus Lawrence,8669,ED,DAL,4,4,0,,0,1,9,0,0,60.3,56.8,53.1,53.9,62.4,27.9,2,4,0,0,,33.3,6,0,1,0.0,0,3,0,1,0,3,167,166,0,4,146,16,0,1,89,75,0,7,8,1,0,9,0,0,0,
Kyle Van Noy,8675,ED,BLT,9,4,2,100.0,0,1,3,0,0,61.6,80.6,85.9,76.5,71.3,61.9,6,13,0,0,26,15.8,3,0,0,118.8,4,7,0,13,0,27,346,331,0,0,331,0,0,15,228,91,2,15,12,2,4,26,0,61,26,15.3
Jordan Matthews,8677,TE,CAR,1,0,0,,0,0,5,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
DaQuan Jones,8747,DI,BUF,9,4,1,,0,0,4,0,0,63.2,59.1,45.5,70.3,49.2,26.1,2,10,0,0,,33.3,5,0,2,0.0,0,2,0,0,0,0,326,326,35,267,2,22,0,0,190,136,0,6,6,1,0,14,0,0,0,
Brent Urban,8769,ED,BLT,6,2,1,,0,0,3,0,0,63.3,65.6,80.3,57.0,63.8,74.4,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,88,88,1,59,12,16,0,0,46,40,0,7,9,0,0,2,0,0,0,
Shelby Harris,8869,DI,CLV,9,7,1,,0,1,8,0,0,61.2,68.0,84.2,58.8,68.4,75.8,1,10,0,0,,0.0,0,0,0,0.0,0,2,0,1,0,4,317,316,6,211,0,99,0,1,157,156,0,12,12,1,0,13,0,0,0,
Denico Autry,8982,ED,HST,3,1,1,,0,0,13,1,0,53.3,49.3,81.8,57.6,48.0,43.3,2,1,0,0,,33.3,1,0,0,0.0,0,2,0,1,0,1,92,91,1,5,50,35,0,1,66,25,0,2,1,0,0,5,0,0,0,
C.J. Goodwin,9243,CB,DAL,2,0,0,,0,0,9,0,0,60.2,61.4,99.9,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,4,1,5,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,
Mike Pennel,9316,DI,KC,8,3,0,,0,1,16,0,0,52.9,62.5,82.2,66.7,64.0,72.6,0,2,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,3,144,144,23,120,0,1,0,0,59,82,0,4,4,0,0,4,0,0,0,
Dante Fowler Jr.,9436,ED,WAS,9,3,0,100.0,0,1,32,0,0,87.9,67.1,86.6,63.2,52.9,28.0,1,18,1,1,9,38.1,8,0,0,64.6,2,7,0,1,0,15,266,265,0,1,255,9,0,1,156,95,0,12,10,3,2,26,0,18,23,9.0
Leonard Williams,9439,DI,SEA,8,5,0,,0,0,29,0,0,60.7,74.2,67.6,66.9,73.6,35.7,9,16,0,0,,20.8,5,0,1,0.0,0,3,0,0,0,5,363,363,8,157,73,125,0,0,219,139,0,10,14,1,0,28,0,0,0,
Arik Armstead,9450,ED,JAX,9,0,0,,0,0,15,0,0,57.1,63.7,65.8,62.9,63.9,51.4,1,10,0,0,,14.3,2,0,1,0.0,0,1,0,1,0,2,290,289,6,34,170,79,0,1,205,83,0,11,12,1,0,12,0,0,0,
Bud Dupree,9455,ED,LAC,8,2,1,100.0,0,0,27,0,0,44.6,41.5,37.7,49.8,47.4,29.4,2,7,0,1,9,30.8,4,0,2,58.3,2,3,0,5,0,8,293,288,0,0,288,0,0,5,203,82,0,8,7,0,2,12,0,15,18,7.5
Shaq Thompson,9458,LB,CAR,4,8,0,93.3,0,0,5,0,0,62.9,67.4,19.4,52.7,73.2,51.0,1,1,0,0,21,16.3,7,0,1,114.2,14,0,0,206,2,116,245,18,0,0,18,0,0,227,17,112,19,16,28,3,15,2,1,91,66,6.5
Mario Edwards Jr.,9468,DI,HST,6,6,0,,0,0,13,1,0,63.1,61.9,28.0,63.3,60.9,48.9,3,7,0,0,,17.6,3,0,2,0.0,0,2,0,0,0,0,213,213,5,173,4,31,0,0,143,70,0,8,8,0,0,12,0,0,0,
Preston Smith,9471,ED,GB,9,6,0,66.7,0,0,12,0,0,59.9,61.8,50.6,58.0,67.6,79.6,1,6,0,0,20,0.0,0,0,2,103.5,2,3,0,0,0,16,308,307,0,7,287,13,0,1,171,121,1,8,8,0,3,10,0,33,18,16.5
Eddie Goldman,9472,DI,ATL,9,3,0,,0,0,2,0,0,,59.2,44.9,70.3,54.7,43.6,2,4,0,0,,14.3,1,0,1,0.0,0,0,0,0,0,0,146,146,107,39,0,0,0,0,68,78,0,1,3,0,0,6,0,0,0,
Eric Kendricks,9478,LB,DAL,7,20,0,62.5,0,2,9,0,0,52.1,64.3,83.8,67.6,71.9,55.2,1,2,0,1,57,15.3,11,0,0,101.0,10,2,0,381,3,193,420,10,0,0,10,0,2,410,25,202,24,20,41,0,16,5,1,204,145,20.4
Denzel Perryman,9481,LB,LAC,8,8,0,100.0,0,0,27,0,0,65.9,63.2,80.8,81.1,51.5,29.8,2,3,0,0,23,20.4,11,0,0,100.3,14,1,0,255,0,134,277,2,0,0,2,0,0,275,18,125,20,21,35,1,14,6,0,113,58,8.1
Ronald Darby,9483,CB,JAX,9,3,0,76.1,1,0,15,0,0,52.6,55.7,84.7,60.0,68.3,68.8,0,0,0,0,80,10.3,4,2,3,137.4,35,0,0,49,439,322,507,9,0,0,9,0,0,498,1,184,10,8,32,3,46,0,4,474,191,13.5
Jordan Phillips,9485,DI,DAL,2,0,0,,0,0,9,0,0,,29.6,76.3,72.4,26.2,66.8,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,0,24,0,10,0,0,17,17,0,1,1,0,0,2,0,0,0,
Chris Conley,9509,WR,SF,1,0,0,,0,0,28,0,0,,62.7,60.0,,61.9,68.4,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,
Jordan Hicks,9517,LB,CLV,5,6,0,62.5,0,0,8,0,0,58.4,68.2,80.6,67.4,72.2,49.7,2,1,0,0,18,16.0,4,1,0,79.2,5,1,0,180,1,97,196,10,0,1,9,0,0,186,21,78,5,12,15,2,8,4,0,48,30,9.6
Danielle Hunter,9521,ED,HST,9,5,1,,0,2,13,0,0,66.8,81.3,76.4,79.9,61.9,61.3,8,25,0,0,,23.5,4,0,1,0.0,0,6,0,3,0,3,416,413,0,3,404,6,0,3,275,138,0,12,8,0,0,39,0,0,0,
Angelo Blackson,9533,DI,ARZ,1,0,0,,0,0,1,0,0,,66.5,74.1,66.7,61.5,68.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,0,7,0,16,0,0,10,13,0,1,1,0,0,1,0,0,0,
Za'Darius Smith,9555,ED,CLV,9,4,0,100.0,0,0,8,0,0,55.3,73.6,87.3,71.1,65.9,39.3,2,20,0,0,12,21.7,5,0,0,116.7,1,5,0,5,0,9,324,319,0,9,282,28,0,5,204,111,0,11,14,2,1,27,0,12,13,12.0
Kwon Alexander,9557,LB,DEN,3,3,0,100.0,0,1,10,1,0,65.3,90.8,73.7,60.0,91.3,57.4,0,0,0,0,3,11.1,1,0,0,118.8,1,0,0,65,0,20,65,0,0,0,0,0,0,65,1,44,0,3,5,0,1,0,1,3,2,3.0
Grady Jarrett,9570,DI,ATL,9,6,0,,1,0,2,0,0,63.5,65.5,68.5,59.6,65.6,45.2,6,7,0,0,,16.7,5,0,1,0.0,0,3,0,0,0,3,399,399,37,245,18,99,0,0,237,159,0,17,19,3,0,16,0,0,0,
Bobby McCain,9578,S,MIN,1,0,0,,0,0,18,0,0,45.4,43.2,67.2,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,
Michael Burton,9601,FB,DEN,1,0,0,,0,0,10,0,0,,60.0,60.1,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Quandre Diggs,9633,S,TEN,8,4,0,78.6,0,0,31,0,0,70.6,73.2,90.3,55.4,70.0,87.2,0,1,0,0,30,4.7,2,0,0,138.1,11,0,0,75,3,237,419,6,0,0,6,0,312,413,2,180,23,13,37,0,14,1,2,107,61,9.7
Rakeem Nunez-Roches,9650,DI,NYG,9,17,1,,0,0,21,0,0,56.1,50.7,67.3,55.8,51.7,46.5,2,6,0,0,,10.8,4,0,1,0.0,0,2,0,0,0,1,369,369,14,217,40,98,0,0,185,183,0,9,16,1,0,10,0,0,0,
Neville Hewitt,9836,LB,HST,5,12,0,62.5,0,1,13,0,0,75.3,72.7,6.9,67.5,64.0,54.2,1,0,0,1,12,14.3,5,1,1,34.9,5,0,0,198,1,126,212,2,0,0,2,0,0,210,8,78,11,9,18,0,8,1,0,39,33,7.8
Troy Hill,9881,CB,CAR,6,5,0,87.5,0,0,5,0,0,70.6,63.2,15.0,50.2,49.0,65.6,0,0,0,0,29,11.1,4,1,1,96.9,14,0,0,28,1,141,236,5,0,0,5,0,0,231,9,86,202,10,27,1,16,0,0,116,74,8.3
DeShawn Williams,9891,DI,CAR,6,0,0,,0,0,5,0,0,59.0,50.6,82.5,53.8,50.5,37.6,3,4,0,0,,12.5,1,0,0,0.0,0,0,0,0,0,2,147,146,4,80,29,33,0,1,96,49,0,6,7,0,0,7,0,0,0,
Alex Singleton,9994,LB,DEN,3,11,0,81.8,0,0,10,0,0,53.5,62.9,81.1,54.3,73.5,44.2,1,0,0,1,30,19.4,7,0,0,92.0,9,0,0,173,3,88,190,1,0,0,1,0,0,189,21,81,13,11,18,0,11,1,1,87,64,9.7
T.Y. McGill,10156,DI,SF,1,1,0,,0,0,28,0,0,60.0,51.4,72.9,55.8,54.2,66.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,11,11,0,11,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,
Efe Obada,10235,ED,WAS,4,1,0,,0,0,32,0,0,,50.2,80.9,49.9,53.5,72.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,53,53,0,7,44,2,0,0,22,31,0,1,2,0,0,0,0,0,0,
Joey Bosa,10637,ED,LAC,5,0,0,,0,1,27,0,0,56.7,81.2,33.2,71.4,91.0,76.5,2,2,0,0,,0.0,0,0,1,0.0,0,2,0,0,0,1,95,95,0,0,92,3,0,0,71,23,0,8,7,0,0,6,0,0,0,
Jalen Ramsey,10639,CB,MIA,8,10,1,71.4,0,0,17,0,0,82.7,83.4,45.9,57.9,85.8,52.5,2,4,0,1,33,19.4,7,1,2,90.6,15,0,0,38,278,244,456,15,0,0,15,0,1,441,20,192,124,7,19,3,21,6,1,166,73,11.1
DeForest Buckner,10641,DI,IND,4,5,0,,0,0,14,0,0,61.3,73.2,82.1,68.1,67.6,44.7,3,5,0,0,,16.7,3,0,0,0.0,0,4,0,1,0,0,162,161,2,100,7,52,0,1,91,71,0,12,10,0,0,12,0,0,0,
Leonard Floyd,10643,ED,SF,8,8,0,100.0,2,1,28,0,0,72.0,54.4,48.4,56.1,53.9,61.5,6,14,0,0,5,9.1,2,0,2,87.5,1,5,0,2,0,2,311,309,0,1,307,1,0,2,199,110,0,14,12,1,1,25,0,5,2,5.0
Eli Apple,10644,CB,LAC,1,0,0,100.0,0,0,27,0,0,76.9,76.4,76.3,,60.0,75.4,0,0,0,0,8,0.0,0,0,0,91.7,2,0,0,0,32,30,34,0,0,0,0,0,0,34,0,4,2,1,2,0,2,0,0,12,1,6.0
Sheldon Rankins,10646,DI,CIN,6,5,0,,0,0,7,0,0,71.2,58.1,83.0,62.0,47.1,31.1,0,3,0,0,,15.8,3,0,0,0.0,0,1,0,0,0,0,246,246,13,187,6,40,0,0,137,109,0,5,11,0,0,4,0,0,0,
Shaq Lawson,10653,ED,CAR,1,0,0,,0,0,5,0,0,,57.0,73.1,59.3,57.2,,0,3,0,0,,,0,0,0,0.0,0,0,0,0,0,0,14,14,0,0,14,0,0,0,7,7,0,0,0,0,0,3,0,0,0,
Artie Burns,10659,CB,SEA,1,0,0,50.0,0,0,29,0,0,74.3,68.6,72.1,,60.0,35.9,0,0,0,0,15,50.0,1,1,0,66.7,2,0,0,1,0,12,14,0,0,0,0,0,0,14,0,2,13,0,1,0,4,0,0,22,20,11.0
Kenny Clark,10661,DI,GB,9,7,0,,1,0,12,1,0,64.3,50.7,20.9,59.1,50.4,38.4,2,14,0,0,,12.5,3,0,4,0.0,0,0,0,1,0,2,393,392,18,288,5,81,0,1,231,160,0,8,14,3,0,16,0,0,0,
Emmanuel Ogbah,10666,ED,MIA,7,5,1,0.0,0,0,17,0,0,63.8,60.4,69.3,50.9,68.6,43.6,3,7,0,1,,13.6,3,0,1,0.0,0,2,0,1,0,21,300,299,0,1,291,7,0,1,153,126,0,14,14,4,1,12,0,0,0,
Chris Jones,10671,DI,KC,8,4,0,,1,0,16,0,0,66.6,89.5,35.5,91.0,58.7,64.1,7,26,0,0,,0.0,0,0,3,0.0,0,4,0,0,0,0,397,397,1,160,87,149,0,0,283,114,0,13,10,1,0,37,0,0,0,
Austin Johnson,10677,DI,BUF,8,6,0,,0,0,4,0,0,62.3,62.5,82.5,64.3,55.2,30.1,1,3,0,1,,15.4,2,0,0,0.0,0,0,0,0,0,0,162,162,12,135,0,15,0,0,91,71,0,4,5,0,0,4,0,0,0,
Jihad Ward,10678,DI,MIN,8,0,1,,0,0,18,1,0,71.9,53.1,18.7,57.6,46.2,29.5,9,7,0,0,,50.0,1,0,2,0.0,0,1,0,8,0,1,183,175,18,85,19,53,0,8,173,9,0,2,1,0,0,17,0,0,0,
A'Shawn Robinson,10680,DI,CAR,8,11,1,,0,0,5,0,0,66.4,47.8,85.2,56.5,43.8,51.6,2,9,0,0,,7.9,3,0,0,0.0,0,2,0,1,0,0,402,400,1,246,22,131,0,2,191,211,0,12,24,0,0,13,0,0,0,
Jarran Reed,10683,DI,SEA,9,9,0,,0,0,29,0,0,63.6,72.0,85.7,70.4,63.1,76.9,6,18,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,8,390,390,14,278,20,78,0,0,222,160,0,16,17,1,0,26,0,0,0,
Vonn Bell,10695,S,CIN,9,14,0,76.2,0,0,7,0,0,59.9,57.9,83.4,61.3,52.1,56.7,1,1,0,1,55,13.0,6,1,0,103.5,16,0,0,268,16,300,549,37,0,0,37,0,161,512,17,232,67,8,26,1,21,2,1,211,84,13.2
Adam Gotsis,10697,ED,IND,5,4,0,,0,0,14,0,0,63.4,64.4,20.7,52.9,70.5,46.9,2,1,0,0,,11.1,1,0,1,0.0,0,0,0,0,0,0,71,71,0,1,66,4,0,0,37,34,0,4,4,0,0,3,0,0,0,
Kevin Byard,10698,S,CHI,8,16,0,68.8,0,0,6,2,0,79.9,82.6,80.1,73.1,74.7,89.7,0,1,0,1,20,3.8,2,2,0,71.6,11,1,0,118,1,284,484,4,0,0,4,0,312,480,1,199,49,10,34,2,16,2,1,67,50,6.1
Maliek Collins,10701,DI,SF,8,1,0,,0,0,28,2,0,63.3,60.8,65.9,70.0,45.5,38.0,4,15,0,0,,20.0,3,0,2,0.0,0,4,0,0,0,1,350,350,1,184,3,162,0,0,223,126,0,8,11,0,0,23,0,0,0,
Yannick Ngakoue,10703,ED,BLT,5,1,0,,0,0,3,0,0,48.8,61.4,83.7,61.1,65.2,74.5,1,4,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,3,87,87,0,0,87,0,0,0,67,17,0,2,1,0,0,7,0,0,0,
