player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Matt Prater,3471,K,ARZ,11,0,8,6,75.0,5,5,100.0,1,86.8,0,0,,12,11,91.7,0,6,5,83.3,22,19,86.4,3,3,100.0
Nick Folk,3794,K,TEN,11,0,5,4,80.0,4,4,100.0,31,83.8,0,0,,17,17,100.0,0,8,8,100.0,23,22,95.7,6,6,100.0
Graham Gano,5443,K,NYG,8,0,4,3,75.0,6,3,50.0,21,48.7,0,0,,8,8,100.0,0,5,3,60.0,17,11,64.7,2,2,100.0
Randy Bullock,7154,K,NYG,3,0,0,0,,2,2,100.0,21,69.9,0,0,,7,7,100.0,0,1,1,100.0,3,3,100.0,0,0,
Greg Zuerlein,7163,K,NYJ,9,0,3,2,66.7,8,8,100.0,22,83.3,0,0,,8,7,87.5,0,8,8,100.0,23,22,95.7,4,4,100.0
Justin Tucker,7604,K,BLT,12,0,5,1,20.0,9,8,88.9,3,73.2,0,0,,36,35,97.2,0,6,6,100.0,26,21,80.8,6,6,100.0
Dustin Hopkins,7958,K,CLV,11,0,7,7,100.0,12,9,75.0,8,82.7,0,0,,16,15,93.8,0,5,5,100.0,31,28,90.3,7,7,100.0
Brandon McManus,8437,K,JAX,11,0,7,5,71.4,10,9,90.0,15,83.2,0,0,,23,23,100.0,0,7,7,100.0,26,23,88.5,2,2,100.0
Brett Maher,8585,K,LA,7,0,7,3,42.9,9,7,77.8,26,51.5,0,0,,13,12,92.3,0,4,4,100.0,23,17,73.9,3,3,100.0
Cairo Santos,8932,K,CHI,12,0,6,6,100.0,5,3,60.0,6,81.6,0,0,,22,21,95.5,0,9,9,100.0,25,23,92.0,5,5,100.0
Chris Boswell,8990,K,PIT,11,0,5,4,80.0,7,7,100.0,25,90.0,0,0,,15,15,100.0,0,5,5,100.0,22,21,95.5,5,5,100.0
Jason Myers,10207,K,SEA,12,0,8,4,50.0,10,8,80.0,29,60.7,0,0,,25,25,100.0,0,11,10,90.9,32,25,78.1,3,3,100.0
Wil Lutz,11096,K,DEN,10,0,4,3,75.0,3,3,100.0,10,62.1,0,0,,20,18,90.0,0,11,10,90.9,26,24,92.3,8,8,100.0
Ka'imi Fairbairn,11161,K,HST,8,0,2,1,50.0,2,2,100.0,13,72.3,0,0,,14,14,100.0,0,9,9,100.0,19,18,94.7,6,6,100.0
Jake Elliott,11908,K,PHI,11,0,7,6,85.7,3,3,100.0,24,90.7,0,0,,34,33,97.1,0,6,5,83.3,21,19,90.5,5,5,100.0
Harrison Butker,11988,K,KC,11,0,3,3,100.0,3,3,100.0,16,90.6,0,0,,28,28,100.0,0,11,11,100.0,20,20,100.0,3,3,100.0
Younghoe Koo,12042,K,ATL,11,0,3,3,100.0,7,6,85.7,2,84.2,0,0,,18,17,94.4,0,7,7,100.0,23,22,95.7,6,6,100.0
Dare Ogunbowale,12329,HB,HST,1,0,0,0,,0,0,,13,60.3,0,0,,0,0,,0,0,0,,1,1,100.0,1,1,100.0
Austin Seibert,13701,K,NYJ,1,0,0,0,,0,0,,22,62.4,0,0,,1,1,100.0,0,1,1,100.0,1,1,100.0,0,0,
Greg Joseph,22842,K,MIN,12,0,6,3,50.0,4,2,50.0,18,58.4,1,1,100.0,29,27,93.1,0,6,6,100.0,23,18,78.3,6,6,100.0
Daniel Carlson,28121,K,LV,12,0,3,1,33.3,8,7,87.5,23,67.0,0,0,,18,18,100.0,0,5,4,80.0,24,20,83.3,8,8,100.0
Jason Sanders,29578,K,MIA,11,0,4,2,50.0,6,5,83.3,17,68.8,0,0,,43,42,97.7,0,2,2,100.0,14,11,78.6,2,2,100.0
Tyler Bass,33010,K,BUF,12,0,6,4,66.7,6,4,66.7,4,70.8,0,0,,35,34,97.1,0,10,9,90.0,23,18,78.3,1,1,100.0
Chase McLaughlin,33285,K,TB,11,0,5,4,80.0,2,1,50.0,30,90.5,0,0,,19,19,100.0,0,7,7,100.0,21,19,90.5,7,7,100.0
Matt Ammendola,34039,K,HST,3,0,2,0,0.0,2,1,50.0,13,53.6,0,0,,9,9,100.0,0,1,1,100.0,6,3,50.0,1,1,100.0
Joey Slye,39235,K,WAS,12,0,4,3,75.0,8,6,75.0,32,70.7,0,0,,25,23,92.0,0,6,6,100.0,21,17,81.0,3,2,66.7
Eddy Pineiro,44140,K,CAR,11,0,6,4,66.7,7,6,85.7,5,67.2,0,0,,16,15,93.8,0,6,6,100.0,21,18,85.7,2,2,100.0
Lucas Havrisik,57498,K,LA,4,0,2,1,50.0,2,1,50.0,26,46.6,0,0,,7,6,85.7,0,1,1,100.0,7,5,71.4,2,2,100.0
Blake Grupe,57502,K,NO,11,0,8,5,62.5,9,7,77.8,20,57.6,0,0,,19,19,100.0,0,5,5,100.0,30,24,80.0,8,7,87.5
Anders Carlson,57509,K,GB,11,0,4,2,50.0,3,1,33.3,12,46.5,0,0,,23,20,87.0,0,7,7,100.0,19,15,78.9,5,5,100.0
Riley Patterson,57556,K,DET,10,0,2,1,50.0,2,2,100.0,11,67.4,0,0,,32,31,96.9,0,9,9,100.0,15,13,86.7,2,1,50.0
Matt Gay,57643,K,IND,11,0,10,7,70.0,5,4,80.0,14,87.1,0,0,,28,28,100.0,0,3,3,100.0,23,19,82.6,5,5,100.0
Cameron Dicker,77069,K,LAC,11,0,5,4,80.0,3,3,100.0,27,86.0,0,0,,30,30,100.0,0,5,5,100.0,18,17,94.4,5,5,100.0
Chad Ryland,77083,K,NE,11,0,3,1,33.3,7,5,71.4,19,42.2,0,0,,14,14,100.0,0,5,3,60.0,18,12,66.7,3,3,100.0
Evan McPherson,82583,K,CIN,11,0,10,6,60.0,6,6,100.0,7,75.8,0,0,,23,23,100.0,0,1,1,100.0,21,17,81.0,4,4,100.0
Jake Moody,82603,K,SF,11,0,3,2,66.7,4,2,50.0,28,69.2,0,0,,37,37,100.0,0,7,7,100.0,20,17,85.0,6,6,100.0
Brandon Aubrey,156112,K,DAL,12,0,5,5,100.0,1,1,100.0,9,77.9,0,0,,39,36,92.3,0,11,11,100.0,26,26,100.0,9,9,100.0
