player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Keenan Allen,7857,WR,LAC,11,123,0,27,0,-2.3,0,100.0,,0,0,0.0,0,1,0,92.0,59.5,0,9,0.0,0,48,11,100.0,48,85.6,11,8.9,0,50,75,6.8,4.5,1.04,8.0,5,78.3,20.0,1,5,6.0,3,27,2,90.2,90.6,1,36,0.7,2,281,47,93.2,262,105.5,60,48.8,2,499,192,4.1,10.6,1.9
CeeDee Lamb,61570,WR,DAL,12,119,0,9,0,-2.3,1,100.0,,0,0,0.0,0,2,0,91.4,71.3,0,8,0.0,0,36,8,100.0,36,81.8,8,6.7,0,29,47,5.9,3.6,0.81,10.3,4,71.4,37.5,3,8,6.3,3,30,0,90.8,92.2,0,49,0.0,0,274,45,94.2,258,129.0,63,52.9,5,619,224,5.0,13.8,2.4
Stefon Diggs,9579,WR,BUF,12,119,0,4,0,-2.4,10,92.3,,0,0,0.0,0,4,1,92.1,76.2,0,34,0.0,0,32,12,96.9,31,92.3,13,10.9,0,80,108,9.0,6.7,2.58,8.1,9,66.7,75.0,3,4,3.7,1,11,0,90.1,81.8,2,34,0.0,0,176,26,93.8,165,75.6,39,32.8,2,208,111,4.3,8.0,1.26
Tyreek Hill,10799,WR,MIA,11,117,0,17,0,-3.4,2,95.5,,0,0,4.5,1,8,1,90.2,91.3,0,64,0.0,0,46,21,95.7,44,96.0,22,18.8,0,155,226,10.8,7.4,3.52,7.4,6,73.3,40.0,2,5,10.8,4,17,1,63.0,93.7,2,64,0.0,0,133,33,94.0,125,81.3,45,38.5,0,396,214,6.5,12.0,3.17
Davante Adams,8688,WR,LV,12,114,0,23,0,-0.8,3,100.0,,0,0,0.0,0,1,0,90.9,57.8,0,16,0.0,0,41,6,97.6,40,130.6,6,5.3,1,35,40,6.7,5.8,0.88,9.0,1,66.7,50.0,2,4,0.0,0,4,0,76.7,74.3,0,21,0.0,0,70,8,94.3,66,91.0,12,10.5,0,96,46,5.8,12.0,1.45
Ja'Marr Chase,84270,WR,CIN,11,108,0,7,0,-2.5,9,95.0,,0,0,0.0,0,8,0,93.0,92.6,0,17,0.0,0,52,19,98.1,51,90.4,20,18.5,0,114,162,8.5,6.0,2.24,5.0,8,80.5,50.0,3,6,5.7,2,21,0,83.4,85.8,0,64,0.0,0,113,33,97.3,110,116.2,41,38.0,2,327,225,6.8,9.9,2.97
Garrett Wilson,97405,WR,NYJ,11,107,0,22,0,-1.5,1,66.7,,0,0,33.3,2,0,0,24.5,44.6,0,9,0.0,0,44,4,95.5,42,70.1,6,5.6,0,18,25,6.3,4.5,0.43,6.8,5,74.4,75.0,3,4,9.4,3,9,1,55.0,64.6,1,31,0.0,0,144,29,91.0,131,76.4,39,36.4,0,216,48,1.7,7.4,1.65
Puka Nacua,100632,WR,LA,11,106,0,26,0,-1.0,2,84.6,0.0,0,1,8.3,1,2,1,60.6,46.1,0,13,4.9,2,41,11,90.2,37,82.4,13,12.3,0,49,59,5.4,4.5,1.32,9.6,0,60.9,25.0,1,4,12.5,2,8,1,69.7,83.3,0,32,0.7,1,151,14,88.1,133,76.2,23,21.7,0,129,43,3.1,9.2,0.97
Amon-Ra St. Brown,84470,WR,DET,10,105,0,11,0,-3.3,1,91.7,,0,0,8.3,1,5,0,60.6,79.0,0,20,0.0,0,45,11,93.3,42,120.1,12,11.4,1,74,110,10.0,6.7,1.76,6.9,5,81.4,88.9,8,9,2.0,1,29,0,90.0,90.4,0,46,0.4,1,223,48,96.4,215,115.6,59,56.2,2,533,215,4.5,11.1,2.48
T.J. Hockenson,40912,TE,MIN,12,105,0,18,0,-3.5,0,100.0,,0,0,0.0,0,2,0,90.6,72.6,0,16,19.0,8,42,4,76.2,32,97.9,4,3.8,0,30,44,11.0,7.5,0.94,9.0,5,67.6,14.3,1,7,8.0,2,14,1,75.9,82.9,1,29,1.2,2,169,23,92.3,156,109.9,34,32.4,3,280,110,4.8,12.2,1.79
