"","team","opp","name","fpts","ceil","floor","proj_own","salary","rg_value","def_pass_epa_rank","off_pass_epa_rank","pass_adv","def_rush_epa_rank","off_rush_epa_rank","rush_adv","delta"
"1","BUF","NYJ","Bills",8.55,14.77,3.79,2.21,4000,-0.45,20,30,10,3,24,21,31
"2","KC","DEN","Chiefs",8.14,14.41,3.2,3.04,3900,-0.66,16,26,10,19,30,11,21
"3","DAL","HOU","Cowboys",10.7,16.86,5.54,18.83,3800,2.1,7,32,25,15,27,12,37
"4","PHI","NYG","Eagles",7.33,13.68,2.48,2.05,3700,-1.07,1,11,10,20,14,-6,4
"5","SEA","CAR","Seahawks",7.03,12.74,2.71,0.71,3600,-1.17,25,31,6,24,2,-22,-16
"6","CIN","CLE","Bengals",7.23,13.8,2.46,1.64,3500,-0.77,4,16,12,23,7,-16,-4
"7","TEN","JAX","Titans",7.35,13.46,2.54,5.32,3400,-0.45,17,17,0,1,19,18,18
"8","BAL","PIT","Ravens",7.47,13.04,3.11,3.5,3300,-0.13,6,24,18,2,10,8,26
"9","SF","TB","49ers",6.96,13.45,2.29,4.1,3200,-0.44,8,20,12,9,32,23,35
"10","MIN","DET","Vikings",5.14,10.53,0.87,0.88,3100,-2.06,24,14,-10,6,25,19,9
"11","DET","MIN","Lions",5.56,11.9,0.85,1.74,3000,-1.44,22,12,-10,28,12,-16,-26
"12","TB","SF","Buccaneers",7.12,12.92,2.21,7.96,2900,0.32,3,3,0,13,13,0,0
"13","PIT","BAL","Steelers",8.16,14.84,2.55,17.67,2800,1.56,18,18,0,18,4,-14,-14
"14","JAX","TEN","Jaguars",6.09,11.42,1.86,4.22,2700,-0.31,26,6,-20,18,16,-2,-22
"15","CLE","CIN","Browns",5.36,11.18,0.91,6.59,2600,-0.84,5,4,-1,30,22,-8,-9
"16","NYJ","BUF","Jets",4.79,9.59,0.84,1.82,2500,-1.21,11,2,-9,16,21,5,-4
"17","NYG","PHI","Giants",4.75,10.79,0.19,3.47,2400,-1.05,27,5,-22,27,1,-26,-48
"18","DEN","KC","Broncos",4.72,9.7,0.68,2.09,2300,-0.88,2,1,-1,14,11,-3,-4
"19","CAR","SEA","Panthers",5.48,10.95,1.1,10.67,2200,0.08,10,8,-2,10,20,10,8
"20","HOU","DAL","Texans",3.87,9.46,NA,1.46,2100,-1.33,28,13,-15,29,3,-26,-41
