"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"1","Scottie Scheffler",22969164,11100,90.59,0.0904,0.0961,1,0.00570000000000001,0.0631,87.44,16.2,106,69,0.8737,0.6429,0.4695,0.3195,0.1016,8.66,1,-0.53,7.76,24,0
"2","Justin Thomas",22969165,10900,96,0.0795,0.0837,2,0.0042,0.0528,90.96,22.2,113.85,71.5,0.8675,0.6226,0.4484,0.2976,0.0881,7.68,1,-0.59,8.97,31,0
"3","Rory McIlroy",22969166,10500,86.12,0.0808,0.0831,3,0.0023,0.0285,89.51,21.4,110.5,70,0.8615,0.6169,0.4444,0.2967,0.0938,7.91,1,1.31,9.12,31,0
"4","Cameron Smith",22969167,10300,87.88,0.0651,0.0715,4,0.00639999999999999,0.0983,83.16,8.9,101.5,65,0.8462,0.5763,0.4016,0.2597,0.0725,6.94,1,1.09,8.06,17,0
"5","Shane Lowry",22969168,10100,71.54,0.0432,0.0496,6,0.0064,0.1481,82.65,13.6,101,64.5,0.8221,0.5215,0.3448,0.2105,0.0536,4.91,1,-0.24,6.29,20,0
"6","Sam Burns",22969169,10000,79.34,0.0549,0.0525,5,-0.0024,-0.0437,77.01,9.7,97,53.5,0.7925,0.4717,0.303,0.1821,0.0447,5.25,1,0.43,6.53,16,0
"7","Harold Varner III",22969171,9700,66.64,0.0263,0.0249,10,-0.0014,-0.0532,71.89,7.7,93.85,31,0.75,0.3831,0.2247,0.1199,0.0244,2.57,1,-1.35,4.34,12,0
"8","Corey Conners",22969172,9600,68.38,0.037,0.04,7,0.003,0.0811,77.89,14.6,98.5,55.15,0.7881,0.4405,0.2681,0.1504,0.0331,4.17,1,0.52,6.21,21,0
"9","Tyrrell Hatton",22969173,9500,75.92,0.0298,0.0287,9,-0.0011,-0.0369,76.89,16.2,97.5,36.15,0.7573,0.4,0.2415,0.1346,0.0297,3.02,1,-0.37,5.92,22,0
"10","Tony Finau",22969174,9400,65.41,0.0303,0.0306,8,0.000299999999999998,0.0099,74.92,17.4,95.5,34,0.7743,0.4167,0.2469,0.1355,0.0287,3.26,1,0.12,5.39,23,0
"11","Adam Hadwin",22969175,9300,66.36,0.0192,0.0231,11,0.0039,0.2031,65.33,15.3,89,27.5,0.6855,0.2857,0.1502,0.0726,0.0127,2.48,1,-0.43,4.48,20,0
"12","Sebastian Munoz",22969176,9200,67.92,0.0191,0.019,12,-9.99999999999994e-05,-0.0052,66.91,9.2,90,29,0.7093,0.3195,0.1767,0.0912,0.0168,2.07,1,-0.62,4.43,14,0
"13","Chris Kirk",22969177,9100,63.92,0.0184,0.0189,13,5e-04,0.0272,73.44,16.3,94.5,32.5,0.7238,0.339,0.1862,0.0992,0.0193,2.08,1,-0.41,4.88,21,0
"14","Keith Mitchell",22969178,9000,68.06,0.0179,0.0182,14,0.000300000000000002,0.0168,64.73,10.7,88,28,0.7076,0.3195,0.1736,0.0867,0.0153,2.02,1,-0.28,4.42,15,0
"15","Patrick Reed",22969179,8900,61.42,0.0141,0.0157,15,0.0016,0.1135,58.48,9.8,84,26.5,0.6622,0.2513,0.1244,0.0577,0.0085,1.76,1,-0.36,3.57,13,0
"16","Justin Rose",22969180,8800,62.79,0.014,0.0135,17,-5e-04,-0.0357,61.35,7.2,85.5,27.5,0.6491,0.237,0.1196,0.0572,0.0093,1.53,1,-0.43,3.69,11,0
"17","Sahith Theegala",22969181,8700,65.77,0.0128,0.0126,19,-0.000200000000000001,-0.0156,58.87,8.8,83.5,26.5,0.6479,0.2326,0.1156,0.0536,0.0084,1.45,1,-0.36,3.68,12,0
"18","Jhonattan Vegas",22969182,8500,66.28,0.0134,0.0127,18,-0.000700000000000001,-0.0522,67.09,16.5,90,28.5,0.6835,0.2747,0.141,0.0681,0.0106,1.49,1,-0.07,4.63,21,0
"19","Mackenzie Hughes",22969183,8400,56.17,0.011,0.0111,22,0.000100000000000001,0.0091,53.35,9.9,79.5,25,0.6269,0.2028,0.0943,0.0429,0.0058,1.32,1,-0.13,2.8,13,0
"20","Rasmus Hojgaard",22969184,8300,70.71,0.008,0.0078,31,-0.000200000000000001,-0.025,60.1,4.5,85,26.5,0.5868,0.1761,0.0789,0.0333,0.0046,0.94,1,-0.42,4.1,9,0
"21","Brendon Todd",22969185,8200,58.06,0.0098,0.0114,20,0.0016,0.1633,59.16,7.6,84,26.5,0.6255,0.2066,0.0955,0.0425,0.0058,1.39,1,0.1,3.69,11,0
"22","C.T. Pan",22969186,8100,63.05,0.0133,0.0138,16,5e-04,0.0376,62.14,13.5,86,27,0.6454,0.2309,0.111,0.0512,0.0079,1.7,1,0.48,4.36,18,0
"23","Aaron Rai",22969187,7900,57.74,0.009,0.0087,27,-3e-04,-0.0333,63.44,8.5,86,28,0.6212,0.2075,0.0985,0.0442,0.0063,1.1,1,-0.02,3.7,12,0
"24","Mark Hubbard",22969188,7900,69.72,0.0083,0.0079,30,-0.000399999999999999,-0.0482,61.2,6.4,85.5,27,0.6269,0.2058,0.0955,0.0423,0.0055,1,1,-0.12,4.27,11,0
"25","Cameron Champ",22969189,7800,51.77,0.0089,0.0084,29,-5e-04,-0.0562,49.17,8.1,77,24.5,0.5918,0.1859,0.0869,0.0382,0.0062,1.08,1,0,2.27,10,0
"26","Adam Long",22969190,7800,56.19,0.0098,0.0092,26,-6e-04,-0.0612,53.61,6.9,80.5,25.5,0.6416,0.232,0.1167,0.0543,0.0084,1.18,1,0.1,3.01,10,0
"27","Patrick Rodgers",22969191,7700,55.29,0.0081,0.0077,32,-0.000399999999999999,-0.0494,57.87,6.1,83,26.5,0.6139,0.1961,0.0894,0.0407,0.0055,1,1,-0.04,3.18,9,0
"28","J.J. Spaun",22969192,7700,60.34,0.0117,0.0111,22,-6e-04,-0.0513,55.99,8.3,82,26,0.6429,0.2262,0.1112,0.052,0.0077,1.44,1,0.4,3.61,12,0
"29","Nick Taylor",22969193,7700,54.42,0.0066,0.0062,42,-4e-04,-0.0606,58.51,7.5,84,26.5,0.5968,0.1761,0.0781,0.0343,0.0051,0.81,1,-0.23,3.12,11,0
"30","Dean Burmester",22969194,7600,61.85,0.0061,0.0058,46,-0.000300000000000001,-0.0492,58.15,3.6,83.5,26,0.5816,0.1626,0.0714,0.0296,0.004,0.76,1,-0.24,3.5,7,0
"31","Pat Perez",22969195,7600,56.58,0.009,0.0085,28,-0.000499999999999999,-0.0556,60.88,11.6,85,27,0.6183,0.1946,0.0892,0.0386,0.0052,1.12,1,0.12,3.58,15,0
"32","Dylan Frittelli",22969196,7600,55.05,0.0116,0.0109,23,-0.000699999999999999,-0.0603,53.41,7.4,79.5,25,0.639,0.2288,0.112,0.0529,0.0086,1.43,1,0.43,3.02,10,0
"33","Austin Smotherman",22969197,7500,57.75,0.0043,0.0041,67,-2e-04,-0.0465,55.28,10.2,81,25.5,0.5392,0.1387,0.0592,0.024,0.0029,0.55,1,-0.41,2.86,13,0
"34","Tyler Duncan",22969198,7500,55.47,0.0056,0.0053,54,-3e-04,-0.0536,54.19,5.1,80,25.5,0.5556,0.1484,0.0638,0.0276,0.0039,0.71,1,-0.25,2.7,8,0
"35","Martin Laird",22969199,7500,53.86,0.0072,0.0068,39,-4e-04,-0.0556,56.39,3,81.5,26,0.5536,0.1447,0.0631,0.0251,0.0034,0.91,1,-0.05,2.9,6,0
"36","Alex Smalley",22969200,7500,55.52,0.0101,0.0096,25,-5e-04,-0.0495,58.94,5.3,83.5,26.5,0.6109,0.198,0.0931,0.0416,0.0061,1.28,1,0.32,3.47,9,0
"37","Matt Wallace",22969201,7400,46.21,0.0047,0.0046,60,-1e-04,-0.0213,48.84,6.6,76.35,24,0.4566,0.0837,0.0326,0.0126,0.0014,0.62,1,-0.29,1.72,8,0
"38","Danny Willett",22969202,7400,49.12,0.007,0.0067,40,-3e-04,-0.0429,53.63,2.7,79,25.5,0.5556,0.1458,0.0622,0.0247,0.0033,0.91,1,0,2.37,5,0
"39","Emiliano Grillo",22969203,7400,51.78,0.0061,0.0058,46,-0.000300000000000001,-0.0492,56.64,3.6,83,26,0.5745,0.1605,0.0697,0.0306,0.0044,0.78,1,-0.13,2.92,7,0
"40","John Huh",22969204,7400,55.12,0.0061,0.0058,46,-0.000300000000000001,-0.0492,54.02,2.8,80.5,25.5,0.5475,0.1408,0.0599,0.0237,0.0032,0.78,1,-0.13,2.81,6,0
"41","David Lipsky",22969205,7300,55.48,0.0082,0.0077,32,-5e-04,-0.061,63.18,7.2,87,27.5,0.6183,0.2058,0.0999,0.046,0.0075,1.05,1,0.19,3.79,11,0
"42","Stephan Jaeger",22969206,7300,49.26,0.007,0.0067,40,-3e-04,-0.0429,52.1,6,79.5,25,0.5781,0.1675,0.0756,0.0321,0.0043,0.92,1,0.06,2.47,8,0
"43","Matthias Schwab",22969207,7300,58.79,0.008,0.0075,34,-5e-04,-0.0625,62.94,8,86.5,27.5,0.5918,0.1698,0.075,0.033,0.0046,1.03,1,0.17,3.91,12,0
"44","Greyson Sigg",22969208,7300,55.62,0.0059,0.0056,50,-3e-04,-0.0508,52.37,2.4,79,25,0.5495,0.1468,0.0619,0.0255,0.0033,0.77,1,-0.09,2.69,5,0
"45","Ryan Armour",22969209,7300,47.38,0.0049,0.0046,60,-3e-04,-0.0612,57.82,4.7,83,25.5,0.537,0.1393,0.06,0.025,0.0033,0.63,1,-0.23,2.59,7,0
"46","Joseph Bramlett",22969210,7200,50.88,0.0043,0.0041,67,-2e-04,-0.0465,55.01,2,81.5,25.5,0.5495,0.1433,0.062,0.0253,0.0037,0.57,1,-0.24,2.62,5,0
"47","Nick Hardy",22969211,7200,53.43,0.0061,0.0058,46,-0.000300000000000001,-0.0492,53.94,3.6,80.5,25.5,0.5516,0.1441,0.0624,0.0263,0.0038,0.81,1,0,2.79,6,0
"48","J.T. Poston",22969212,7200,46.22,0.0078,0.0073,36,-5e-04,-0.0641,52,4.2,78.5,24.5,0.6109,0.1984,0.0932,0.042,0.0067,1.01,1,0.2,2.25,6,0
"49","Rory Sabbatini",22969213,7200,60.07,0.005,0.0048,59,-0.000200000000000001,-0.04,56.58,5.5,82,26,0.5495,0.1443,0.0626,0.0269,0.0034,0.67,1,-0.14,3.28,9,0
"50","Nate Lashley",22969214,7200,56.69,0.0078,0.0073,36,-5e-04,-0.0641,57.49,4.8,83,26,0.5851,0.1739,0.08,0.0352,0.0051,1.01,1,0.2,3.39,8,0
"51","Trey Mullinax",22969215,7100,50.16,0.0045,0.0043,64,-2e-04,-0.0444,51.14,2.3,78.5,24.5,0.5074,0.1133,0.0456,0.0185,0.0025,0.61,1,-0.15,2.28,5,0
"52","Chase Seiffert",22969216,7100,54.25,0.0053,0.005,57,-3e-04,-0.0566,52.58,3.7,79,25,0.5074,0.1101,0.0459,0.0184,0.0027,0.7,1,-0.06,2.62,6,0
"53","Brandt Snedeker",22969217,7100,44.61,0.0036,0.0034,76,-2e-04,-0.0556,51.89,3.4,78.5,25,0.463,0.0849,0.0319,0.0125,9e-04,0.48,1,-0.28,1.87,5,0
"54","Brian Stuard",22969218,7100,47.56,0.0059,0.0056,50,-3e-04,-0.0508,52.7,2.5,80,25,0.505,0.1058,0.0409,0.0153,0.0021,0.79,1,0.03,2.41,5,0
"55","Adam Svensson",22969219,7100,53.52,0.0078,0.0074,35,-0.000399999999999999,-0.0513,54.7,10.4,80.5,25.5,0.5633,0.1536,0.0678,0.03,0.0044,1.04,1,0.28,2.97,13,0
"56","Doug Ghim",22969221,7000,52.29,0.0103,0.0097,24,-6e-04,-0.0583,58.34,9.6,83.5,26,0.6377,0.2237,0.1078,0.0516,0.008,1.39,1,0.68,3.49,13,0
"57","Lee Hodges",22969222,7000,51.85,0.0061,0.0058,46,-0.000300000000000001,-0.0492,54.55,1.9,81,25,0.5413,0.1353,0.0578,0.0228,0.0027,0.83,1,0.12,2.83,5,0
"58","Peter Malnati",22969223,7000,56.79,0.0053,0.005,57,-3e-04,-0.0566,49,3.9,76.5,24.5,0.5633,0.1522,0.0669,0.0283,0.0036,0.71,1,0,2.51,6,0
"59","Andrew Novak",22969224,7000,53,0.0058,0.0055,52,-3e-04,-0.0517,55.49,1.7,81.5,25.5,0.5327,0.1287,0.0546,0.0222,0.0032,0.79,1,0.08,2.93,5,0
"60","Hank Lebioda",22969225,7000,44.25,0.0034,0.0032,78,-2e-04,-0.0588,54.6,4,81,26,0.5098,0.1116,0.0454,0.0176,0.0019,0.46,1,-0.25,2.16,6,0
"61","Scott Piercy",22969226,7000,48.76,0.0047,0.0044,62,-3e-04,-0.0638,51.28,1.6,78.5,24.5,0.5413,0.1372,0.0568,0.0229,0.003,0.63,1,-0.08,2.23,4,0
"62","Brandon Wu",22969227,6900,51.03,0.0053,0.005,57,-3e-04,-0.0566,49.24,4.7,77,24,0.5215,0.1224,0.0518,0.0202,0.0024,0.72,1,0.06,2.27,7,0
