player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,7,79,0,26,12.9,4,71.4,66.7,2,3,0.0,0,15,0,81.1,93.9,0,59,0.0,0,61,15,93.4,57,153.3,21,26.6,3,280,92,6.1,18.7,4.91,0,7.1,3,70.0,66.7,2,3,12.5,4,13,0,46.5,73.0,3,43,0.7,1,137,28,95.6,131,64.0,40,50.6,0,334,176,6.3,11.9,2.55
D.J. Moore,48267,WR,CAR,7,72,0,5,7.8,0,68.2,57.1,4,7,0.0,0,10,0,81.1,77.0,1,39,0.0,0,88,15,93.2,82,85.4,22,30.6,1,160,92,6.1,10.7,1.95,0,13.9,4,59.5,66.7,2,3,12.0,3,15,1,51.6,69.2,1,29,0.0,0,169,22,95.3,161,76.6,37,51.4,0,322,109,5.0,14.6,2.0
Tyreek Hill,10799,WR,KC,7,72,0,16,10.9,0,63.6,20.0,1,5,12.5,2,11,1,51.2,74.4,1,18,0.0,0,83,14,88.0,73,78.6,22,30.6,1,144,36,2.6,10.3,1.97,0,10.4,5,75.7,0.0,0,2,6.7,2,17,0,65.8,75.6,0,75,0.0,0,159,28,95.6,152,127.1,37,51.4,2,390,123,4.4,13.9,2.57
Davante Adams,8688,WR,GB,7,72,0,12,10.6,1,59.1,50.0,2,4,0.0,0,10,0,80.0,83.0,1,50,0.0,0,75,13,92.0,69,83.1,22,30.6,1,188,40,3.1,14.5,2.72,0,12.4,3,78.6,50.0,3,6,0.0,0,21,0,88.7,92.7,1,59,0.0,0,128,33,96.1,123,111.6,42,58.3,1,473,174,5.3,14.3,3.85
Terry McLaurin,48229,WR,WAS,7,68,0,32,15.9,0,47.6,50.0,8,16,0.0,0,7,0,78.7,79.4,1,40,0.0,0,75,10,93.3,70,93.5,21,30.9,3,161,9,0.9,16.1,2.3,0,11.6,6,70.0,69.2,9,13,3.4,1,18,0,76.1,77.3,1,37,0.0,0,180,28,92.8,167,97.7,40,58.8,1,378,141,5.0,13.5,2.26
Travis Kelce,7844,TE,KC,7,64,0,16,10.4,1,52.6,100.0,2,2,0.0,0,7,0,78.7,78.5,2,28,3.6,3,84,10,83.3,70,48.0,19,29.7,1,110,45,4.5,11.0,1.57,0,7.4,9,73.5,50.0,1,2,0.0,0,18,0,86.1,84.5,2,46,2.8,5,179,25,91.6,164,89.6,34,53.1,1,334,194,7.8,13.4,2.04
Brandin Cooks,8655,WR,HST,7,63,0,13,10.0,1,68.2,66.7,4,6,11.8,2,7,0,51.2,63.8,0,40,0.0,0,88,15,90.9,80,102.1,22,34.9,1,148,34,2.3,9.9,1.85,0,13.9,1,74.3,42.9,3,7,0.0,0,12,0,86.1,74.5,0,52,0.0,0,131,26,91.6,120,99.9,35,55.6,0,302,54,2.1,11.6,2.52
Mike Evans,8642,WR,TB,7,58,0,30,13.0,0,62.5,80.0,4,5,6.3,1,11,0,66.7,73.3,0,46,0.0,0,102,15,95.1,97,128.5,24,41.4,5,200,30,2.0,13.3,2.06,0,13.6,1,66.7,66.7,2,3,10.0,2,12,0,55.9,63.9,0,26,0.0,0,141,18,97.2,137,107.6,27,46.6,1,244,57,3.2,13.6,1.78
Deebo Samuel,48274,WR,SF,6,58,0,28,14.0,0,44.4,40.0,2,5,20.0,1,3,0,28.6,63.5,0,79,0.0,0,35,4,91.4,32,128.2,9,15.5,1,117,63,15.8,29.3,3.66,0,7.3,4,73.2,66.7,4,6,9.1,3,19,2,60.5,85.9,1,76,0.0,0,139,30,95.0,132,118.2,41,70.7,2,483,243,8.1,16.1,3.66
Marquise Brown,61568,WR,BLT,7,57,0,3,7.4,1,57.1,,0,0,0.0,0,2,0,72.1,61.3,1,42,0.0,0,52,4,92.3,48,84.2,7,12.3,1,58,41,10.3,14.5,1.21,0,18.4,3,64.1,50.0,2,4,3.8,1,14,0,74.2,79.5,1,49,0.0,0,169,25,97.0,164,111.9,39,68.4,3,388,87,3.5,15.5,2.37
Jakobi Meyers,47468,WR,NE,7,57,0,19,10.8,0,68.0,60.0,3,5,5.6,1,11,0,69.0,76.9,0,27,1.0,1,96,17,90.6,87,91.8,25,43.9,0,198,65,3.8,11.6,2.28,0,6.7,2,78.6,87.5,7,8,4.3,1,6,0,61.3,65.4,0,24,2.0,3,149,22,94.0,140,92.4,28,49.1,0,173,38,1.7,7.9,1.24
Justin Jefferson,61398,WR,MIN,6,57,0,18,13.2,0,81.8,75.0,3,4,5.3,1,18,0,68.7,92.0,0,37,0.0,0,79,18,93.7,74,149.1,22,38.6,2,282,70,3.9,15.7,3.81,0,10.7,5,66.7,16.7,1,6,4.8,1,6,1,71.5,68.9,0,34,0.0,0,146,20,94.5,138,91.4,30,52.6,0,243,129,6.5,12.2,1.76
Jaylen Waddle,84088,WR,MIA,7,56,0,17,7.4,4,82.4,50.0,1,2,6.7,1,12,0,64.4,81.8,0,36,0.0,0,81,14,95.1,77,146.7,17,30.4,3,165,71,5.1,11.8,2.14,0,5.3,4,74.3,50.0,1,2,10.3,3,10,1,54.9,65.9,3,19,0.0,0,171,26,94.7,162,51.8,35,62.5,0,198,115,4.4,7.6,1.22
Keenan Allen,7857,WR,LAC,6,56,0,27,10.2,1,71.4,50.0,3,6,11.8,2,13,1,52.8,80.4,1,42,0.0,0,82,15,90.2,74,83.6,21,37.5,0,211,53,3.5,14.1,2.85,0,7.6,2,70.0,50.0,2,4,12.5,3,8,0,51.6,66.5,0,30,0.0,0,156,21,95.5,149,87.1,30,53.6,0,192,87,4.1,9.1,1.29
Courtland Sutton,48164,WR,DEN,7,56,0,10,19.0,0,70.6,75.0,3,4,0.0,0,9,0,80.0,82.7,0,39,0.0,0,65,12,93.8,61,132.6,17,30.4,1,214,31,2.6,17.8,3.51,0,16.1,0,67.9,40.0,2,5,0.0,0,13,0,83.2,74.7,1,33,0.0,0,158,19,97.5,154,75.9,28,50.0,0,216,48,2.5,11.4,1.4
Stefon Diggs,9579,WR,BUF,6,55,0,4,11.3,1,56.5,12.5,1,8,7.1,1,9,0,64.4,79.6,2,37,1.4,1,70,13,90.0,63,55.9,23,41.8,1,157,27,2.1,12.1,2.49,0,12.6,2,76.0,80.0,4,5,0.0,0,13,0,83.6,73.9,0,41,0.0,0,132,19,95.5,126,114.3,25,45.5,1,213,35,1.8,11.2,1.69
Chris Godwin,11839,WR,TB,7,54,0,30,9.4,1,70.0,33.3,1,3,0.0,0,13,0,80.6,82.6,0,28,0.0,0,99,14,96.0,95,137.3,20,37.0,2,209,112,8.0,14.9,2.2,0,9.9,6,87.0,100.0,2,2,9.1,2,13,1,58.1,67.3,0,26,0.7,1,151,20,96.7,146,107.1,23,42.6,0,223,89,4.5,11.2,1.53
Mike Williams,11762,WR,LAC,6,53,0,27,9.6,0,53.3,50.0,3,6,11.1,1,4,0,56.7,70.0,0,20,0.0,0,68,8,89.7,61,110.8,15,28.3,2,89,12,1.5,11.1,1.46,0,13.4,2,61.8,37.5,3,8,16.0,4,15,0,39.1,74.6,0,43,0.0,0,126,21,96.0,121,101.6,34,64.2,1,312,122,5.8,14.9,2.58
Darren Waller,9637,TE,LV,6,52,0,23,13.1,2,50.0,25.0,1,4,7.7,1,10,0,63.2,74.9,1,33,7.7,8,104,12,87.5,91,73.6,24,46.2,1,192,62,5.2,16.0,2.11,0,7.9,0,77.3,100.0,1,1,15.0,3,5,0,41.9,62.2,0,23,6.4,7,110,17,90.9,100,97.2,22,42.3,0,162,68,4.0,9.5,1.62
Calvin Ridley,48262,WR,ATL,5,51,0,2,8.3,0,63.6,33.3,1,3,12.5,1,5,0,52.5,66.4,1,20,0.0,0,41,7,92.7,38,72.5,11,21.6,1,66,32,4.6,9.4,1.74,0,12.0,3,56.3,22.2,2,9,10.0,2,9,0,57.1,63.6,0,22,0.0,0,134,18,94.8,127,74.1,32,62.7,0,193,50,2.8,10.7,1.52
DeVonta Smith,61100,WR,PHI,7,51,0,24,14.2,0,41.7,0.0,0,4,16.7,1,4,1,52.1,59.7,0,18,0.0,0,88,5,89.8,79,85.4,12,23.5,1,60,12,2.4,12.0,0.76,0,14.0,3,68.4,25.0,2,8,3.7,1,16,0,75.7,75.9,1,37,0.0,0,173,26,93.6,162,85.0,38,74.5,0,336,95,3.7,12.9,2.07
T.J. Hockenson,40912,TE,DET,7,51,0,11,7.7,0,80.0,50.0,1,2,0.0,0,6,0,77.3,69.2,0,22,5.8,4,69,8,84.1,58,139.6,10,19.6,1,95,40,5.0,11.9,1.64,0,7.4,5,74.2,75.0,3,4,0.0,0,11,0,85.7,70.0,1,33,2.5,4,158,23,91.1,144,76.8,31,60.8,0,196,77,3.3,8.5,1.36
Ja'Marr Chase,84270,WR,CIN,7,50,0,7,14.3,7,81.8,40.0,2,5,0.0,0,15,1,83.2,92.0,1,82,0.0,0,76,18,94.7,72,139.4,22,44.0,3,400,166,9.2,22.2,5.56,0,17.6,1,63.6,66.7,2,3,12.5,2,8,0,49.6,68.5,1,53,0.0,0,121,14,93.4,113,114.2,22,44.0,2,252,73,5.2,18.0,2.23
D'Andre Swift,57212,HB,DET,7,50,0,11,-0.3,3,77.8,,0,0,12.5,1,4,0,52.1,69.6,0,63,19.6,10,51,7,68.6,35,158.3,9,18.0,2,126,140,20.0,18.0,3.6,0,0.4,9,82.1,0.0,0,1,4.2,1,8,0,61.3,72.9,1,21,12.9,18,140,23,80.7,113,78.4,28,56.0,0,179,183,8.0,7.8,1.58
Diontae Johnson,33441,WR,PIT,5,50,0,25,9.0,0,46.2,50.0,1,2,0.0,0,3,0,49.7,50.7,0,14,0.0,0,56,6,96.4,54,53.0,13,26.0,0,38,36,6.0,6.3,0.7,0,11.5,4,69.6,50.0,2,4,0.0,0,9,0,82.2,74.0,2,45,0.0,0,85,16,92.9,79,68.0,23,46.0,1,164,52,3.3,10.3,2.08
Mike Gesicki,47153,TE,MIA,7,49,0,17,8.9,0,47.1,25.0,2,8,0.0,0,5,0,76.5,67.9,0,12,2.8,2,72,8,91.7,66,76.1,17,34.7,1,62,13,1.6,7.8,0.94,0,9.6,2,88.5,100.0,1,1,0.0,0,14,0,85.3,74.5,1,32,2.1,3,144,23,92.4,133,98.2,26,53.1,0,297,79,3.4,12.9,2.23
Robert Woods,7822,WR,LA,7,49,0,26,7.8,1,100.0,100.0,1,1,0.0,0,8,0,77.3,75.2,0,22,1.7,1,58,8,91.4,53,158.3,8,16.3,2,116,55,6.9,14.5,2.19,0,8.5,0,64.3,0.0,0,4,14.3,3,12,0,43.5,65.6,0,25,3.1,4,130,18,93.1,121,87.6,28,57.1,0,215,78,4.3,11.9,1.78
D.K. Metcalf,47864,WR,SEA,7,49,0,29,12.1,3,53.3,20.0,1,5,0.0,0,4,0,76.5,78.7,0,28,0.0,0,46,8,93.5,43,96.2,15,30.6,1,99,39,4.9,12.4,2.3,0,10.7,5,84.6,100.0,1,1,0.0,0,17,1,84.5,85.3,0,84,0.0,0,132,22,94.7,125,158.3,26,53.1,4,384,148,6.7,17.5,3.07
Mark Andrews,47436,TE,BLT,7,49,0,3,8.2,0,64.3,50.0,1,2,0.0,0,6,0,80.0,89.6,0,24,0.0,0,52,9,92.3,48,109.8,14,28.6,1,102,32,3.6,11.3,2.13,0,12.0,1,80.0,83.3,5,6,0.0,0,18,1,85.3,83.4,0,28,2.6,4,156,24,94.9,148,116.2,30,61.2,0,357,86,3.6,14.9,2.41
Hunter Renfrow,47509,WR,LV,7,48,0,23,8.8,3,62.5,0.0,0,1,0.0,0,6,0,78.0,73.4,0,25,0.0,0,81,10,93.8,76,84.1,16,33.3,0,115,57,5.7,11.5,1.51,0,5.7,3,84.6,0.0,0,1,8.3,2,8,0,60.5,74.3,0,25,0.0,0,98,22,94.9,93,101.6,26,54.2,0,218,92,4.2,9.9,2.34
Robby Anderson,11254,WR,CAR,7,47,0,5,12.6,1,29.4,0.0,0,2,16.7,1,3,0,45.8,51.8,0,18,0.0,0,88,5,93.2,82,39.6,17,36.2,0,40,9,1.8,8.0,0.49,0,12.6,2,42.3,16.7,1,6,26.7,4,5,0,28.7,54.5,2,57,0.0,0,163,11,95.1,155,42.6,26,55.3,1,153,57,5.2,13.9,0.99
CeeDee Lamb,61570,WR,DAL,6,47,0,9,15.1,2,53.8,50.0,1,2,0.0,0,6,0,75.6,84.2,0,49,0.0,0,64,7,89.1,57,134.9,13,27.7,4,151,54,7.7,21.6,2.65,0,10.5,2,72.0,100.0,1,1,10.0,2,13,0,56.9,73.6,2,44,0.7,1,134,18,89.6,120,68.4,25,53.2,0,238,86,4.8,13.2,1.98
Noah Fant,42388,TE,DEN,7,47,0,10,7.9,1,63.6,0.0,0,2,0.0,0,5,0,75.6,71.0,0,14,7.0,4,57,7,89.5,51,117.8,11,23.4,2,61,31,4.4,8.7,1.2,0,6.5,2,77.4,33.3,1,3,4.0,1,8,0,73.7,70.3,0,26,9.7,15,154,24,87.7,135,97.0,31,66.0,0,226,97,4.0,9.4,1.67
