tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"McIlroy, Rory",10091,10500,0.2134,1,3,0,0,5,94.0,30,132.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Finau, Tony",11676,9400,0.1313,2,6,3,0,0,91.5,20,120.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Rose, Justin",6093,8800,0.0598,T4,3,0,0,0,100.0,16,119.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Thomas, Justin",14139,10900,0.1504,3,6,3,0,5,83.5,18,115.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Burns, Sam",19483,10000,0.1421,T4,3,0,0,5,80.0,16,104.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Conners, Corey",17576,9600,0.1864,6,3,3,0,0,79.0,12,97.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Lowry, Shane",13900,10100,0.1441,T10,6,0,0,5,77.5,7,95.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Kirk, Chris",12423,9100,0.0976,T7,3,3,0,5,72.5,10,93.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Clark, Wyndham",23604,6900,0.0514,T7,0,3,0,0,79.0,10,92.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Fitzpatrick, Matt",17646,9900,0.1771,T10,6,0,0,0,77.5,7,90.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Mitchell, Keith",17365,9000,0.0855,T7,3,0,0,0,76.0,10,89.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Cook, Austin",18579,6300,0.001,T13,6,3,0,0,72.5,6,87.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Kraft, Kelly",15852,6600,0.0019,T13,6,3,0,0,72.0,6,87.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Lee, Danny",11826,6600,0.0485,T10,0,0,0,5,73.0,7,85.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Varner III, Harold",16602,9700,0.0825,T13,6,0,0,0,72.5,6,84.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Rai, Aaron",18554,7900,0.1239,T13,6,0,0,0,71.5,6,83.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Smalley, Alex",18474,7500,0.0593,T21,3,3,0,0,71.5,4,81.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Piercy, Scott",7899,7000,0.0139,T21,3,0,0,0,74.0,4,81.0
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Rodgers, Patrick",16283,7700,0.0926,T18,0,0,0,0,75.5,5,80.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Blixt, Jonas",8182,6200,0.0016,T28,3,0,0,0,74.5,3,80.5
pga,2022,2022,RBC Canadian Open,32,draftkings,PGA TOUR $300K Drive the Green [$50K to 1st],"Scheffler, Scottie",18417,11100,0.1632,T18,3,0,0,0,71.5,5,79.5
