,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Hofstra,2022-01-22 12:00:00,-180,11.11,-4.0,18.18,142.5,19.05,62.1,73.3,69.3
Northeastern,2022-01-22 12:00:00,155,31.00,4.0,18.18,142.5,17.39,37.9,69.3,73.3
Maryland-Baltimore County,2022-01-22 12:00:00,-275,7.27,-6.5,18.18,134.5,18.18,70.1,70.5,64.0
Maine,2022-01-22 12:00:00,220,44.00,6.5,18.18,134.5,18.18,29.9,64.0,70.5
Rutgers,2022-01-22 12:00:00,105,21.00,1.5,19.05,131.5,19.05,46.8,65.0,66.5
Minnesota,2022-01-22 12:00:00,-125,16.00,-1.5,17.39,131.5,17.39,53.2,66.5,65.0
West Virginia,2022-01-22 12:00:00,280,56.00,8.0,18.18,131.5,18.18,25.1,61.8,69.8
Texas Tech,2022-01-22 12:00:00,-365,5.48,-8.0,18.18,131.5,18.18,74.9,69.8,61.8
Syracuse,2022-01-22 12:00:00,500,100.00,11.5,19.05,154.0,17.39,16.0,71.3,82.8
Duke,2022-01-22 12:00:00,-720,2.78,-11.5,17.39,154.0,19.05,84.0,82.8,71.3
Virginia Tech,2022-01-22 12:00:00,-240,8.33,-6.0,18.18,128.0,18.18,67.6,67.0,61.0
Boston College,2022-01-22 12:00:00,195,39.00,6.0,18.18,128.0,18.18,32.4,61.0,67.0
Seton Hall,2022-01-22 12:00:00,-135,14.81,-2.0,17.39,156.5,19.05,55.3,79.3,77.3
St. John's,2022-01-22 12:00:00,115,23.00,2.0,19.05,156.5,17.39,44.7,77.3,79.3
Villanova,2022-01-22 12:00:00,-1000,2.00,-14.0,19.05,139.5,18.18,87.2,76.8,62.8
Georgetown,2022-01-22 12:00:00,650,130.00,14.0,17.39,139.5,18.18,12.8,62.8,76.8
Northern Kentucky,2022-01-22 12:00:00,-800,2.50,-12.5,18.18,124.0,20.00,85.2,68.3,55.8
IUPUI,2022-01-22 12:00:00,550,110.00,12.5,18.18,124.0,16.67,14.8,55.8,68.3
George Washington,2022-01-22 12:30:00,800,160.00,15.0,19.05,134.0,17.39,10.6,59.5,74.5
Rhode Island,2022-01-22 12:30:00,-1375,1.45,-15.0,17.39,134.0,19.05,89.4,74.5,59.5
Elon,2022-01-22 13:00:00,340,68.00,9.0,17.39,142.0,18.18,21.7,66.5,75.5
Delaware,2022-01-22 13:00:00,-450,4.44,-9.0,19.05,142.0,18.18,78.3,75.5,66.5
Massachusetts-Lowell,2022-01-22 13:00:00,175,35.00,4.5,18.18,131.0,18.18,34.9,63.3,67.8
New Hampshire,2022-01-22 13:00:00,-210,9.52,-4.5,18.18,131.0,18.18,65.1,67.8,63.3
Vanderbilt,2022-01-22 13:00:00,220,44.00,6.5,18.18,138.5,18.18,29.9,66.0,72.5
Florida,2022-01-22 13:00:00,-275,7.27,-6.5,18.18,138.5,18.18,70.1,72.5,66.0
Kentucky,2022-01-22 13:00:00,150,30.00,4.0,17.39,149.5,18.18,38.8,72.8,76.8
Auburn,2022-01-22 13:00:00,-170,11.76,-4.0,19.05,149.5,18.18,61.2,76.8,72.8
Valparaiso,2022-01-22 13:00:00,150,30.00,3.5,20.00,138.0,17.39,38.8,67.3,70.8
Indiana State,2022-01-22 13:00:00,-170,11.76,-3.5,16.67,138.0,19.05,61.2,70.8,67.3
Chattanooga,2022-01-22 13:00:00,-220,9.09,-5.5,17.39,146.0,18.18,65.8,75.8,70.3
VMI,2022-01-22 13:00:00,180,36.00,5.5,19.05,146.0,18.18,34.2,70.3,75.8
Oakland,2022-01-22 13:00:00,-450,4.44,-8.5,18.18,138.5,18.18,78.3,73.5,65.0
Wisconsin-Green Bay,2022-01-22 13:00:00,340,68.00,8.5,18.18,138.5,18.18,21.7,65.0,73.5
Lehigh,2022-01-22 13:00:00,310,62.00,8.5,17.39,134.0,18.18,23.3,62.8,71.3
Boston University,2022-01-22 13:00:00,-410,4.88,-8.5,19.05,134.0,18.18,76.7,71.3,62.8
Army,2022-01-22 13:30:00,270,54.00,8.0,18.18,133.5,18.18,25.8,62.8,70.8
Navy,2022-01-22 13:30:00,-350,5.71,-8.0,18.18,133.5,18.18,74.2,70.8,62.8
Coastal Carolina,2022-01-22 14:00:00,180,36.00,5.5,18.18,143.0,19.05,34.2,68.8,74.3
Georgia State,2022-01-22 14:00:00,-220,9.09,-5.5,18.18,143.0,17.39,65.8,74.3,68.8
UNC-Wilmington,2022-01-22 14:00:00,400,80.00,10.0,18.18,135.5,18.18,19.1,62.8,72.8
Towson,2022-01-22 14:00:00,-550,3.64,-10.0,18.18,135.5,18.18,80.9,72.8,62.8
William & Mary,2022-01-22 14:00:00,850,170.00,15.0,18.18,141.0,16.67,10.1,63.0,78.0
Drexel,2022-01-22 14:00:00,-1500,1.33,-15.0,18.18,141.0,20.00,89.9,78.0,63.0
Brown,2022-01-22 14:00:00,-525,3.81,-10.0,18.18,143.0,18.18,80.3,76.5,66.5
Columbia,2022-01-22 14:00:00,385,77.00,10.0,18.18,143.0,18.18,19.7,66.5,76.5
Harvard,2022-01-22 14:00:00,-130,15.38,-1.5,16.67,154.5,18.18,54.3,78.0,76.5
Cornell,2022-01-22 14:00:00,110,22.00,1.5,20.00,154.5,18.18,45.7,76.5,78.0
Colorado State,2022-01-22 14:00:00,-575,3.48,-10.5,17.39,131.5,20.00,81.3,71.0,60.5
Air Force,2022-01-22 14:00:00,410,82.00,10.5,19.05,131.5,16.67,18.7,60.5,71.0
Southern Mississippi,2022-01-22 14:00:00,800,160.00,15.5,17.39,135.0,20.00,10.6,59.8,75.3
Middle Tennessee St.,2022-01-22 14:00:00,-1375,1.45,-15.5,19.05,135.0,16.67,89.4,75.3,59.8
Oklahoma State,2022-01-22 14:00:00,290,58.00,8.5,18.18,126.0,19.05,24.5,58.8,67.3
Texas,2022-01-22 14:00:00,-380,5.26,-8.5,18.18,126.0,17.39,75.5,67.3,58.8
Florida State,2022-01-22 14:00:00,120,24.00,2.0,20.00,147.0,18.18,43.8,72.5,74.5
Miami,2022-01-22 14:00:00,-140,14.29,-2.0,16.67,147.0,18.18,56.2,74.5,72.5
Gardner-Webb,2022-01-22 14:00:00,155,31.00,3.5,19.05,144.0,19.05,37.9,70.3,73.8
Winthrop,2022-01-22 14:00:00,-180,11.11,-3.5,17.39,144.0,17.39,62.1,73.8,70.3
UNC-Asheville,2022-01-22 14:00:00,105,21.00,2.0,19.05,134.0,18.18,46.8,66.0,68.0
Radford,2022-01-22 14:00:00,-125,16.00,-2.0,17.39,134.0,18.18,53.2,68.0,66.0
Davidson,2022-01-22 14:00:00,-575,3.48,-10.5,18.18,136.5,20.00,81.3,73.5,63.0
Fordham,2022-01-22 14:00:00,410,82.00,10.5,18.18,136.5,16.67,18.7,63.0,73.5
Bowling Green,2022-01-22 14:00:00,-280,7.14,-6.5,18.18,153.0,18.18,70.5,79.8,73.3
Western Michigan,2022-01-22 14:00:00,225,45.00,6.5,18.18,153.0,18.18,29.5,73.3,79.8
Tulane,2022-01-22 14:00:00,230,46.00,7.0,17.39,139.5,16.67,29.0,66.3,73.3
Central Florida,2022-01-22 14:00:00,-290,6.90,-7.0,19.05,139.5,20.00,71.0,73.3,66.3
Princeton,2022-01-22 14:00:00,-170,11.76,-3.5,17.39,133.0,17.39,61.2,68.3,64.8
Dartmouth,2022-01-22 14:00:00,150,30.00,3.5,19.05,133.0,19.05,38.8,64.8,68.3
Bucknell,2022-01-22 14:00:00,-110,18.18,-1.5,19.05,145.5,19.05,50.0,73.5,72.0
Holy Cross,2022-01-22 14:00:00,-110,18.18,1.5,17.39,145.5,17.39,50.0,72.0,73.5
American,2022-01-22 14:00:00,350,70.00,9.5,18.18,130.5,18.18,21.2,60.5,70.0
Loyola (MD),2022-01-22 14:00:00,-475,4.21,-9.5,18.18,130.5,18.18,78.8,70.0,60.5
Kennesaw State,2022-01-22 14:15:00,-110,18.18,-1.0,20.00,151.5,17.39,50.0,76.3,75.3
Lipscomb,2022-01-22 14:15:00,-110,18.18,1.0,16.67,151.5,19.05,50.0,75.3,76.3
St. Joseph's,2022-01-22 14:30:00,500,100.00,11.5,19.05,136.5,20.00,16.0,62.5,74.0
VCU,2022-01-22 14:30:00,-720,2.78,-11.5,17.39,136.5,16.67,84.0,74.0,62.5
Appalachian State,2022-01-22 15:00:00,100,20.00,1.5,18.18,131.0,17.39,47.8,64.8,66.3
Georgia Southern,2022-01-22 15:00:00,-120,16.67,-1.5,18.18,131.0,19.05,52.2,66.3,64.8
South Alabama,2022-01-22 15:00:00,-180,11.11,-4.0,17.39,147.0,19.05,62.1,75.5,71.5
Louisiana-Monroe,2022-01-22 15:00:00,155,31.00,4.0,19.05,147.0,17.39,37.9,71.5,75.5
Texas-Arlington,2022-01-22 15:00:00,-165,12.12,-3.5,18.18,136.0,18.18,60.4,69.8,66.3
Arkansas-Little Rock,2022-01-22 15:00:00,145,29.00,3.5,18.18,136.0,18.18,39.6,66.3,69.8
Texas State,2022-01-22 15:00:00,-115,17.39,-1.0,18.18,138.0,18.18,51.1,69.5,68.5
Arkansas State,2022-01-22 15:00:00,-105,19.05,1.0,18.18,138.0,18.18,48.9,68.5,69.5
San Jose State,2022-01-22 15:00:00,600,120.00,13.0,19.05,141.0,19.05,13.7,64.0,77.0
UNLV,2022-01-22 15:00:00,-900,2.22,-13.0,17.39,141.0,17.39,86.3,77.0,64.0
UNC-Charlotte,2022-01-22 15:00:00,160,32.00,4.5,18.18,145.0,18.18,37.0,70.3,74.8
Rice,2022-01-22 15:00:00,-190,10.53,-4.5,18.18,145.0,18.18,63.0,74.8,70.3
South Dakota State,2022-01-22 15:00:00,,,,,,,,,
Western Illinois,2022-01-22 15:00:00,,,,,,,,,
Baylor,2022-01-22 15:00:00,-150,13.33,-2.5,17.39,136.5,18.18,58.0,69.5,67.0
Oklahoma,2022-01-22 15:00:00,130,26.00,2.5,19.05,136.5,18.18,42.0,67.0,69.5
Grand Canyon,2022-01-22 15:00:00,-120,16.67,-1.5,18.18,134.0,16.67,52.2,67.8,66.3
Sam Houston,2022-01-22 15:00:00,100,20.00,1.5,18.18,134.0,20.00,47.8,66.3,67.8
Longwood,2022-01-22 15:00:00,-145,13.79,-2.5,18.18,127.5,17.39,57.1,65.0,62.5
Presbyterian,2022-01-22 15:00:00,125,25.00,2.5,18.18,127.5,19.05,42.9,62.5,65.0
Detroit,2022-01-22 15:00:00,-110,18.18,-1.0,19.05,142.0,18.18,50.0,71.5,70.5
Wisconsin-Milwaukee,2022-01-22 15:00:00,-110,18.18,1.0,17.39,142.0,18.18,50.0,70.5,71.5
Alcorn State,2022-01-22 15:00:00,-105,19.05,1.0,18.18,132.0,17.39,48.9,65.5,66.5
Florida A&M,2022-01-22 15:00:00,-115,17.39,-1.0,18.18,132.0,19.05,51.1,66.5,65.5
New Mexico State,2022-01-22 15:00:00,-105,19.05,1.0,18.18,142.5,18.18,48.9,70.8,71.8
Stephen F. Austin,2022-01-22 15:00:00,-115,17.39,-1.0,18.18,142.5,18.18,51.1,71.8,70.8
Georgia,2022-01-22 15:30:00,385,77.00,10.0,18.18,143.0,16.67,19.7,66.5,76.5
South Carolina,2022-01-22 15:30:00,-525,3.81,-10.0,18.18,143.0,20.00,80.3,76.5,66.5
Northern Illinois,2022-01-22 15:30:00,,,,,,,,,
Miami (OH),2022-01-22 15:30:00,,,,,,,,,
Mississippi Valley St.,2022-01-22 15:30:00,550,110.00,12.5,18.18,146.5,20.00,14.8,67.0,79.5
Grambling,2022-01-22 15:30:00,-800,2.50,-12.5,18.18,146.5,16.67,85.2,79.5,67.0
Missouri State,2022-01-22 15:30:00,,,,,,,,,
Loyola-Chicago,2022-01-22 15:30:00,,,,,,,,,
College of Charleston,2022-01-22 16:00:00,140,28.00,3.0,19.05,156.5,16.67,40.4,76.8,79.8
James Madison,2022-01-22 16:00:00,-160,12.50,-3.0,17.39,156.5,20.00,59.6,79.8,76.8
Montana,2022-01-22 16:00:00,-240,8.33,-5.5,17.39,135.5,18.18,67.6,70.5,65.0
Northern Arizona,2022-01-22 16:00:00,195,39.00,5.5,19.05,135.5,18.18,32.4,65.0,70.5
Idaho State,2022-01-22 16:00:00,950,190.00,16.0,19.05,136.0,17.39,9.1,60.0,76.0
Southern Utah,2022-01-22 16:00:00,-1750,1.14,-16.0,17.39,136.0,19.05,90.9,76.0,60.0
Omaha,2022-01-22 16:00:00,220,44.00,6.5,18.18,148.5,19.05,29.9,71.0,77.5
Denver,2022-01-22 16:00:00,-275,7.27,-6.5,18.18,148.5,17.39,70.1,77.5,71.0
California Baptist,2022-01-22 16:00:00,310,62.00,9.0,18.18,142.5,20.00,23.3,66.8,75.8
Abilene Christian,2022-01-22 16:00:00,-410,4.88,-9.0,18.18,142.5,16.67,76.7,75.8,66.8
UC Irvine,2022-01-22 16:00:00,-220,9.09,-5.0,18.18,136.0,18.18,65.8,70.5,65.5
Long Beach State,2022-01-22 16:00:00,180,36.00,5.0,18.18,136.0,18.18,34.2,65.5,70.5
Mississippi,2022-01-22 16:00:00,460,92.00,11.5,16.67,133.0,19.05,17.1,60.8,72.3
Mississippi State,2022-01-22 16:00:00,-650,3.08,-11.5,20.00,133.0,17.39,82.9,72.3,60.8
Marshall,2022-01-22 16:00:00,130,26.00,3.5,17.39,150.0,16.67,42.0,73.3,76.8
Florida Atlantic,2022-01-22 16:00:00,-150,13.33,-3.5,19.05,150.0,20.00,58.0,76.8,73.3
UAB,2022-01-22 16:00:00,-120,16.67,-1.5,18.18,144.5,18.18,52.2,73.0,71.5
Louisiana Tech,2022-01-22 16:00:00,100,20.00,1.5,18.18,144.5,18.18,47.8,71.5,73.0
Yale,2022-01-22 16:00:00,-115,17.39,-1.5,20.00,146.0,18.18,51.1,73.8,72.3
Pennsylvania,2022-01-22 16:00:00,-105,19.05,1.5,16.67,146.0,18.18,48.9,72.3,73.8
SIU-Edwardsville,2022-01-22 16:00:00,,,,,,,,,
Morehead State,2022-01-22 16:00:00,,,,,,,,,
Citadel,2022-01-22 16:00:00,260,52.00,7.5,18.18,154.5,18.18,26.5,73.5,81.0
E. Tennessee State,2022-01-22 16:00:00,-335,5.97,-7.5,18.18,154.5,18.18,73.5,81.0,73.5
Kansas,2022-01-22 16:00:00,-265,7.55,-6.0,17.39,138.0,18.18,69.6,72.0,66.0
Kansas State,2022-01-22 16:00:00,215,43.00,6.0,19.05,138.0,18.18,30.4,66.0,72.0
TCU,2022-01-22 16:00:00,225,45.00,6.5,19.05,128.5,17.39,29.5,61.0,67.5
Iowa State,2022-01-22 16:00:00,-280,7.14,-6.5,17.39,128.5,19.05,70.5,67.5,61.0
Lamar,2022-01-22 16:00:00,950,190.00,16.0,18.18,132.5,18.18,9.1,58.3,74.3
Utah Valley,2022-01-22 16:00:00,-1750,1.14,-16.0,18.18,132.5,18.18,90.9,74.3,58.3
Virginia,2022-01-22 16:00:00,110,22.00,2.0,18.18,127.5,20.00,45.7,62.8,64.8
North Carolina State,2022-01-22 16:00:00,-130,15.38,-2.0,18.18,127.5,16.67,54.3,64.8,62.8
Notre Dame,2022-01-22 16:00:00,125,25.00,2.5,19.05,139.5,18.18,42.9,68.5,71.0
Louisville,2022-01-22 16:00:00,-145,13.79,-2.5,17.39,139.5,18.18,57.1,71.0,68.5
Charleston Southern,2022-01-22 16:00:00,215,43.00,6.0,19.05,146.5,16.67,30.4,70.3,76.3
USC Upstate,2022-01-22 16:00:00,-265,7.55,-6.0,17.39,146.5,20.00,69.6,76.3,70.3
High Point,2022-01-22 16:00:00,-130,15.38,-2.0,18.18,127.0,18.18,54.3,64.5,62.5
Hampton,2022-01-22 16:00:00,110,22.00,2.0,18.18,127.0,18.18,45.7,62.5,64.5
South Carolina State,2022-01-22 16:00:00,140,28.00,3.5,18.18,140.0,19.05,40.4,68.3,71.8
Maryland-Eastern Shore,2022-01-22 16:00:00,-160,12.50,-3.5,18.18,140.0,17.39,59.6,71.8,68.3
Howard,2022-01-22 16:00:00,-160,12.50,-3.5,18.18,152.0,18.18,59.6,77.8,74.3
Morgan State,2022-01-22 16:00:00,140,28.00,3.5,18.18,152.0,18.18,40.4,74.3,77.8
SE Louisiana,2022-01-22 16:00:00,290,58.00,8.0,18.18,150.5,16.67,24.5,71.3,79.3
Nicholls State,2022-01-22 16:00:00,-380,5.26,-8.0,18.18,150.5,20.00,75.5,79.3,71.3
Austin Peay,2022-01-22 16:00:00,120,24.00,3.0,17.39,141.0,18.18,43.8,69.0,72.0
Tennessee State,2022-01-22 16:00:00,-140,14.29,-3.0,19.05,141.0,18.18,56.2,72.0,69.0
