player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Drake London,86519,WR,USC,6,9.8,14,72.7,66.7,18,27,0,11.1,8,39,326,0,58.7,74.9,89.7,,90.2,0.8,2,2,39,0.0,0,254,3,64,94.5,240,12.2,31,111.6,88,5,87.0,221,832,278,4.3,13.0,3.47
Calvin Austin III,61418,WR,MEMPHIS,6,11.5,9,65.8,15.4,2,13,0,5.9,3,32,218,0,75.4,77.3,87.8,,88.6,0.0,0,1,75,0.0,0,227,0,48,92.1,209,11.0,25,135.2,73,8,89.0,202,833,424,8.8,17.4,3.99
Josh Downs,122832,WR,N CAROLINA,6,9.6,5,70.0,33.3,3,9,0,7.5,4,33,245,0,70.2,80.9,82.3,,83.3,0.0,0,2,63,0.0,0,248,2,49,94.8,235,96.8,240,126.0,70,7,0.8,2,741,451,9.2,15.1,3.15
Jerreth Sterns,102597,WR,W KENTUCKY,5,6.2,7,84.6,55.6,5,9,0,3.5,2,33,346,0,83.7,78.2,84.1,76.2,83.9,0.0,0,1,72,0.9,2,235,0,55,95.3,224,92.3,217,143.3,65,7,6.8,16,735,413,7.5,13.4,3.28
Jahan Dotson,84375,WR,PENN STATE,6,11.6,5,68.3,50.0,2,4,0,0.0,0,25,266,0,91.3,82.5,80.6,,79.6,0.0,0,3,52,0.0,0,222,0,43,93.7,208,24.3,54,103.5,63,6,75.7,168,494,209,4.9,11.5,2.38
Jalen Cropper,97273,WR,FRESNO ST,6,8.8,13,71.0,42.9,3,7,0,0.0,0,21,169,2,91.4,27.5,80.3,,78.4,0.0,0,2,86,0.0,0,216,0,44,95.8,207,95.4,206,122.7,62,9,4.6,10,526,305,6.9,12.0,2.54
Calvin Turner Jr.,109028,WR,HAWAII,6,11.7,10,50.8,14.3,1,7,0,18.4,7,21,180,0,36.6,83.5,72.6,73.6,69.0,1.2,3,3,35,0.8,2,254,0,31,94.9,241,68.9,175,62.3,61,2,25.2,64,401,220,7.1,12.9,1.66
Deven Thompkins,84480,WR,UTAH ST,5,15.0,1,63.9,33.3,5,15,0,4.9,2,21,329,0,77.3,73.5,75.8,,77.4,0.0,0,1,75,0.0,0,224,1,39,96.4,216,87.1,195,114.4,61,4,10.7,24,644,203,5.2,16.5,2.98
Will Sheppard,124360,WR,VANDERBILT,6,9.5,10,51.7,26.7,4,15,0,11.4,4,17,333,0,59.3,72.1,63.7,,63.9,0.0,0,3,38,0.0,0,247,1,31,95.5,236,6.5,16,58.5,60,2,93.5,231,333,147,4.7,10.7,1.41
Trey McBride,75916,TE,COLO STATE,5,7.5,3,72.9,42.9,6,14,0,4.4,2,28,144,0,79.4,73.3,89.4,74.8,92.6,74.9,137,0,29,3.3,6,183,6,43,94.0,172,17.5,32,101.1,59,1,7.7,14,462,227,5.3,10.7,2.69
