player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Malcolm Jenkins,4937,S,NO,16,629,0,20,3,8.6,50.0,89.5,18.5,9.3,0,2,9.1,52.6,1,31,14.3,2,2,50.4,11,221,35.1,247,1,9,22,0,135,75,0.7,12.3,0,2,5.1,86.7,94.8,13.1,11.4,0,2,6.7,68.2,0,26,2.9,1,2,117.5,26,361,57.4,381,16,31,30,2,206,86,0.6,7.9
Jason McCourty,5127,S,MIA,7,190,0,17,0,8.1,62.5,97.0,18.4,11.5,0,3,37.5,78.8,0,23,0.0,0,3,75.5,5,97,51.1,100,2,5,8,0,41,19,0.4,8.2,0,2,12.3,100.0,98.8,26.0,26.0,0,0,0.0,63.2,0,25,0.0,0,0,118.8,3,80,42.1,81,0,3,3,0,45,8,0.6,15.0
Steve McLendon,5232,DI,TB,12,3,0,30,0,,,0.0,,,0,0,,63.4,0,,0.0,0,0,0.0,0,0,0.0,34,2,2,0,0,0,0,,,0,0,,,1.8,,,0,0,,65.2,1,,0.0,0,0,0.0,0,2,66.7,111,0,1,0,0,0,0,0.0,
Ndamukong Suh,5527,DI,TB,17,8,0,30,1,,,0.0,,,0,0,,60.0,0,,33.3,1,0,0.0,0,0,0.0,132,1,1,0,0,0,0,,,0,0,3.0,100.0,1.2,4.0,4.0,1,0,0.0,57.3,0,5,0.0,0,0,87.5,1,4,50.0,325,6,2,1,0,5,2,1.3,5.0
Joe Haden,5532,CB,PIT,12,400,0,25,3,11.8,70.6,100.0,8.1,5.7,0,2,11.8,53.5,0,37,0.0,0,2,137.9,12,103,25.8,103,2,7,17,2,154,47,1.6,12.8,0,1,11.7,57.7,100.0,15.5,9.0,0,3,11.5,65.5,0,14,18.8,3,3,95.2,15,245,61.3,245,4,12,26,2,121,48,0.5,8.1
Jason Pierre-Paul,5540,ED,TB,12,49,0,30,0,,,1.0,,,0,0,,52.8,0,,25.0,1,0,0.0,0,1,2.0,98,3,3,0,0,0,0,0.0,,0,2,3.2,100.0,14.4,4.4,4.4,0,0,0.0,65.5,0,24,25.0,5,0,140.7,9,41,83.7,285,5,13,9,1,80,51,2.0,8.9
Kareem Jackson,5545,S,DEN,15,531,0,10,0,9.2,63.6,99.1,30.9,19.6,0,1,9.1,66.5,1,14,24.0,6,1,34.3,7,225,42.4,227,2,19,11,0,45,26,0.2,6.4,0,0,5.4,85.7,100.0,12.1,10.4,0,0,0.0,41.7,0,17,4.8,1,0,102.1,12,153,28.8,153,3,20,14,0,119,74,0.8,9.9
Devin McCourty,5552,S,NE,17,589,0,19,1,7.8,50.0,99.2,81.0,40.5,2,2,33.3,63.3,1,13,6.7,1,2,23.6,3,256,43.5,258,0,13,6,0,28,7,0.1,9.3,0,6,16.4,46.7,98.6,39.7,18.5,0,5,33.3,73.9,1,33,5.0,1,5,43.2,7,291,49.4,295,0,13,15,0,108,25,0.4,15.4
Jerry Hughes,5556,ED,BUF,17,20,0,4,0,14.0,0.0,4.1,,5.0,0,0,0.0,72.0,0,,50.0,1,0,39.6,0,5,25.0,123,2,1,1,0,0,0,0.0,,0,2,0.0,66.7,6.3,5.5,3.7,0,0,0.0,46.3,0,18,33.3,1,0,84.0,2,12,60.0,191,1,0,3,0,19,11,1.7,9.5
Carlos Dunlap,5579,ED,SEA,17,44,0,29,1,,,1.5,,,0,0,,60.6,0,,0.0,0,0,0.0,0,1,2.3,67,3,1,0,0,0,0,,,0,0,3.3,100.0,16.7,11.0,11.0,0,0,0.0,55.4,0,12,0.0,0,0,90.3,3,35,79.5,209,4,4,3,0,17,7,0.5,5.7
Corey Peters,5607,DI,ARZ,14,6,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,43,0,0,0,0,0,0,,,0,0,,,5.5,,,0,0,,53.8,0,,,0,0,0.0,0,6,100.0,110,0,0,0,0,0,0,0.0,
Everson Griffen,5624,ED,MIN,9,8,0,18,0,,,0.0,,,0,0,,,0,,100.0,2,0,0.0,0,0,0.0,101,1,0,0,0,0,0,,,0,0,3.0,100.0,5.1,7.0,7.0,0,0,0.0,65.1,0,5,0.0,0,0,87.5,1,8,100.0,158,3,1,1,0,5,2,0.7,5.0
Al Woods,5646,DI,SEA,16,7,0,29,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,28,0,0,0,0,0,0,,,0,2,5.0,100.0,3.1,7.0,7.0,0,0,0.0,54.4,0,10,0.0,0,0,108.3,1,7,100.0,225,2,0,1,0,10,5,1.4,10.0
Anthony Levine,6013,S,BLT,2,21,0,3,0,24.0,100.0,77.8,3.0,3.0,0,0,0.0,29.8,0,52,0.0,0,0,118.8,2,7,33.3,9,0,2,2,0,59,11,9.8,29.5,0,0,9.3,66.7,90.0,4.5,3.0,0,1,33.3,65.6,0,11,0.0,0,1,77.1,2,9,42.9,10,1,1,3,0,14,15,1.6,7.0
Andrew Sendejo,6118,S,IND,11,399,0,14,1,16.3,25.0,92.9,83.0,20.8,1,1,25.0,63.7,0,31,0.0,0,1,59.4,1,91,22.8,98,0,3,4,0,31,2,0.4,31.0,0,3,10.4,44.4,98.3,54.8,24.3,0,2,22.2,61.8,0,18,25.0,4,2,91.4,4,229,57.4,233,3,9,9,1,33,28,0.2,8.3
Von Miller,6154,ED,LA,15,52,0,26,0,,,3.4,,,0,0,,79.6,0,,0.0,0,0,0.0,0,5,9.6,145,6,2,0,0,0,0,0.0,,0,1,0.7,100.0,15.0,10.3,10.3,0,1,33.3,91.7,0,7,12.5,1,1,80.6,3,33,63.5,220,6,6,3,0,10,8,0.3,3.3
Patrick Peterson,6157,CB,MIN,13,548,0,18,1,8.1,60.0,100.0,16.8,10.1,0,0,0.0,55.0,0,18,0.0,0,0,82.5,6,113,20.6,113,0,2,10,0,73,37,0.7,12.2,0,0,11.4,67.6,100.0,11.7,7.9,0,2,5.4,54.7,1,77,15.4,4,1,111.1,25,305,55.7,305,6,22,37,3,328,151,1.1,13.1
J.J. Watt,6163,DI,ARZ,7,4,0,1,0,,,0.0,,,0,0,,,0,,100.0,2,0,0.0,0,0,0.0,62,0,0,0,0,0,0,,,0,0,,,3.3,,,0,0,,59.1,0,,0.0,0,0,0.0,0,4,100.0,122,1,1,0,0,0,0,0.0,
Robert Quinn,6166,ED,CHI,16,43,0,6,0,,,2.8,,,0,0,,73.8,0,,50.0,1,0,0.0,0,4,9.3,145,7,1,0,0,0,0,0.0,,0,2,4.0,33.3,19.0,27.0,9.0,0,0,0.0,69.4,0,-4,20.0,1,0,42.4,1,33,76.7,174,7,2,3,0,-4,0,-0.1,-4.0
Ryan Kerrigan,6168,ED,PHI,16,2,0,24,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,29,0,0,0,0,0,0,,,0,0,,,0.8,,,0,0,,66.9,0,,0.0,0,0,0.0,0,1,50.0,122,1,1,0,0,0,0,0.0,
Cameron Jordan,6176,ED,NO,16,12,0,20,0,,,3.6,,,0,0,,78.8,0,,0.0,0,0,0.0,0,7,58.3,192,8,3,0,0,0,0,0.0,,0,1,,,1.3,,,0,0,,82.7,0,,0.0,0,0,0.0,0,4,33.3,320,9,1,0,0,0,0,0.0,
Jimmy Smith,6179,CB,BLT,10,188,0,3,1,7.5,54.5,100.0,8.5,4.6,0,1,9.1,43.3,0,11,20.0,1,1,69.1,6,56,29.8,56,0,3,11,0,57,33,1.1,9.5,0,0,21.8,25.0,97.5,78.0,19.5,0,0,0.0,74.5,0,3,40.0,2,0,39.6,1,79,42.0,81,1,3,4,0,3,3,0.0,3.0
Justin Houston,6222,ED,BLT,15,27,0,3,1,,,6.4,,,0,0,,74.4,0,,0.0,0,0,0.0,0,11,40.7,171,2,0,0,0,0,0,0.0,,0,1,0.0,100.0,7.7,13.0,13.0,1,1,100.0,83.8,0,29,40.0,2,1,118.8,1,13,48.1,168,4,2,1,0,29,29,2.2,29.0
K.J. Wright,6251,LB,LV,17,202,0,23,0,4.0,100.0,92.9,12.0,12.0,0,0,0.0,40.0,0,16,0.0,0,0,158.3,2,26,12.9,28,0,1,2,1,30,22,1.3,15.0,0,5,2.4,92.9,99.4,11.2,10.4,0,0,0.0,66.0,0,29,7.7,1,0,100.9,13,156,77.2,157,3,7,14,0,115,81,0.8,8.8
Buster Skrine,6289,CB,TEN,6,160,0,31,0,14.9,28.6,100.0,19.5,5.6,0,1,14.3,72.1,0,11,0.0,0,1,39.6,2,42,26.3,42,0,1,7,0,17,2,0.4,8.5,0,2,13.1,78.6,96.3,8.9,7.0,0,0,0.0,55.1,1,41,13.3,2,0,80.1,11,104,65.0,108,5,11,14,0,145,40,1.5,13.2
Richard Sherman,6306,CB,TB,5,117,0,30,0,6.0,85.7,100.0,6.7,5.7,0,0,0.0,44.2,1,24,50.0,2,0,76.5,6,44,37.6,44,1,2,7,0,83,48,2.1,13.8,0,0,9.5,62.5,95.6,12.4,7.8,0,0,0.0,58.1,0,16,20.0,2,0,77.1,5,65,55.6,68,2,8,8,0,44,2,0.7,8.8
Pernell McPhee,6317,ED,BLT,10,13,0,3,0,,,8.3,,,0,0,,63.6,0,,,0,0,0.0,0,5,38.5,60,1,0,0,0,0,0,0.0,,0,0,0.0,100.0,12.7,7.0,7.0,0,0,0.0,50.5,0,8,33.3,1,0,100.0,1,7,53.8,55,1,2,1,0,8,8,1.1,8.0
Malcolm Smith,6394,LB,CLV,15,245,0,8,1,2.0,60.0,84.5,14.7,8.8,0,1,20.0,63.7,0,17,0.0,0,1,72.9,3,49,20.0,58,1,2,5,0,25,21,0.6,8.3,0,1,1.9,88.0,94.9,6.5,5.8,0,2,8.0,83.5,2,18,18.8,3,2,61.7,22,150,61.2,158,9,12,25,0,170,144,1.2,7.7
Chris Harris Jr.,6457,CB,LAC,14,454,0,27,0,10.9,50.0,96.4,13.3,6.7,0,1,5.6,51.0,0,28,0.0,0,0,101.9,9,132,29.1,137,2,10,18,2,91,28,0.8,10.1,0,0,9.4,72.7,95.9,12.3,8.9,0,1,4.5,66.9,1,44,17.6,3,1,83.5,16,209,46.0,218,2,14,22,0,210,66,1.1,13.1
Josh Bynes,6503,LB,BLT,14,269,0,3,1,5.6,80.0,77.4,14.0,11.2,0,1,20.0,73.1,0,14,0.0,0,1,132.9,4,65,24.2,84,2,3,5,1,32,19,0.6,8.0,0,5,5.0,81.8,94.4,8.1,6.6,1,1,4.5,53.0,0,38,8.3,2,1,101.3,18,152,56.5,161,7,17,22,0,183,95,1.3,10.2
Mario Addison,6558,ED,BUF,17,16,0,4,0,1.0,100.0,6.0,6.0,6.0,0,0,0.0,65.9,0,6,33.3,1,0,91.7,1,7,43.8,116,3,2,1,0,6,5,1.0,6.0,0,0,1.0,100.0,5.2,9.0,9.0,0,0,0.0,60.8,0,10,80.0,4,0,108.3,1,9,56.3,173,5,1,1,0,10,9,1.1,10.0
Stephon Gilmore,7016,CB,CAR,8,172,0,5,0,9.5,40.0,100.0,15.5,6.2,0,1,10.0,82.1,2,14,0.0,0,0,42.9,4,68,39.5,68,1,3,10,1,33,9,0.5,8.3,0,0,7.8,90.0,100.0,8.8,7.9,1,0,0.0,75.2,0,23,0.0,0,0,105.0,9,83,48.3,83,3,6,10,0,92,28,1.2,10.2
Michael Brockers,7020,DI,DET,16,2,0,11,0,,,1.3,,,0,0,,60.0,0,,0.0,0,0,0.0,0,1,50.0,78,2,1,0,0,0,0,0.0,,0,1,,,0.6,,,0,0,,59.0,0,,0.0,0,0,0.0,0,1,50.0,177,1,1,0,0,0,0,0.0,
Bruce Irvin,7021,ED,CHI,6,4,0,6,0,,,2.9,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,35,0,0,0,0,0,0,0.0,,0,0,1.0,100.0,10.3,3.0,3.0,0,0,0.0,63.5,0,7,0.0,0,0,95.8,1,3,75.0,29,0,1,1,0,7,6,2.3,7.0
Dre Kirkpatrick,7023,CB,SF,3,45,0,28,0,8.0,0.0,100.0,,9.0,0,0,0.0,48.0,0,,,0,0,39.6,0,11,24.4,11,0,0,1,0,0,0,0.0,,0,0,13.0,80.0,100.0,7.3,5.8,0,0,0.0,46.3,0,28,0.0,0,0,158.3,4,29,64.4,29,2,5,5,1,74,17,2.6,18.5
Melvin Ingram III,7024,ED,KC,15,36,0,16,0,,,2.4,,,0,0,,62.2,0,,,0,0,0.0,0,3,8.3,125,1,0,0,0,0,0,0.0,,0,1,4.0,100.0,13.1,5.6,5.6,0,0,0.0,40.1,0,13,0.0,0,0,105.8,5,29,80.6,221,2,1,5,0,47,27,1.7,9.4
Chandler Jones,7027,ED,ARZ,15,45,0,1,0,,,2.0,,,0,0,,61.3,0,,100.0,1,0,0.0,0,3,6.7,147,3,0,0,0,0,0,0.0,,0,0,2.7,83.3,13.5,8.0,6.7,0,0,0.0,49.0,0,17,0.0,0,0,111.8,5,40,88.9,296,4,3,6,0,65,44,1.6,13.0
Dont'a Hightower,7030,LB,NE,15,242,0,19,1,1.8,100.0,57.2,14.5,14.5,0,0,0.0,65.7,0,10,12.5,1,0,127.8,6,91,37.6,159,3,6,6,1,31,26,0.4,5.2,0,2,4.1,92.3,80.7,5.3,4.9,0,0,0.0,39.3,0,23,14.3,3,0,105.0,24,134,55.4,166,3,16,26,0,239,139,1.9,10.0
Whitney Mercilus,7031,ED,GB,10,3,0,12,0,,,6.4,,,0,0,,62.1,0,,,0,0,0.0,0,3,100.0,47,1,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,111,0,0,0,0,0,0,,
Jackrabbit Jenkins,7043,CB,TEN,14,602,0,31,0,11.1,60.6,100.0,8.6,5.2,0,4,12.1,58.2,0,29,0.0,0,3,85.0,20,185,30.7,185,5,15,33,1,177,42,1.0,8.9,0,5,11.5,65.9,99.7,12.2,8.0,0,0,0.0,57.7,0,54,17.9,5,0,118.3,27,347,57.6,348,5,18,41,3,364,124,1.1,13.5
