player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Quinton Bell,37468,ED,ATL,3,0,0,2,57.3,0,0,22,76.7,9.1,2,0,0.0,0,30,23,0,0,62.4,0,0,12,70.6,16.7,2,0.0,0,17,12,0
Darryl Johnson,37479,ED,SEA,3,0,0,29,49.1,0,0,19,84.6,0.0,0,0,0.0,0,26,22,0,0,51.8,0,0,7,88.9,0.0,0,0.0,0,9,8,0
Derrek Tuszka,37724,ED,LAC,6,0,0,27,50.6,0,1,16,55.2,0.0,0,0,3.1,0,29,16,1,0,55.3,0,0,3,42.9,0.0,0,0.0,0,7,3,0
Troy Reeder,38268,LB,LAC,1,0,0,27,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Bryan Mone,38461,DI,SEA,9,0,0,29,63.5,1,3,74,100.0,8.1,6,2,2.7,0,80,80,4,0,64.6,0,1,20,100.0,15.0,3,2.5,0,23,23,1
Casey Toohill,38472,ED,WAS,8,0,0,32,57.3,5,6,80,91.8,13.8,11,0,6.9,0,97,89,11,0,51.7,2,3,39,95.7,12.8,5,6.4,0,47,45,5
Marquise Copeland,38540,DI,LA,8,0,0,26,59.6,0,1,46,100.0,6.5,3,0,1.1,0,46,46,1,0,63.4,0,0,8,100.0,12.5,1,0.0,0,8,8,0
Folorunso Fatukasi,38558,DI,JAX,7,3,0,15,66.5,0,10,108,100.0,11.1,12,2,4.6,0,115,115,10,1,58.3,0,5,40,100.0,12.5,5,6.3,0,43,43,5
Eric Wilson,38587,LB,GB,1,0,0,12,73.0,0,0,2,14.3,50.0,1,1,50.0,1,14,2,1,0,77.9,0,0,0,0.0,,1,,1,8,0,1
Cullen Gillaspia,38844,HB,SEA,1,0,0,29,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Tershawn Wharton,40292,DI,KC,5,0,0,16,58.3,3,1,98,92.0,5.1,5,0,3.1,1,113,104,5,0,64.8,2,1,46,94.2,8.7,4,5.4,1,52,49,4
