player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Justin Pugh,7800,G,ARZ,5,0,1,52.5,0,8,162,100.0,100.0,97.5,0,8,0,173,173,30.3,0,5,47,100.0,100.0,94.7,5,0,52,52
Trent Williams,5529,T,SF,5,1,28,82.8,1,5,159,100.0,100.0,98.1,1,6,0,170,170,81.9,1,3,71,100.0,100.0,97.2,4,0,78,78
Ben Bartch,84236,G,JAX,5,0,15,66.0,4,3,157,100.0,100.0,97.8,0,7,0,166,166,40.3,3,3,64,100.0,100.0,95.3,6,0,69,69
Nate Davis,46808,G,TEN,6,0,31,66.8,1,3,153,100.0,100.0,98.0,1,5,1,166,166,43.9,1,3,58,100.0,100.0,94.8,5,1,64,64
Thayer Munford,59994,T,LV,8,0,23,70.2,1,7,154,100.0,100.0,96.8,1,9,1,162,162,67.1,0,6,73,100.0,100.0,94.5,7,1,78,78
Saahdiq Charles,59820,G,WAS,5,0,32,27.4,2,13,147,100.0,100.0,94.2,1,16,1,158,158,17.3,2,9,63,100.0,100.0,89.7,12,1,70,70
David Quessenberry,7957,T,BUF,6,0,4,61.9,2,9,150,100.0,100.0,95.0,1,13,2,157,157,51.1,2,9,69,100.0,100.0,90.6,12,1,74,74
Duane Brown,4340,T,NYJ,5,0,22,69.0,0,7,149,100.0,100.0,97.7,1,7,0,154,154,55.6,0,5,56,100.0,100.0,95.5,5,0,58,58
David Edwards,35941,G,LA,4,0,26,27.8,3,4,151,100.0,100.0,95.7,0,10,3,152,152,15.7,3,3,70,100.0,100.0,92.9,8,2,71,71
Lucas Patrick,11435,G,CHI,7,0,6,30.8,2,12,138,100.0,100.0,93.5,0,16,2,146,146,33.9,1,9,57,100.0,100.0,89.5,11,1,59,59
George Fant,11282,T,NYJ,3,0,22,42.1,3,7,138,100.0,100.0,94.2,1,13,3,146,146,55.2,2,5,69,100.0,100.0,92.0,9,2,73,73
Sean Harlow,11891,C,ARZ,4,1,1,27.9,1,10,138,100.0,100.0,94.6,1,13,2,144,144,34.1,0,4,62,100.0,100.0,93.5,6,2,64,64
Billy Price,46795,C,ARZ,3,0,1,58.9,0,1,128,100.0,100.0,96.5,0,5,4,143,143,46.4,0,1,58,100.0,100.0,94.0,4,3,63,63
Will Clapp,39386,C,LAC,3,0,27,71.0,2,2,135,100.0,100.0,98.5,0,4,0,143,143,63.3,2,2,75,100.0,100.0,97.3,4,0,81,81
Tyler Larsen,9304,C,WAS,4,0,32,39.3,4,9,132,100.0,100.0,95.1,0,13,0,138,138,40.7,2,6,60,100.0,100.0,93.3,8,0,66,66
Calvin Throckmorton,28238,G,NO,4,0,20,31.4,1,8,133,100.0,100.0,95.9,0,10,1,137,137,23.1,1,6,75,100.0,100.0,94.0,8,1,76,76
Cody Ford,39805,G,ARZ,3,1,1,44.3,1,9,120,100.0,100.0,95.0,1,11,1,135,135,22.5,1,7,54,100.0,100.0,90.7,9,1,59,59
Zach Tom,55443,G,GB,4,0,12,73.7,1,2,117,100.0,100.0,97.9,0,4,1,133,133,64.3,1,2,46,100.0,100.0,96.7,3,0,51,51
Dennis Kelly,7146,T,IND,3,0,14,56.4,4,8,125,100.0,100.0,95.2,1,12,0,133,133,49.7,4,5,69,100.0,100.0,93.5,9,0,73,73
Dan Skipper,12307,G,DET,5,0,11,31.4,0,9,123,99.2,99.3,94.7,0,11,2,133,134,24.7,0,7,62,100.0,100.0,92.7,8,1,66,66
Quinn Meinerz,112915,G,DEN,4,0,10,52.1,1,2,127,100.0,100.0,97.2,0,5,2,132,132,47.2,1,2,62,100.0,100.0,94.4,5,2,66,66
Connor McGovern,41714,G,DAL,6,0,9,54.7,2,6,123,100.0,100.0,95.9,0,9,1,131,131,48.2,1,5,48,100.0,100.0,91.7,7,1,52,52
Jeremiah Kolone,46167,C,LA,3,0,26,19.8,5,8,127,100.0,100.0,94.9,0,13,0,130,130,14.6,3,6,61,100.0,100.0,92.6,9,0,63,63
Nick Leverett,27699,G,TB,3,0,30,77.9,0,1,118,100.0,100.0,99.6,0,1,0,129,129,79.8,0,0,55,100.0,100.0,100.0,0,0,61,61
Bernhard Raimann,77948,T,IND,5,1,14,52.8,1,7,116,100.0,100.0,94.8,3,10,2,127,127,53.2,0,5,67,100.0,100.0,93.3,7,2,73,73
Patrick Mekari,46219,T,BLT,8,0,3,75.5,1,6,118,100.0,100.0,96.2,0,8,1,126,126,60.8,0,6,46,100.0,100.0,91.3,7,1,51,51
Coleman Shelton,39316,C,LA,4,0,26,69.4,0,4,125,100.0,100.0,97.6,0,5,1,126,126,72.5,0,2,57,100.0,100.0,96.5,3,1,58,58
Cody Whitehair,10690,G,CHI,5,0,6,67.9,0,5,118,100.0,100.0,97.9,0,5,0,125,125,47.0,0,5,40,100.0,100.0,93.7,5,0,43,43
Brian Allen,46104,C,LA,3,0,26,49.6,2,0,117,100.0,100.0,97.4,0,4,2,122,122,24.2,2,0,47,100.0,100.0,93.6,4,2,50,50
Ronnie Stanley,10640,T,BLT,5,0,3,92.0,0,2,117,100.0,100.0,99.1,0,2,0,120,120,89.5,0,1,48,100.0,100.0,99.0,1,0,49,49
Bradley Bozeman,27934,C,CAR,4,0,5,53.9,0,0,113,100.0,100.0,99.1,0,1,1,118,118,46.0,0,0,35,100.0,100.0,97.1,1,1,38,38
Rashawn Slater,59971,T,LAC,3,0,27,72.8,1,1,110,100.0,100.0,98.2,1,3,1,113,113,61.3,1,0,46,100.0,100.0,96.7,2,1,48,48
Matt Farniok,41585,G,DAL,6,0,9,31.4,6,7,105,97.2,97.4,93.8,0,13,0,112,115,10.5,5,7,48,100.0,100.0,87.5,12,0,50,50
Billy Turner,8702,T,DEN,3,0,10,53.9,0,4,105,100.0,100.0,97.1,0,5,1,109,109,42.0,0,4,55,100.0,100.0,94.5,5,1,58,58
Hjalte Froholdt,44959,G,CLV,4,0,8,59.1,0,2,101,100.0,99.1,97.0,0,4,2,109,110,49.8,0,1,50,100.0,98.2,95.0,3,2,54,55
Marcus Cannon,6290,T,NE,5,0,19,48.6,0,10,99,100.0,100.0,93.9,0,11,1,106,106,47.0,0,7,50,100.0,100.0,91.0,8,1,54,54
