"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Rory McIlroy",22420069,11500,88.55,79.97,20.3,103,61.43,0.7446,0.0263,0.5433,0.4409,0.2925,0.1846,0.1284,0.0524,5,0.2594,83,4.56,0.84,0.13,20,2022-05-08,"Wells Fargo"
"2","Tony Finau",22420070,10600,66.31,66.29,12.6,86.5,27.5,0.6401,0.0135,0.3707,0.2714,0.1544,0.0838,0.0518,0.0181,41,0.1003,50.5,1.71,-1.42,-0.21,12,2022-05-08,"Wells Fargo"
"3","Abraham Ancer",22420071,10400,67.36,56.62,9.9,79.5,25,0.673,0.0159,0.4217,0.3181,0.1851,0.1025,0.0648,0.0245,56,0.0861,38.5,2.36,-0.67,-0.1,10,2022-05-08,"Wells Fargo"
"4","Corey Conners",22420072,10100,72.46,72.69,30.1,91.5,34.35,0.7366,0.0224,0.5161,0.4112,0.2617,0.1578,0.1063,0.0428,21,0.2843,55,4.24,1.34,0.2,30,2022-05-08,"Wells Fargo"
"5","Tyrrell Hatton",22420074,9900,78.41,62.87,10.8,84.5,26.5,0.623,0.0145,0.3537,0.258,0.1447,0.0775,0.0488,0.017,37,0.1248,56.5,1.72,-1.1,-0.16,11,2022-05-08,"Wells Fargo"
"6","Marc Leishman",22420075,9700,77.92,58.94,8.9,80.5,25.5,0.5806,0.0097,0.297,0.2068,0.1099,0.0558,0.0345,0.0114,100,0.108,32.5,1.18,-1.56,-0.23,9,2022-05-08,"Wells Fargo"
"7","Keegan Bradley",22420076,9600,69.12,64.22,14.6,84,27.5,0.6573,0.016,0.4005,0.2978,0.1722,0.0961,0.0614,0.0216,2,0.1096,95,2.25,-0.45,-0.07,15,2022-05-08,"Wells Fargo"
"8","Russell Henley",22420077,9300,81.81,64.91,27.4,85.5,27.5,0.7264,0.0196,0.4853,0.3784,0.2329,0.1355,0.0902,0.0347,41,0.2359,50.5,3.73,1.15,0.17,28,2022-05-08,"Wells Fargo"
"9","Gary Woodland",22420078,9100,59.89,58.95,19.3,81.5,25,0.6361,0.0115,0.3472,0.2488,0.1347,0.0714,0.044,0.0153,100,0.1168,18.5,1.68,-0.82,-0.12,19,2022-05-08,"Wells Fargo"
"10","Patrick Reed",22420079,9000,65.16,48.71,4.5,72.58,23.5,0.5745,0.0084,0.2685,0.1789,0.0891,0.0438,0.0255,0.0081,100,0.066,16,0.9,-1.55,-0.23,4,2022-05-08,"Wells Fargo"
"11","Sergio Garcia",22420081,8700,71,64.09,15.1,86,26.5,0.6755,0.0138,0.4002,0.2978,0.1689,0.0949,0.0599,0.021,21,0.1214,66,2.41,0.1,0.01,15,2022-05-08,"Wells Fargo"
"12","Max Homa",22420082,8600,73,59.37,17.9,81.5,25.5,0.6628,0.0141,0.3832,0.2827,0.159,0.0879,0.0551,0.02,1,0.197,110,2.33,0.08,0.01,18,2022-05-08,"Wells Fargo"
"13","Si Woo Kim",22420083,8400,70.44,56.65,12.6,79.5,25,0.6754,0.016,0.4084,0.3056,0.1787,0.1003,0.0642,0.0248,37,0.144,51,2.95,0.82,0.12,13,2022-05-08,"Wells Fargo"
"14","Seamus Power",22420084,8300,72.73,62.22,14.5,83.5,27,0.673,0.0158,0.4251,0.32,0.1888,0.107,0.0696,0.0272,100,0.1897,25,3.28,1.21,0.18,15,2022-05-08,"Wells Fargo"
"15","Jason Day",22420085,8200,59.11,52.18,3.4,76,24,0.5866,0.0094,0.2904,0.1999,0.1036,0.0513,0.03,0.01,15,0.0482,72,1.22,-0.78,-0.12,3,2022-05-08,"Wells Fargo"
"16","Webb Simpson",22420086,8100,71.05,60.06,11.3,81.5,26,0.5708,0.0088,0.289,0.1983,0.1027,0.0524,0.0308,0.0102,100,0.1542,21,1.26,-0.67,-0.1,11,2022-05-08,"Wells Fargo"
"17","Cameron Young",22420087,8000,68.32,60.04,26.3,82.5,26,0.654,0.013,0.378,0.2778,0.1558,0.0854,0.0528,0.019,2,0.2432,92,2.38,0.53,0.08,26,2022-05-08,"Wells Fargo"
"18","Matt Kuchar",22420088,7900,73.04,52.86,14.7,76,24,0.5988,0.0087,0.3014,0.2064,0.1066,0.0542,0.033,0.0111,49,0.1587,49.5,1.41,-0.35,-0.05,15,2022-05-08,"Wells Fargo"
"19","Aaron Rai",22420089,7900,57.91,53.31,6.8,76,24,0.5847,0.0114,0.3069,0.2149,0.114,0.0571,0.0339,0.0118,100,0.0684,27.5,1.49,-0.27,-0.04,7,2022-05-08,"Wells Fargo"
"20","Jhonattan Vegas",22420090,7800,69.82,60.92,8.8,82.5,26,0.6397,0.0108,0.3518,0.2502,0.1342,0.0687,0.0424,0.0145,15,0.0908,67.5,1.86,0.21,0.03,9,2022-05-08,"Wells Fargo"
"21","Keith Mitchell",22420091,7800,71.62,57.17,14.6,80,25.5,0.6478,0.0134,0.3682,0.2676,0.1486,0.08,0.0508,0.0184,100,0.1898,23,2.36,0.71,0.11,15,2022-05-08,"Wells Fargo"
"22","Doug Ghim",22420092,7800,56.84,53.94,11.4,76.5,24.5,0.6316,0.0122,0.3641,0.265,0.147,0.0767,0.0466,0.0166,100,0.0711,25,2.13,0.48,0.07,11,2022-05-08,"Wells Fargo"
"23","Brian Harman",22420093,7700,61.14,58.44,13.8,80,25.5,0.6149,0.0111,0.3378,0.24,0.1296,0.0673,0.0403,0.014,9,0.131,64.5,1.82,0.28,0.04,14,2022-05-08,"Wells Fargo"
