Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3887992731,trentonkolles,960,29,QB Russell Wilson RB Isiah Pacheco RB Jahmyr Gibbs WR Rashee Rice WR CeeDee Lamb WR Mike Williams TE David Njoku FLEX Austin Ekeler BN Jerry Jeudy BN Chris Godwin BN Jameson Williams BN Alexander Mattison BN D'Onta Foreman BN Jordan Love BN Greg Dulcich BN Nico Collins BN Khalil Shakir BN Mecole Hardman Jr. BN Irv Smith Jr. BN Kyren Williams,,Travis Kelce,TE,8.33%,0
2,3887992714,Xiocanthl,1020,27.34,QB Patrick Mahomes RB Breece Hall RB Miles Sanders WR Marquez Valdes-Scantling WR Tee Higgins WR DeAndre Hopkins TE Travis Kelce FLEX Terry McLaurin BN D'Andre Swift BN Rashod Bateman BN Damien Harris BN Jamaal Williams BN Adam Thielen BN DJ Chark Jr. BN Mike Gesicki BN Jimmy Garoppolo BN Trey McBride BN Marvin Mims Jr. BN Mack Hollins BN Michael Wilson,,Patrick Mahomes,QB,8.33%,20.54
3,3888016475,malarkey81,960,21.1,QB Dak Prescott RB Rhamondre Stevenson RB James Cook WR Amon-Ra St. Brown WR Justyn Ross WR Skyy Moore TE Darren Waller FLEX Garrett Wilson BN Christian Kirk BN Zach Charbonnet BN Quentin Johnston BN Kenneth Gainwell BN Jonathan Mingo BN Kenny Pickett BN Josh Downs BN Curtis Samuel BN Kareem Hunt BN Jake Ferguson BN Chase Brown BN Jerome Ford,,Breece Hall,RB,8.33%,0
4,3887992761,goonta53207,1140,14.02,QB Jared Goff RB Travis Etienne Jr. RB Dameon Pierce WR A.J. Brown WR Deebo Samuel WR Donovan Peoples-Jones TE Kyle Pitts FLEX Dallas Goedert BN Josh Allen BN Aaron Rodgers BN Tyler Allgeier BN Dalton Schultz BN Derek Carr BN Romeo Doubs BN Jeff Wilson Jr. BN Rashid Shaheed BN Devin Singletary BN Hunter Renfrow BN Robert Woods BN Evan Hull,,Tee Higgins,WR,8.33%,0
5,3888016471,Jkonis,1080,13.4,QB Joe Burrow RB David Montgomery RB Saquon Barkley WR Tyreek Hill WR DeVonta Smith WR Mike Evans TE T.J. Hockenson FLEX Dalvin Cook BN Deshaun Watson BN Pat Freiermuth BN Jakobi Meyers BN Darnell Mooney BN Zay Jones BN Roschon Johnson BN Kendre Miller BN Rondale Moore BN Leonard Fournette BN Hayden Hurst BN Deuce Vaughn BN Joshua Dobbs,,DeAndre Hopkins,WR,8.33%,0
6,3888012194,juchs,1080,9.9,QB Trevor Lawrence RB Tony Pollard RB J.K. Dobbins WR Kadarius Toney WR Stefon Diggs WR Christian Watson TE Sam LaPorta FLEX Mark Andrews BN Brandin Cooks BN Courtland Sutton BN Rashaad Penny BN AJ Dillon BN John Metchie III BN Van Jefferson BN Gus Edwards BN Ryan Tannehill BN Luke Musgrave BN Cade Otton BN Joshua Kelley BN DeVante Parker,,Miles Sanders,FLEX,8.33%,0
7,3888012205,dansnow29,1080,5.7,QB Jalen Hurts RB Clyde Edwards-Helaire RB Aaron Jones WR Marvin Jones Jr. WR Cooper Kupp WR Jordan Addison TE George Kittle FLEX Joe Mixon BN Kirk Cousins BN Odell Beckham Jr. BN Brian Robinson Jr. BN Allen Lazard BN Tyler Boyd BN Cole Kmet BN Taysom Hill BN Matthew Stafford BN Michael Gallup BN Chase Claypool BN Zach Ertz BN Allen Robinson II,,Terry McLaurin,WR,8.33%,0
8,3888016461,dsam16,1140,2,QB Tua Tagovailoa RB Jerick McKinnon RB Kenneth Walker III WR Ja'Marr Chase WR Jaylen Waddle WR Chris Olave TE Juwan Johnson FLEX Najee Harris BN Marquise Brown BN Jahan Dotson BN Alvin Kamara BN Anthony Richardson BN Alec Pierce BN Michael Mayer BN Gerald Everett BN Joshua Palmer BN Baker Mayfield BN Deon Jackson BN Ty Chandler BN Trey Palmer,,D'Andre Swift,RB,8.33%,0
9,3888016393,jstith8,1140,1.6,QB Justin Fields RB Nick Chubb RB Derrick Henry WR Richie James Jr. WR DJ Moore WR Drake London TE Chig Okonkwo FLEX Michael Pittman Jr. BN Gabe Davis BN Michael Thomas BN Samaje Perine BN Elijah Mitchell BN Raheem Mostert BN Dalton Kincaid BN Cordarrelle Patterson BN Sam Howell BN Isaiah Likely BN Desmond Ridder BN Tank Dell BN Randall Cobb,,Rashod Bateman,BN,8.33%,0
10,3887992722,ASFMUFAN1973,1200,0,QB Lamar Jackson RB Jonathan Taylor RB Josh Jacobs WR Justin Jefferson WR Tyler Lockett WR George Pickens TE Tyler Higbee FLEX James Conner BN Khalil Herbert BN Elijah Moore BN K.J. Osborn BN Jalin Hyatt BN Bryce Young BN C.J. Stroud BN Jaylen Warren BN Pierre Strong Jr. BN Zamir White BN Keaontay Ingram BN Zack Moss BN Cole Turner,,Damien Harris,BN,8.33%,0
