Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3892857429,dduummppy,960,40.320004,QB Jared Goff RB Saquon Barkley RB Kenneth Walker III WR Amon-Ra St. Brown WR Marquez Valdes-Scantling WR Skyy Moore TE Jake Ferguson FLEX Mike Williams BN Miles Sanders BN Brandon Aiyuk BN Dak Prescott BN Javonte Williams BN Alec Pierce BN Hunter Renfrow BN Brock Purdy BN Chase Claypool BN Isaiah Likely BN Robert Woods BN Luke Musgrave BN Rico Dowdle,,Travis Kelce,TE,8.33%,0
2,3892852235,lucky.greppy,960,29.840002,QB Patrick Mahomes RB Jonathan Taylor RB Dameon Pierce WR Richie James Jr. WR Justyn Ross WR Justin Jefferson TE Noah Gray FLEX Cooper Kupp BN DeAndre Hopkins BN Marquise Brown BN Alvin Kamara BN Tyler Allgeier BN Jakobi Meyers BN Antonio Gibson BN Zay Jones BN Greg Dulcich BN Roschon Johnson BN Gerald Everett BN Zamir White BN Joshua Dobbs,,Derrick Henry,RB,8.33%,0
3,3892835975,DeepSeaMike,1080,25.4,QB Lamar Jackson RB David Montgomery RB Joe Mixon WR Josh Reynolds WR A.J. Brown WR CeeDee Lamb TE T.J. Hockenson FLEX Jaxon Smith-Njigba BN Tyler Lockett BN Odell Beckham Jr. BN Rashaad Penny BN Damien Harris BN Geno Smith BN Ezekiel Elliott BN Tyjae Spears BN Joshua Palmer BN Hunter Henry BN Kendrick Bourne BN Justice Hill BN Salvon Ahmed,,Travis Etienne Jr.,RB,8.33%,0
4,3892852167,nmatter12,1080,13.299999,QB Anthony Richardson RB Isiah Pacheco RB Clyde Edwards-Helaire WR Calvin Ridley WR DJ Moore WR Jerry Jeudy TE Pat Freiermuth FLEX Austin Ekeler BN Keenan Allen BN Cam Akers BN Diontae Johnson BN Samaje Perine BN Cole Kmet BN C.J. Stroud BN Wan'Dale Robinson BN Jonathan Mingo BN Jimmy Garoppolo BN Jayden Reed BN Jerome Ford BN Michael Wilson,,Deebo Samuel,WR,8.33%,0
5,3892835890,dotcommer777,1080,11.6,QB Trevor Lawrence RB Tony Pollard RB Josh Jacobs WR Rashee Rice WR Amari Cooper WR Treylon Burks TE Dalton Schultz FLEX Aaron Jones BN D'Andre Swift BN Tua Tagovailoa BN Kirk Cousins BN Michael Thomas BN K.J. Osborn BN Michael Mayer BN Michael Gallup BN Josh Downs BN Curtis Samuel BN Cade Otton BN Ronnie Bell BN Antoine Green,,Terry McLaurin,WR,8.33%,0
6,3892835960,crfin1,1140,8.9,QB Justin Herbert RB Bijan Robinson RB Breece Hall WR Garrett Wilson WR Chris Godwin WR Jordan Addison TE Sam LaPorta FLEX Mark Andrews BN Dalvin Cook BN Jamaal Williams BN Jalin Hyatt BN Romeo Doubs BN Taysom Hill BN Kenny Pickett BN Deuce Vaughn BN Tank Dell BN Kyren Williams BN Puka Nacua BN Zack Moss BN Jalen Tolbert,,Deshaun Watson,QB,8.33%,0
7,3892852181,mtaylo13,1140,8,QB Aaron Rodgers RB Jahmyr Gibbs RB J.K. Dobbins WR Tyreek Hill WR DeVonta Smith WR George Pickens TE Kyle Pitts FLEX Darren Waller BN Elijah Moore BN Brian Robinson Jr. BN Tyler Boyd BN Bryce Young BN Nico Collins BN Khalil Shakir BN Hayden Hurst BN Chuba Hubbard BN Van Jefferson BN Desmond Ridder BN Gus Edwards BN Joshua Kelley,,Brandin Cooks,WR,8.33%,0
8,3892857625,jjschilling86,1140,2,QB Josh Allen RB Jerick McKinnon RB Khalil Herbert WR Stefon Diggs WR Davante Adams WR Christian Kirk TE Dawson Knox FLEX Gabe Davis BN Justin Fields BN Quentin Johnston BN Zay Flowers BN JuJu Smith-Schuster BN Elijah Mitchell BN Darnell Mooney BN D'Onta Foreman BN Rashid Shaheed BN Kenneth Gainwell BN Mike Gesicki BN Mac Jones BN Evan Hull,,James Conner,FLEX,8.33%,0
9,3892842630,mrdhood,1140,1.8,QB Derek Carr RB Christian McCaffrey RB Najee Harris WR Marvin Jones Jr. WR Chris Olave WR DK Metcalf TE Evan Engram FLEX Drake London BN Mike Evans BN Jahan Dotson BN Raheem Mostert BN Dalton Kincaid BN DJ Chark Jr. BN Tank Bigsby BN Irv Smith Jr. BN Sam Howell BN Tyler Conklin BN Noah Fant BN Baker Mayfield BN Deon Jackson,,AJ Dillon,BN,8.33%,0
10,3892835959,Scrills,1080,1,QB Joe Burrow RB Rachaad White RB Alexander Mattison WR Kadarius Toney WR Ja'Marr Chase WR Jaylen Waddle TE George Kittle FLEX Tee Higgins BN Daniel Jones BN David Njoku BN Rashod Bateman BN Jordan Love BN Tyler Higbee BN Kendre Miller BN Matthew Stafford BN Devin Singletary BN Kareem Hunt BN Isaiah Hodgins BN Parris Campbell BN Ty Chandler,,Russell Wilson,BN,8.33%,0
