Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3846995112,swany71,1020,22.92,QB Jared Goff RB Tony Pollard RB Najee Harris WR Justin Jefferson WR Chris Olave WR Treylon Burks TE Sam LaPorta FLEX Aaron Jones BN Kyle Pitts BN Diontae Johnson BN Kirk Cousins BN Jameson Williams BN Devin Singletary BN Marvin Mims Jr. BN Tyler Conklin BN Parris Campbell BN Will Levis BN Ryan Tannehill BN Darius Slayton BN Ty Chandler,,Austin Ekeler,RB,8.33%,0
2,3846976431,Noahsky,1080,22.54,QB Patrick Mahomes RB Jerick McKinnon RB Christian McCaffrey WR DeVonta Smith WR Tyler Lockett WR Gabe Davis TE George Kittle FLEX Joe Mixon BN Jahan Dotson BN AJ Dillon BN Brian Robinson Jr. BN Jakobi Meyers BN K.J. Osborn BN Raheem Mostert BN DJ Chark Jr. BN Mecole Hardman Jr. BN Gus Edwards BN Allen Robinson II BN Deuce Vaughn BN DeVante Parker,,Amon-Ra St. Brown,WR,8.33%,19.1
3,3846976147,taconuts1,1140,19.1,QB Justin Herbert RB Austin Ekeler RB Breece Hall WR Amon-Ra St. Brown WR Calvin Ridley WR Mike Evans TE Darren Waller FLEX James Cook BN Odell Beckham Jr. BN C.J. Stroud BN Kendre Miller BN Kenneth Gainwell BN Nico Collins BN Gerald Everett BN Wan'Dale Robinson BN Michael Gallup BN Rondale Moore BN Joshua Palmer BN Hayden Hurst BN Zach Evans,,Breece Hall,RB,8.33%,0
4,3847002529,packbowl716,1080,15.2,QB Joe Burrow RB David Montgomery RB Jonathan Taylor WR Marvin Jones Jr. WR Cooper Kupp WR Tee Higgins TE Juwan Johnson FLEX Christian Kirk BN Chris Godwin BN James Conner BN Rashaad Penny BN Damien Harris BN Elijah Moore BN Alec Pierce BN Tyler Higbee BN Matthew Stafford BN Jayden Reed BN Luke Musgrave BN Logan Thomas BN Kenny McIntosh,,Calvin Ridley,WR,8.33%,0
5,3847003503,nswart13,1080,14.8,QB Tua Tagovailoa RB Jahmyr Gibbs RB Nick Chubb WR Marquez Valdes-Scantling WR Tyreek Hill WR Terry McLaurin TE David Njoku FLEX Rhamondre Stevenson BN Brandon Aiyuk BN Brandin Cooks BN Aaron Rodgers BN Allen Lazard BN Jordan Love BN Tyjae Spears BN Michael Mayer BN Tank Bigsby BN Irv Smith Jr. BN Michael Carter BN Robert Woods BN Pierre Strong Jr.,,Justin Herbert,QB,8.33%,0
6,3846976464,DeepSeaMike,1140,11.6,QB Jalen Hurts RB D'Andre Swift RB Javonte Williams WR Rashee Rice WR Davante Adams WR Mike Williams TE Dallas Goedert FLEX Keenan Allen BN Jordan Addison BN Rashod Bateman BN Tyler Allgeier BN Jamaal Williams BN Derek Carr BN Dalton Kincaid BN Rashid Shaheed BN Chase Claypool BN Mac Jones BN Jerome Ford BN Zamir White BN Robert Tonyan,,Darren Waller,TE,8.33%,0
7,3846984549,steveidels,1080,9.799999,QB Trevor Lawrence RB Isiah Pacheco RB Rachaad White WR Skyy Moore WR Stefon Diggs WR Jaylen Waddle TE Greg Dulcich FLEX DK Metcalf BN Jerry Jeudy BN Samaje Perine BN De'Von Achane BN Zay Jones BN Trey Lance BN Jeff Wilson Jr. BN Curtis Samuel BN Mike Gesicki BN Chase Brown BN Trey McBride BN Brock Purdy BN Deon Jackson,,Mike Evans,WR,8.33%,0
8,3846994782,BullfrogKush,1140,3.9,QB Daniel Jones RB Clyde Edwards-Helaire RB Saquon Barkley WR A.J. Brown WR Christian Watson WR Drake London TE Pat Freiermuth FLEX Travis Etienne Jr. BN J.K. Dobbins BN Dameon Pierce BN Courtland Sutton BN Tyler Boyd BN Donovan Peoples-Jones BN Romeo Doubs BN Taysom Hill BN Kenny Pickett BN Jimmy Garoppolo BN Desmond Ridder BN Hunter Henry BN Terrace Marshall Jr.,,James Cook,FLEX,8.33%,0
9,3847003449,Greatoak,1020,3.2,QB Justin Fields RB Miles Sanders RB Khalil Herbert WR Richie James Jr. WR Justyn Ross WR Ja'Marr Chase TE Mark Andrews FLEX DJ Moore BN Lamar Jackson BN Michael Pittman Jr. BN Zay Flowers BN Cole Kmet BN Antonio Gibson BN Darnell Mooney BN D'Onta Foreman BN Ezekiel Elliott BN Josh Downs BN Kareem Hunt BN Isaiah Likely BN Corey Davis,,Odell Beckham Jr.,BN,8.33%,0
10,3846976227,mikecorak,1080,1,QB Josh Allen RB Josh Jacobs RB Kenneth Walker III WR Kadarius Toney WR Jaxon Smith-Njigba WR Marquise Brown TE Travis Kelce FLEX Zach Charbonnet BN Alexander Mattison BN Anthony Richardson BN Kyler Murray BN Dalton Schultz BN Jalin Hyatt BN Jaylen Warren BN Tyquan Thornton BN Chuba Hubbard BN Van Jefferson BN Israel Abanikanda BN Tank Dell BN Greg Dortch,,C.J. Stroud,BN,8.33%,0
